Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,1500,0.007,8,11.5,-55,105,0.08,2000,937,2000,RNU0E152MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4700,MP,Normal,0.93
2.5,1500,0.007,8,11.5,-55,105,0.08,2000,937,2000,RNU0E152MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4700,MP,Normal,0.93
2.5,2700,0.007,10,12.5,-55,105,0.08,2000,1350,1600,RNU0E272MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
4,820,0.007,8,11.5,-55,105,0.08,2000,656,2000,RNU0G821MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,820,0.007,8,11.5,-55,105,0.08,2000,656,2000,RNU0G821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1000,0.007,8,11.5,-55,105,0.08,2000,800,2000,RNU0G102MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1000,0.007,8,11.5,-55,105,0.08,2000,800,2000,RNU0G102MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1200,0.007,8,11.5,-55,105,0.08,2000,960,2000,RNU0G122MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1200,0.007,8,11.5,-55,105,0.08,2000,960,2000,RNU0G122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
4,1800,0.007,10,12.5,-55,105,0.08,2000,1440,1600,RNU0G182MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
4,2200,0.007,10,12.5,-55,105,0.08,2000,1760,1600,RNU0G222MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
6.3,220,0.02,6.3,10,-55,105,0.08,2000,277,3200,RNU0J221MCS1,Uni-Polar,Radial Lead,Hi-Cap.,3200,MP,Normal,0.54
6.3,220,0.02,6.3,10,-55,105,0.08,2000,277,3200,RNU0J221MDS1,Uni-Polar,Radial Lead,Hi-Cap.,3200,MP,Normal,0.54
6.3,470,0.007,8,11.5,-55,105,0.08,2000,592,2000,RNU0J471MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,470,0.007,8,11.5,-55,105,0.08,2000,592,2000,RNU0J471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,680,0.007,8,11.5,-55,105,0.08,2000,856,2000,RNU0J681MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,680,0.007,8,11.5,-55,105,0.08,2000,856,2000,RNU0J681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,820,0.007,8,11.5,-55,105,0.08,2000,1033,2000,RNU0J821MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,820,0.007,8,11.5,-55,105,0.08,2000,1033,2000,RNU0J821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,1000,0.007,8,11.5,-55,105,0.08,2000,1260,2000,RNU0J102MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,1000,0.007,8,11.5,-55,105,0.08,2000,1260,2000,RNU0J102MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
6.3,1200,0.009,8,11.5,-55,105,0.08,2000,1512,2000,RNU0J122MCN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
6.3,1200,0.009,8,11.5,-55,105,0.08,2000,1512,2000,RNU0J122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
6.3,1500,0.007,10,12.5,-55,105,0.08,2000,1890,1600,RNU0J152MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
10,10,0.22,4,5,-55,105,0.12,2000,300,8000,RNU1A100MCS1,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,10,0.22,4,5,-55,105,0.12,5000,300,8000,RNU1A100MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,10,0.22,4,5,-55,105,0.12,2000,300,8000,RNU1A100MDS1,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
10,10,0.22,4,5,-55,105,0.12,5000,300,8000,RNU1A100MDSASQ,Uni-Polar,Radial Lead,Hi-Cap.,700,MP,Normal,0.16
