Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
6.3,120,2.432,5,11.5,0.22,1.8,0.72,ELXV6R3E□□121MEB5D,165
6.3,220,1.326,6.3,11.5,0.22,0.95,0.38,ELXV6R3E□□221MFB5D,255
6.3,330,0.884,6.3,15,0.22,0.68,0.27,ELXV6R3E□□331MF15D,330
6.3,390,0.748,8,12,0.22,0.5,0.2,ELXV6R3E□□391MH12D,415
6.3,470,0.621,10,12.5,0.22,0.3,0.12,ELXV6R3E□□471MJC5S,635
6.3,560,0.521,8,15,0.22,0.4,0.16,ELXV6R3E□□561MH15D,495
6.3,680,0.429,10,16,0.22,0.21,0.084,ELXV6R3E□□681MJ16S,825
6.3,820,0.356,8,20,0.22,0.28,0.11,ELXV6R3E□□821MH20D,640
6.3,1200,0.243,10,20,0.22,0.16,0.062,ELXV6R3E□□122MJ20S,1060
6.3,1500,0.195,10,25,0.22,0.13,0.052,ELXV6R3E□□152MJ25S,1260
6.3,2200,0.133,10,30,0.22,0.11,0.044,ELXV6R3E□□222MJ30S,1450
6.3,2200,0.133,12.5,20,0.22,0.12,0.046,ELXV6R3E□□222MK20S,1360
6.3,2700,0.108,12.5,25,0.22,0.085,0.034,ELXV6R3E□□272MK25S,1700
6.3,3900,0.075,12.5,30,0.22,0.075,0.03,ELXV6R3E□□392MK30S,1980
6.3,3900,0.075,16,20,0.22,0.095,0.038,ELXV6R3E□□392ML20S,1770
6.3,4700,0.062,12.5,35,0.22,0.068,0.027,ELXV6R3E□□472MK35S,2230
6.3,5600,0.052,12.5,40,0.22,0.06,0.024,ELXV6R3E□□562MK40S,2460
6.3,5600,0.052,16,25,0.22,0.07,0.028,ELXV6R3E□□562ML25S,2190
6.3,5600,0.052,18,20,0.22,0.09,0.036,ELXV6R3E□□562MM20S,1940
6.3,6800,0.043,16,30,0.22,0.063,0.025,ELXV6R3E□□682ML30S,2510
6.3,6800,0.043,18,25,0.22,0.068,0.027,ELXV6R3E□□682MM25S,2350
6.3,8200,0.036,16,35,0.22,0.055,0.022,ELXV6R3E□□822ML35S,2770
6.3,10000,0.029,16,40,0.22,0.045,0.018,ELXV6R3E□□103ML40S,3110
6.3,10000,0.029,18,30,0.22,0.06,0.024,ELXV6R3E□□103MM30S,2720
6.3,12000,0.024,18,35,0.22,0.053,0.021,ELXV6R3E□□123MM35S,3050
6.3,15000,0.019,18,40,0.22,0.043,0.017,ELXV6R3E□□153MM40S,3300
10,82,3.073,5,11.5,0.19,1.8,0.72,ELXV100E□□820MEB5D,165
10,180,1.4,6.3,11.5,0.19,0.95,0.38,ELXV100E□□181MFB5D,255
10,270,0.933,6.3,15,0.19,0.68,0.27,ELXV100E□□271MF15D,330
10,330,0.764,8,12,0.19,0.5,0.2,ELXV100E□□331MH12D,415
10,390,0.646,10,12.5,0.19,0.3,0.12,ELXV100E□□391MJC5S,635
10,470,0.536,8,15,0.19,0.4,0.16,ELXV100E□□471MH15D,495
10,680,0.371,8,20,0.19,0.28,0.11,ELXV100E□□681MH20D,640
10,680,0.371,10,16,0.19,0.21,0.084,ELXV100E□□681MJ16S,825
10,1000,0.252,10,20,0.19,0.16,0.062,ELXV100E□□102MJ20S,1060
10,1200,0.21,10,25,0.19,0.13,0.052,ELXV100E□□122MJ25S,1260
10,1500,0.168,10,30,0.19,0.11,0.044,ELXV100E□□152MJ30S,1450
10,1800,0.14,12.5,20,0.19,0.12,0.046,ELXV100E□□182MK20S,1360
10,2200,0.115,12.5,25,0.19,0.085,0.034,ELXV100E□□222MK25S,1700
10,2700,0.093,12.5,30,0.19,0.075,0.03,ELXV100E□□272MK30S,1980
10,3300,0.076,12.5,35,0.19,0.068,0.027,ELXV100E□□332MK35S,2230
10,3300,0.076,16,20,0.19,0.095,0.038,ELXV100E□□332ML20S,1770
10,3900,0.065,12.5,40,0.19,0.06,0.024,ELXV100E□□392MK40S,2460
10,3900,0.065,16,25,0.19,0.07,0.028,ELXV100E□□392ML25S,2190
10,3900,0.065,18,20,0.19,0.09,0.036,ELXV100E□□392MM20S,1940
10,4700,0.054,18,25,0.19,0.068,0.027,ELXV100E□□472MM25S,2350
10,5600,0.045,16,30,0.19,0.063,0.025,ELXV100E□□562ML30S,2510
10,6800,0.037,16,35,0.19,0.055,0.022,ELXV100E□□682ML35S,2770
10,6800,0.037,18,30,0.19,0.06,0.024,ELXV100E□□682MM30S,2720
10,8200,0.031,16,40,0.19,0.045,0.018,ELXV100E□□822ML40S,3110
10,8200,0.031,18,35,0.19,0.053,0.021,ELXV100E□□822MM35S,3050
10,10000,0.025,18,40,0.19,0.043,0.017,ELXV100E□□103MM40S,3300
16,56,3.789,5,11.5,0.16,1.8,0.72,ELXV160E□□560MEB5D,165
16,120,1.768,6.3,11.5,0.16,0.95,0.38,ELXV160E□□121MFB5D,255
16,180,1.179,6.3,15,0.16,0.68,0.27,ELXV160E□□181MF15D,330
16,270,0.786,8,12,0.16,0.5,0.2,ELXV160E□□271MH12D,415
16,270,0.786,10,12.5,0.16,0.3,0.12,ELXV160E□□271MJC5S,635
16,330,0.643,8,15,0.16,0.4,0.16,ELXV160E□□331MH15D,495
16,470,0.452,8,20,0.16,0.28,0.11,ELXV160E□□471MH20D,640
16,470,0.452,10,16,0.16,0.21,0.084,ELXV160E□□471MJ16S,825
16,680,0.312,10,20,0.16,0.16,0.062,ELXV160E□□681MJ20S,1060
16,820,0.259,10,25,0.16,0.13,0.052,ELXV160E□□821MJ25S,1260
16,1200,0.177,10,30,0.16,0.11,0.044,ELXV160E□□122MJ30S,1450
16,1200,0.177,12.5,20,0.16,0.12,0.046,ELXV160E□□122MK20S,1360
16,1500,0.141,12.5,25,0.16,0.085,0.034,ELXV160E□□152MK25S,1700
16,2200,0.096,12.5,30,0.16,0.075,0.03,ELXV160E□□222MK30S,1980
16,2200,0.096,16,20,0.16,0.095,0.038,ELXV160E□□222ML20S,1770
16,2700,0.079,12.5,35,0.16,0.068,0.027,ELXV160E□□272MK35S,2230
16,2700,0.079,16,25,0.16,0.07,0.028,ELXV160E□□272ML25S,2190
16,3300,0.064,12.5,40,0.16,0.06,0.024,ELXV160E□□332MK40S,2460
16,3300,0.064,18,20,0.16,0.09,0.036,ELXV160E□□332MM20S,1940
16,3900,0.054,16,30,0.16,0.063,0.025,ELXV160E□□392ML30S,2510
16,3900,0.054,18,25,0.16,0.068,0.027,ELXV160E□□392MM25S,2350
16,4700,0.045,16,35,0.16,0.055,0.022,ELXV160E□□472ML35S,2770
16,4700,0.045,18,30,0.16,0.06,0.024,ELXV160E□□472MM30S,2720
16,5600,0.038,16,40,0.16,0.045,0.018,ELXV160E□□562ML40S,3110
16,6800,0.031,18,35,0.16,0.053,0.021,ELXV160E□□682MM35S,3050
16,8200,0.026,18,40,0.16,0.043,0.017,ELXV160E□□822MM40S,3300
25,39,4.761,5,11.5,0.14,1.8,0.72,ELXV250E□□390MEB5D,165
25,82,2.264,6.3,11.5,0.14,0.95,0.38,ELXV250E□□820MFB5D,255
25,120,1.547,6.3,15,0.14,0.68,0.27,ELXV250E□□121MF15D,330
25,150,1.238,8,12,0.14,0.5,0.2,ELXV250E□□151MH12D,415
25,180,1.032,10,12.5,0.14,0.3,0.12,ELXV250E□□181MJC5S,635
25,220,0.844,8,15,0.14,0.4,0.16,ELXV250E□□221MH15D,495
25,330,0.563,8,20,0.14,0.28,0.11,ELXV250E□□331MH20D,640
25,330,0.563,10,16,0.14,0.21,0.084,ELXV250E□□331MJ16S,825
25,470,0.395,10,20,0.14,0.16,0.062,ELXV250E□□471MJ20S,1060
25,560,0.332,10,25,0.14,0.13,0.052,ELXV250E□□561MJ25S,1260
25,820,0.226,10,30,0.14,0.11,0.044,ELXV250E□□821MJ30S,1450
25,820,0.226,12.5,20,0.14,0.12,0.046,ELXV250E□□821MK20S,1360
25,1000,0.186,12.5,25,0.14,0.085,0.034,ELXV250E□□102MK25S,1700
25,1500,0.124,12.5,30,0.14,0.075,0.03,ELXV250E□□152MK30S,1980
25,1500,0.124,16,20,0.14,0.095,0.038,ELXV250E□□152ML20S,1770
25,1800,0.103,12.5,35,0.14,0.068,0.027,ELXV250E□□182MK35S,2230
25,1800,0.103,16,25,0.14,0.07,0.028,ELXV250E□□182ML25S,2190
25,2200,0.084,12.5,40,0.14,0.06,0.024,ELXV250E□□222MK40S,2460
25,2200,0.084,18,20,0.14,0.09,0.036,ELXV250E□□222MM20S,1940
25,2700,0.069,16,30,0.14,0.063,0.025,ELXV250E□□272ML30S,2510
25,2700,0.069,18,25,0.14,0.068,0.027,ELXV250E□□272MM25S,2350
25,3300,0.056,16,35,0.14,0.055,0.022,ELXV250E□□332ML35S,2770
25,3300,0.056,18,30,0.14,0.06,0.024,ELXV250E□□332MM30S,2720
25,3900,0.048,16,40,0.14,0.045,0.018,ELXV250E□□392ML40S,3110
