Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
6.3,150,1.945,0.58,5,11,0.22,2.3,210
6.3,220,1.326,0.58,5,11,0.22,2.3,210
6.3,330,0.884,0.22,6.3,11,0.22,0.87,340
6.3,470,0.621,0.22,6.3,11,0.22,0.87,340
6.3,680,0.429,0.12,8,11.5,0.22,0.48,730
6.3,820,0.356,0.069,8,16,0.22,0.27,1050
6.3,1000,0.292,0.12,8,11.5,0.22,0.48,730
6.3,1200,0.243,0.069,8,16,0.22,0.27,1050
6.3,1200,0.243,0.06,10,12.5,0.22,0.24,1210
6.3,1500,0.195,0.046,10,16,0.22,0.18,1450
6.3,1800,0.162,0.037,10,20,0.22,0.15,1720
6.3,2200,0.133,0.037,10,20,0.22,0.15,1720
6.3,2700,0.108,0.031,10,23,0.22,0.12,1910
6.3,2700,0.108,0.04,12.5,16,0.22,0.12,1730
6.3,3300,0.088,0.04,12.5,16,0.22,0.12,1730
6.3,3900,0.075,0.028,12.5,20,0.22,0.089,2160
6.3,3900,0.075,0.042,16,16,0.22,0.11,1940
6.3,4700,0.062,0.024,12.5,25,0.22,0.065,2650
6.3,5600,0.052,0.024,12.5,25,0.22,0.065,2650
6.3,5600,0.052,0.02,12.5,30,0.22,0.065,2880
6.3,6800,0.043,0.017,12.5,35,0.22,0.063,3350
6.3,6800,0.043,0.021,16,20,0.22,0.06,2540
6.3,8200,0.036,0.017,16,25,0.22,0.05,3060
6.3,10000,0.029,0.017,16,31.5,0.22,0.044,3610
6.3,10000,0.029,0.026,18,20,0.22,0.06,2860
6.3,12000,0.024,0.015,16,35.5,0.22,0.038,4080
6.3,12000,0.024,0.019,18,25,0.22,0.045,3140
6.3,15000,0.019,0.015,18,31.5,0.22,0.038,4170
6.3,18000,0.016,0.014,18,35.5,0.22,0.032,4280
6.3,22000,0.013,0.012,18,40,0.22,0.03,4550
10,100,2.52,0.58,5,11,0.19,2.3,210
10,220,1.145,0.58,5,11,0.19,2.3,210
10,220,1.145,0.22,6.3,11,0.19,0.87,340
10,470,0.536,0.22,6.3,11,0.19,0.87,340
10,680,0.371,0.12,8,11.5,0.19,0.48,730
10,680,0.371,0.069,8,16,0.19,0.27,1050
10,1000,0.252,0.069,8,16,0.19,0.27,1050
10,1000,0.252,0.06,10,12.5,0.19,0.24,1210
10,1200,0.21,0.046,10,16,0.19,0.18,1450
10,1500,0.168,0.042,8,20,0.19,0.17,1650
10,1500,0.168,0.046,10,16,0.19,0.18,1450
10,1500,0.168,0.037,10,20,0.19,0.15,1720
10,1800,0.14,0.037,10,20,0.19,0.15,1720
10,2200,0.115,0.031,10,23,0.19,0.12,1910
10,2200,0.115,0.04,12.5,16,0.19,0.12,1730
16,56,3.789,0.58,5,11,0.16,2.3,210
16,120,1.768,0.58,5,11,0.16,2.3,210
16,330,0.643,0.22,6.3,11,0.16,0.87,340
16,470,0.452,0.12,8,11.5,0.16,0.48,730
16,470,0.452,0.069,8,16,0.16,0.27,1050
16,680,0.312,0.069,8,16,0.16,0.27,1050
16,680,0.312,0.06,10,12.5,0.16,0.24,1210
16,1000,0.212,0.042,8,20,0.16,0.17,1650
16,1000,0.212,0.046,10,16,0.16,0.18,1450
