Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
25,330,0.643,8,11.5,-55,105,0.16,1000,248,3000,UVY1E331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,275,MP,Normal,1.19
25,470,0.452,10,12.5,-55,105,0.16,2000,353,2000,UVY1E471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,380,MP,Normal,1.49
25,1000,0.212,10,16,-55,105,0.16,2000,750,1800,UVY1E102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,610,MP,Normal,1.77
25,2200,0.109,12.5,25,-55,105,0.18,2000,1650,800,UVY1E222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1090,MP,Normal,4.56
25,3300,0.08,16,25,-55,105,0.2,2000,2475,400,UVY1E332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1400,MP,Normal,8.2
25,4700,0.062,16,25,-55,105,0.22,2000,3525,400,UVY1E472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1570,MP,Normal,8.2
25,6800,0.051,16,35.5,-55,105,0.26,2000,5100,300,UVY1E682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1850,MP,Normal,11.8
25,10000,0.045,18,40,-55,105,0.34,2000,7500,200,UVY1E103MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2000,MP,Normal,17.7
25,15000,0.039,22,50,-55,105,0.44,2000,11250,250,UVY1E153MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2750,EOL,Normal,27.4
25,22000,0.035,25,50,-55,105,0.58,2000,16500,140,UVY1E223MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3250,EOL,Normal,38.8
35,47,3.951,5,11,-55,105,0.14,1000,49,6000,UVY1V470MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,93,EOL,Normal,0.44
35,68,2.731,6.3,11,-55,105,0.14,1000,71,4000,UVY1V680MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,110,EOL,Normal,0.59
35,100,1.857,6.3,11,-55,105,0.14,1000,105,4000,UVY1V101MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,150,EOL,Normal,0.59
35,220,0.844,8,11.5,-55,105,0.14,1000,231,3000,UVY1V221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,250,MP,Normal,1.19
35,330,0.563,10,12.5,-55,105,0.14,2000,347,2000,UVY1V331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,350,MP,Normal,1.49
35,470,0.395,10,16,-55,105,0.14,2000,494,1800,UVY1V471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,460,MP,Normal,1.77
35,1000,0.186,12.5,20,-55,105,0.14,2000,1050,1000,UVY1V102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,810,MP,Normal,3.43
35,2200,0.096,16,25,-55,105,0.16,2000,2310,400,UVY1V222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1260,MP,Normal,8.2
35,3300,0.072,16,30.5,-55,105,0.18,2000,3465,300,UVY1V332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1500,MP,Normal,9.6
35,4700,0.056,16,35.5,-55,105,0.2,2000,4935,300,UVY1V472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1780,MP,Normal,11.8
35,6800,0.047,18,40,-55,105,0.24,2000,7140,200,UVY1V682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2000,MP,Normal,17.7
35,10000,0.042,22,50,-55,105,0.32,2000,10500,250,UVY1V103MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2650,EOL,Normal,27.4
35,15000,0.037,25,50,-55,105,0.42,2000,15750,140,UVY1V153MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3100,EOL,Normal,38.8
