Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
400,18,17.684,10,20,0.24,EKXL401E□□180MJ20S,220
400,22,14.469,10,25,0.24,EKXL401E□□220MJ25S,250
400,27,11.789,12.5,20,0.24,EKXL401E□□270MK20S,300
400,33,9.646,10,30,0.24,EKXL401E□□330MJ30S,340
400,39,8.162,10,35,0.24,EKXL401E□□390MJ35S,390
400,39,8.162,12.5,25,0.24,EKXL401E□□390MK25S,390
400,39,8.162,14.5,20,0.24,EKXL401E□□390MU20S,370
400,47,6.773,10,40,0.24,EKXL401E□□470MJ40S,440
400,56,5.684,10,45,0.24,EKXL401E□□560MJ45S,500
400,56,5.684,12.5,30,0.24,EKXL401E□□560MK30S,495
400,56,5.684,14.5,25,0.24,EKXL401E□□560MU25S,495
400,56,5.684,16,20,0.24,EKXL401E□□560ML20S,480
400,68,4.681,12.5,35,0.24,EKXL401E□□680MK35S,570
400,68,4.681,14.5,30,0.24,EKXL401E□□680MU30S,585
400,68,4.681,16,25,0.24,EKXL401E□□680ML25S,570
400,68,4.681,18,20,0.24,EKXL401E□□680MM20S,530
400,82,3.882,12.5,40,0.24,EKXL401E□□820MK40S,650
400,82,3.882,14.5,35,0.24,EKXL401E□□820MU35S,670
400,100,3.183,12.5,50,0.24,EKXL401E□□101MK50S,760
400,100,3.183,14.5,40,0.24,EKXL401E□□101MU40S,760
400,100,3.183,16,30,0.24,EKXL401E□□101ML30S,720
400,100,3.183,18,25,0.24,EKXL401E□□101MM25S,710
400,120,2.653,14.5,45,0.24,EKXL401E□□121MU45S,840
400,120,2.653,16,35,0.24,EKXL401E□□121ML35S,810
400,120,2.653,18,30,0.24,EKXL401E□□121MM30S,840
400,150,2.122,18,35,0.24,EKXL401E□□151MM35S,930
420,15,21.221,10,20,0.24,EKXL421E□□150MJ20S,195
420,22,14.469,10,25,0.24,EKXL421E□□220MJ25S,250
420,27,11.789,10,30,0.24,EKXL421E□□270MJ30S,300
420,27,11.789,12.5,20,0.24,EKXL421E□□270MK20S,300
420,33,9.646,10,35,0.24,EKXL421E□□330MJ35S,350
420,33,9.646,12.5,25,0.24,EKXL421E□□330MK25S,350
420,33,9.646,14.5,20,0.24,EKXL421E□□330MU20S,350
420,39,8.162,10,40,0.24,EKXL421E□□390MJ40S,400
420,47,6.773,10,45,0.24,EKXL421E□□470MJ45S,460
420,47,6.773,12.5,30,0.24,EKXL421E□□470MK30S,440
420,47,6.773,16,20,0.24,EKXL421E□□470ML20S,430
420,56,5.684,10,50,0.24,EKXL421E□□560MJ50S,520
420,56,5.684,12.5,35,0.24,EKXL421E□□560MK35S,510
420,56,5.684,14.5,25,0.24,EKXL421E□□560MU25S,490
420,68,4.681,12.5,40,0.24,EKXL421E□□680MK40S,580
420,68,4.681,14.5,30,0.24,EKXL421E□□680MU30S,560
420,68,4.681,16,25,0.24,EKXL421E□□680ML25S,560
420,68,4.681,18,20,0.24,EKXL421E□□680MM20S,540
420,82,3.882,12.5,45,0.24,EKXL421E□□820MK45S,660
420,82,3.882,14.5,35,0.24,EKXL421E□□820MU35S,660
420,82,3.882,16,30,0.24,EKXL421E□□820ML30S,650
420,82,3.882,18,25,0.24,EKXL421E□□820MM25S,640
420,100,3.183,12.5,50,0.24,EKXL421E□□101MK50S,750
420,100,3.183,14.5,40,0.24,EKXL421E□□101MU40S,720
420,100,3.183,16,35,0.24,EKXL421E□□101ML35S,730
420,120,2.653,16,40,0.24,EKXL421E□□121ML40S,840
420,120,2.653,18,30,0.24,EKXL421E□□121MM30S,800
450,15,21.221,10,20,0.24,EKXL451E□□150MJ20S,190
450,18,17.684,10,25,0.24,EKXL451E□□180MJ25S,230
450,27,11.789,10,30,0.24,EKXL451E□□270MJ30S,300
450,27,11.789,12.5,20,0.24,EKXL451E□□270MK20S,290
450,33,9.646,10,35,0.24,EKXL451E□□330MJ35S,350
450,33,9.646,12.5,25,0.24,EKXL451E□□330MK25S,360
450,33,9.646,14.5,20,0.24,EKXL451E□□330MU20S,335
450,39,8.162,10,40,0.24,EKXL451E□□390MJ40S,400
450,39,8.162,16,20,0.24,EKXL451E□□390ML20S,400
450,47,6.773,10,50,0.24,EKXL451E□□470MJ50S,480
450,47,6.773,12.5,30,0.24,EKXL451E□□470MK30S,440
450,47,6.773,14.5,25,0.24,EKXL451E□□470MU25S,450
450,56,5.684,12.5,35,0.24,EKXL451E□□560MK35S,500
450,56,5.684,14.5,30,0.24,EKXL451E□□560MU30S,540
450,56,5.684,16,25,0.24,EKXL451E□□560ML25S,500
450,56,5.684,18,20,0.24,EKXL451E□□560MM20S,500
450,68,4.681,12.5,40,0.24,EKXL451E□□680MK40S,580
450,68,4.681,14.5,35,0.24,EKXL451E□□680MU35S,620
450,82,3.882,12.5,50,0.24,EKXL451E□□820MK50S,680
450,82,3.882,14.5,40,0.24,EKXL451E□□820MU40S,670
450,82,3.882,16,30,0.24,EKXL451E□□820ML30S,650
450,82,3.882,18,25,0.24,EKXL451E□□820MM25S,650
450,100,3.183,14.5,45,0.24,EKXL451E□□101MU45S,760
450,100,3.183,16,35,0.24,EKXL451E□□101ML35S,730
450,100,3.183,18,30,0.24,EKXL451E□□101MM30S,750
450,120,2.653,18,35,0.24,EKXL451E□□121MM35S,860
