Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,330,1.206,8,11.5,0.3,0.6,3.5,5.0,,ECEA0JN331U( ),250,200,1000
6.3,470,0.847,10,12.5,0.3,0.6,5.0,5.0,,ECEA0JN471X( ),310,200,500
6.3,1000,0.398,10,20,0.3,0.6,5.0,5.0,,ECEA0JN102U( ),430,200,500
6.3,2200,0.193,12.5,25,0.32,0.6,5.0,5.0,,ECEA0JN222U( ),660,200,500
6.3,3300,0.137,16,25,0.34,0.8,7.5,7.5,,ECEA0JN332U( ),760,100,250
6.3,4700,0.102,16,31.5,0.36,0.8,7.5,,,ECEA0JN472U,1170,100,
6.3,6800,0.078,18,35.5,0.4,0.8,7.5,,,ECEA0JN682U,1450,50,
10,47,7.055,5,11,0.25,0.5,2.0,5.0,2.5,ECEA1AN470U( ),90,200,2000
10,100,3.316,6.3,11.2,0.25,0.5,2.5,5.0,2.5,ECEA1AN101X( ),130,200,2000
10,220,1.507,8,11.5,0.25,0.6,3.5,5.0,,ECEA1AN221U( ),200,200,1000
10,330,1.005,10,16,0.25,0.6,5.0,5.0,,ECEA1AN331U( ),280,200,500
10,470,0.705,10,16,0.25,0.6,5.0,5.0,,ECEA1AN471U( ),340,200,500
10,1000,0.332,12.5,20,0.25,0.6,5.0,5.0,,ECEA1AN102X( ),470,200,500
10,2200,0.163,16,25,0.27,0.8,7.5,7.5,,ECEA1AN222U( ),690,100,250
10,3300,0.117,16,31.5,0.29,0.8,7.5,,,ECEA1AN332U,1090,100,
10,4700,0.087,18,35.5,0.31,0.8,7.5,,,ECEA1AN472U,1200,50,
16,10,26.526,5,11,0.2,0.5,2.0,5.0,2.5,ECEA1CN100U( ),40,200,2000
16,22,12.057,5,11,0.2,0.5,2.0,5.0,2.5,ECEA1CN220U( ),60,200,2000
16,33,8.038,5,11,0.2,0.5,2.0,5.0,2.5,ECEA1CN330U( ),80,200,2000
16,47,5.644,6.3,11.2,0.2,0.5,2.5,5.0,2.5,ECEA1CN470U( ),100,200,2000
16,220,1.206,10,12.5,0.2,0.6,5.0,5.0,,ECEA1CN221X( ),260,200,500
16,330,0.804,10,16,0.2,0.6,5.0,5.0,,ECEA1CN331U( ),330,200,500
16,470,0.564,10,20,0.2,0.6,5.0,5.0,,ECEA1CN471U( ),380,200,500
16,1000,0.265,12.5,25,0.2,0.6,5.0,5.0,,ECEA1CN102U( ),560,200,500
16,2200,0.133,16,31.5,0.22,0.8,7.5,,,ECEA1CN222U,750,100,
16,3300,0.096,18,35.5,0.24,0.8,7.5,,,ECEA1CN332U,900,50,
25,10,19.894,5,11,0.15,0.5,2.0,5.0,2.5,ECEA1EN100U( ),45,200,2000
25,22,9.043,5,11,0.15,0.5,2.0,5.0,2.5,ECEA1EN220X( ),60,200,2000
25,33,6.029,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECEA1EN330U( ),90,200,2000
25,47,4.233,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECEA1EN470U( ),110,200,2000
25,100,1.989,8,11.5,0.15,0.6,3.5,5.0,,ECEA1EN101U( ),180,200,1000
25,220,0.904,10,16,0.15,0.6,5.0,5.0,,ECEA1EN221U( ),320,200,500
25,330,0.603,12.5,20,0.15,0.6,5.0,5.0,,ECEA1EN331U( ),360,200,500
25,470,0.423,12.5,20,0.15,0.6,5.0,5.0,,ECEA1EN471U( ),430,200,500
25,1000,0.199,16,25,0.15,0.8,7.5,7.5,,ECEA1EN102U( ),680,100,250
25,2200,0.102,18,35.5,0.17,0.8,7.5,,,ECEA1EN222U,900,50,
35,10,19.894,5,11,0.15,0.5,2.0,5.0,2.5,ECEA1VN100U( ),43,200,2000
35,22,9.043,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECEA1VN220U( ),80,200,2000
35,33,6.029,8,11.5,0.15,0.6,3.5,5.0,,ECEA1VN330U( ),100,200,1000
35,47,4.233,8,11.5,0.15,0.6,3.5,5.0,,ECEA1VN470U( ),120,200,1000
35,100,1.989,10,16,0.15,0.6,5.0,5.0,,ECEA1VN101U( ),230,200,500
35,220,0.904,12.5,20,0.15,0.6,5.0,5.0,,ECEA1VN221U( ),360,200,500
35,330,0.603,12.5,20,0.15,0.6,5.0,5.0,,ECEA1VN331U( ),450,200,500
35,470,0.423,12.5,25,0.15,0.6,5.0,5.0,,ECEA1VN471U( ),590,200,500
50,2.2,90.429,5,11,0.15,0.5,2.0,5.0,2.5,ECEA1HN2R2U( ),18,200,2000
50,3.3,60.286,5,11,0.15,0.5,2.0,5.0,2.5,ECEA1HN3R3U( ),25,200,2000
50,4.7,42.328,5,11,0.15,0.5,2.0,5.0,2.5,ECEA1HN4R7U( ),30,200,2000
50,10,19.894,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECEA1HN100U( ),50,200,2000
50,22,9.043,8,11.5,0.15,0.6,3.5,5.0,,ECEA1HN220U( ),90,200,1000
50,33,6.029,8,11.5,0.15,0.6,3.5,5.0,,ECEA1HN330U( ),110,200,1000
50,47,4.233,10,12.5,0.15,0.6,5.0,5.0,,ECEA1HN470U( ),140,200,500
50,100,1.989,10,20,0.15,0.6,5.0,5.0,,ECEA1HN101U( ),250,200,500
50,220,0.904,12.5,25,0.15,0.6,5.0,5.0,,ECEA1HN221U( ),360,200,500
50,330,0.603,16,25,0.15,0.8,7.5,7.5,,ECEA1HN331U( ),450,100,250
50,470,0.423,16,31.5,0.15,0.8,7.5,,,ECEA1HN471U,590,100,
