Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,VC,Vibration resistant,Weight (g)
16,3300,12.5,25,-40,85,0.24,0.121,2000,1.15,1.0,1.13,1.1,0.85,1584,800,UKW1C332MHD,Uni-Polar,Radial Lead,Standard,1700,MP,52800.0,Normal,4.56
16,4700,16,25,-40,85,0.26,0.096,2000,1.15,1.0,1.13,1.1,0.85,2256,400,UKW1C472MHD,Uni-Polar,Radial Lead,Standard,2100,MP,75200.0,Normal,8.2
16,6800,16,35.5,-40,85,0.3,0.082,2000,1.15,1.0,1.13,1.1,0.85,3264,300,UKW1C682MHD,Uni-Polar,Radial Lead,Standard,2500,MP,108800.0,Normal,11.8
16,10000,18,35.5,-40,85,0.38,0.077,2000,1.15,1.0,1.13,1.1,0.85,4800,250,UKW1C103MHD,Uni-Polar,Radial Lead,Standard,2640,MP,160000.0,Normal,14.2
16,15000,20,40,-40,85,0.48,0.069,2000,1.15,1.0,1.13,1.1,0.85,7200,150,UKW1C153MRD,Uni-Polar,Radial Lead,Standard,3400,EOL,240000.0,Normal,19.6
16,22000,22,50,-40,85,0.62,0.064,2000,,,,,,10560,250,UKW1C223MRD,Uni-Polar,Radial Lead,Standard,4200,EOL,352000.0,Normal,27.4
16,33000,25,50,-40,85,0.84,0.06,2000,,,,,,15840,140,UKW1C333MRD,Uni-Polar,Radial Lead,Standard,4800,EOL,528000.0,Normal,38.8
25,47,5,11,-40,85,0.16,4.515,2000,2.0,1.0,1.57,1.35,0.75,35,6000,UKW1E470MDD,Uni-Polar,Radial Lead,Standard,115,EOL,1175.0,Normal,0.44
25,100,6.3,11,-40,85,0.16,2.122,2000,1.5,1.0,1.34,1.23,0.8,75,4000,UKW1E101MED,Uni-Polar,Radial Lead,Standard,185,EOL,2500.0,Normal,0.59
25,220,8,11.5,-40,85,0.16,0.965,2000,1.5,1.0,1.34,1.23,0.8,165,3000,UKW1E221MPD,Uni-Polar,Radial Lead,Standard,320,MP,5500.0,Normal,1.19
25,330,10,12.5,-40,85,0.16,0.643,2000,1.5,1.0,1.34,1.23,0.8,248,2000,UKW1E331MPD,Uni-Polar,Radial Lead,Standard,420,MP,8250.0,Normal,1.49
25,470,10,12.5,-40,85,0.16,0.452,2000,1.5,1.0,1.34,1.23,0.8,353,2000,UKW1E471MPD,Uni-Polar,Radial Lead,Standard,530,MP,11750.0,Normal,1.49
25,1000,10,20,-40,85,0.16,0.239,2000,1.15,1.0,1.13,1.1,0.85,750,1400,UKW1E102MPD,Uni-Polar,Radial Lead,Standard,950,MP,25000.0,Normal,2.34
25,2200,12.5,25,-40,85,0.18,0.133,2000,1.15,1.0,1.13,1.1,0.85,1650,800,UKW1E222MHD,Uni-Polar,Radial Lead,Standard,1550,MP,55000.0,Normal,4.56
