Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Status,VC,Vibration resistant,Weight (g)
6.3,2700,0.24,0.044,18,15,-55,105,0.138,5000,0.088,510,400,UPM0J272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1350,,,MP,17010,Normal,6.31
6.3,3300,0.26,0.034,12.5,25,-55,105,0.129,5000,0.068,624,800,UPM0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1698.3,1698.3,1530,1667.7,1621.8,MP,20790,Normal,4.56
6.3,3300,0.26,0.039,18,15,-55,105,0.129,5000,0.078,624,400,UPM0J332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1598.4,1598.4,1440,1569.6,1526.4,MP,20790,Normal,6.31
6.3,3900,0.26,0.031,12.5,30.5,-55,105,0.109,5000,0.062,737,600,UPM0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1780,,,MP,24570,Normal,6.01
6.3,3900,0.26,0.036,16,20,-55,105,0.109,5000,0.072,737,600,UPM0J392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1590,,,MP,24570,Normal,6.6
6.3,4700,0.28,0.028,12.5,35.5,-55,105,0.102,5000,0.056,888,500,UPM0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2220,2220,2000,2180,2120,MP,29610,Normal,7.06
6.3,4700,0.28,0.032,18,20,-55,105,0.102,5000,0.064,888,400,UPM0J472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1909.2,1909.2,1720,1874.8,1823.2,MP,29610,Normal,9
6.3,5600,0.3,0.026,12.5,40,-55,105,0.095,5000,0.052,1058,400,UPM0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2210,,,MP,35280,Normal,7.57
6.3,5600,0.3,0.03,18,20,-55,105,0.095,5000,0.06,1058,400,UPM0J562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1780,,,MP,35280,Normal,9
6.3,6800,0.32,0.024,16,30.5,-55,105,0.086,5000,0.048,1285,300,UPM0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2497.5,2497.5,2250,2452.5,2385,MP,42840,Normal,9.6
