Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz
25,6200,0.051,0.023,18,30,0.24,0.19,EGVD250E□□622MM30H,5380,3330
25,8200,0.045,0.019,18,35.5,0.28,0.13,EGVD250E□□822MMP1H,6110,3750
35,3600,0.059,0.023,18,30,0.16,0.19,EGVD350E□□362MM30H,5380,3330
35,4700,0.051,0.019,18,35.5,0.18,0.13,EGVD350E□□472MMP1H,6110,3750
50,2000,0.08,0.029,18,30,0.12,0.26,EGVD500E□□202MM30H,5050,2910
50,2400,0.066,0.024,18,35.5,0.12,0.2,EGVD500E□□242MMP1H,5760,3330
63,1300,0.102,0.029,18,30,0.1,0.18,EGVD630E□□132MM30H,3930,3100
63,1800,0.074,0.024,18,35.5,0.1,0.14,EGVD630E□□182MMP1H,4920,3520
80,820,0.129,0.029,18,30,0.08,0.18,EGVD800E□□821MM30H,3930,3100
80,1200,0.088,0.024,18,35.5,0.08,0.14,EGVD800E□□122MMP1H,4920,3520
100,510,0.208,0.038,18,30,0.08,0.25,EGVD101E□□511MM30H,3800,2830
100,680,0.156,0.03,18,35.5,0.08,0.19,EGVD101E□□681MMP1H,4550,3210
