Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -40°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,1700,0.2,0.057,12.5,20,0.172,0.29,ELBG250E □□ 172AK20S,1700,1608.38,1017.96,1476.05,42500
25,2400,0.22,0.045,12.5,25,0.144,0.23,ELBG250E □□ 242AK25S,2000,1909.77,1503.76,1804.51,60000
25,2400,0.22,0.051,14.5,20,0.144,0.26,ELBG250E □□ 242AU20S,2000,1909.77,1503.76,1804.51,60000
25,2800,0.22,0.039,12.5,30,0.123,0.2,ELBG250E □□ 282AK30S,2300,2196.24,1729.32,2075.19,70000
25,3000,0.24,0.044,16,20,0.133,0.22,ELBG250E □□ 302AL20S,2250,2148.5,1691.73,2030.08,75000
25,3400,0.24,0.041,14.5,25,0.117,0.21,ELBG250E □□ 342AU25S,2400,2291.73,1804.51,2165.41,85000
25,3500,0.24,0.033,12.5,35,0.114,0.17,ELBG250E □□ 352AK35S,2700,2578.2,2030.08,2436.09,87500
25,4200,0.26,0.033,16,25,0.107,0.17,ELBG250E □□ 422AL25S,2600,2533.9,2203.39,2467.8,105000
25,4200,0.26,0.042,18,20,0.107,0.21,ELBG250E □□ 422AM20S,2500,2436.44,2118.64,2372.88,105000
25,4500,0.26,0.027,12.5,40,0.1,0.14,ELBG250E □□ 452AK40S,3100,3021.19,2627.12,2942.37,112500
25,4600,0.26,0.032,14.5,31.5,0.098,0.16,ELBG250E □□ 462AUN3S,2700,2631.36,2288.14,2562.71,115000
25,5400,0.28,0.028,14.5,35.5,0.093,0.14,ELBG250E □□ 542AUP1S,3100,3021.19,2627.12,2942.37,135000
25,5600,0.28,0.026,16,31.5,0.09,0.13,ELBG250E □□ 562ALN3S,3200,3118.64,2711.86,3037.29,140000
25,6000,0.3,0.03,18,25,0.093,0.15,ELBG250E □□ 602AM25S,2800,2728.81,2372.88,2657.63,150000
25,6400,0.3,0.025,14.5,40,0.087,0.13,ELBG250E □□ 642AU40S,3400,3313.56,2881.36,3227.12,160000
25,6600,0.3,0.023,16,35.5,0.084,0.12,ELBG250E □□ 662ALP1S,3500,3411.02,2966.1,3322.03,165000
25,7800,0.32,0.021,16,40,0.078,0.11,ELBG250E □□ 782AL40S,3800,3703.39,3220.34,3606.78,195000
25,7900,0.32,0.024,18,31.5,0.077,0.12,ELBG250E □□ 792AMN3S,3500,3411.02,2966.1,3322.03,197500
25,9200,0.36,0.022,18,35.5,0.078,0.11,ELBG250E □□ 922AMP1S,3700,3605.93,3135.59,3511.86,230000
25,11000,0.4,0.02,18,40,0.075,0.1,ELBG250E □□ 113AM40S,4000,3898.31,3389.83,3796.61,275000
35,1000,0.16,0.057,12.5,20,0.239,0.29,ELBG350E □□ 102AK20S,1700,1608.38,1017.96,1476.05,35000
35,1400,0.16,0.045,12.5,25,0.171,0.23,ELBG350E □□ 142AK25S,2000,1892.22,1197.6,1736.53,49000
35,1400,0.16,0.051,14.5,20,0.171,0.26,ELBG350E □□ 142AU20S,2000,1892.22,1197.6,1736.53,49000
35,1600,0.16,0.039,12.5,30,0.149,0.2,ELBG350E □□ 162AK30S,2300,2176.05,1377.25,1997.01,56000
35,1800,0.16,0.044,16,20,0.133,0.22,ELBG350E □□ 182AL20S,2250,2128.74,1347.31,1953.59,63000
35,2000,0.18,0.041,14.5,25,0.146,0.21,ELBG350E □□ 202AU25S,2400,2270.66,1437.13,2083.83,70000
35,2100,0.18,0.033,12.5,35,0.139,0.17,ELBG350E □□ 212AK35S,2700,2578.2,2030.08,2436.09,73500
35,2500,0.18,0.033,16,25,0.117,0.17,ELBG350E □□ 252AL25S,2600,2482.71,1954.89,2345.86,87500
35,2500,0.18,0.042,18,20,0.117,0.21,ELBG350E □□ 252AM20S,2500,2387.22,1879.7,2255.64,87500
35,2700,0.18,0.027,12.5,40,0.108,0.14,ELBG350E □□ 272AK40S,3100,2960.15,2330.83,2796.99,94500
35,2800,0.18,0.032,14.5,31.5,0.104,0.16,ELBG350E □□ 282AUN3S,2700,2578.2,2030.08,2436.09,98000
35,3200,0.2,0.028,14.5,35.5,0.108,0.14,ELBG350E □□ 322AUP1S,3100,2960.15,2330.83,2796.99,112000
35,3400,0.2,0.026,16,31.5,0.101,0.13,ELBG350E □□ 342ALN3S,3200,3055.64,2406.02,2887.22,119000
35,3600,0.2,0.03,18,25,0.096,0.15,ELBG350E □□ 362AM25S,2800,2673.68,2105.26,2526.32,126000
35,3800,0.2,0.025,14.5,40,0.091,0.13,ELBG350E □□ 382AU40S,3400,3246.62,2556.39,3067.67,133000
35,4000,0.22,0.023,16,35.5,0.099,0.12,ELBG350E □□ 402ALP1S,3500,3411.02,2966.1,3322.03,140000
35,4700,0.22,0.021,16,40,0.085,0.11,ELBG350E □□ 472AL40S,3800,3703.39,3220.34,3606.78,164500
35,4800,0.22,0.024,18,31.5,0.083,0.12,ELBG350E □□ 482AMN3S,3500,3411.02,2966.1,3322.03,168000
35,5600,0.24,0.022,18,35.5,0.081,0.11,ELBG350E □□ 562AMP1S,3700,3605.93,3135.59,3511.86,196000
35,6700,0.26,0.02,18,40,0.075,0.1,ELBG350E □□ 672AM40S,4000,3898.31,3389.83,3796.61,234500
