Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 125°C@100kHz,Size Code,VC
35,1500,0.023,0.089,12.5,35,0.12,0.124,1.18,1.18,1.0,1.12,0.94,0.94,2970,G35,52500
35,1500,0.02,0.089,16,31.5,0.12,0.124,1.18,1.18,1.0,1.12,0.94,0.94,3160,J31,52500
35,1500,0.022,0.089,18,25,0.12,0.124,1.18,1.18,1.0,1.12,0.94,0.94,3200,K25,52500
35,1800,0.02,0.074,12.5,40,0.12,0.103,1.18,1.18,1.0,1.12,0.94,0.94,3600,G40,63000
35,1800,0.024,0.074,16,25,0.12,0.103,1.18,1.18,1.0,1.12,0.94,0.94,3100,J25,63000
35,2200,0.02,0.069,16,31.5,0.12,0.096,1.18,1.18,1.0,1.12,0.94,0.94,3160,J31,77000
35,2200,0.019,0.069,16,35.5,0.12,0.096,1.18,1.18,1.0,1.12,0.94,0.94,3590,J35,77000
35,2200,0.022,0.069,18,25,0.12,0.096,1.18,1.18,1.0,1.12,0.94,0.94,3200,K25,77000
35,2700,0.019,0.056,16,35.5,0.12,0.079,1.18,1.18,1.0,1.12,0.94,0.94,3590,J35,94500
35,2700,0.018,0.056,18,31.5,0.12,0.079,1.18,1.18,1.0,1.12,0.94,0.94,3410,K31,94500
35,3300,0.017,0.052,16,40,0.12,0.072,1.18,1.18,1.0,1.12,0.94,0.94,4300,J40,115500
35,3300,0.017,0.052,18,35.5,0.12,0.072,1.18,1.18,1.0,1.12,0.94,0.94,4200,K35,115500
35,4700,0.016,0.041,18,40,0.12,0.056,1.18,1.18,1.0,1.12,0.94,0.94,4600,K40,164500
50,470,0.07,0.16,12.5,20,0.1,0.282,1.33,1.33,1.0,1.2,0.93,0.93,1500,G20,23500
50,560,0.038,0.134,12.5,30,0.1,0.237,1.33,1.33,1.0,1.2,0.93,0.93,2150,G30,28000
50,820,0.038,0.091,12.5,30,0.1,0.162,1.33,1.33,1.0,1.2,0.93,0.93,2150,G30,41000
50,1000,0.031,0.09,16,25,0.1,0.159,1.33,1.33,1.0,1.2,0.93,0.93,2620,J25,50000
50,1800,0.025,0.064,18,31.5,0.1,0.088,1.18,1.18,1.0,1.12,0.94,0.94,3140,K31,90000
50,2200,0.022,0.061,18,35.5,0.1,0.084,1.18,1.18,1.0,1.12,0.94,0.94,3510,K35,110000
63,820,0.08,0.091,16,31.5,0.1,0.162,1.33,1.33,1.0,1.2,0.93,0.93,1910,J31,51660
63,1000,0.066,0.09,16,35.5,0.1,0.159,1.33,1.33,1.0,1.2,0.93,0.93,2110,J35,63000
80,470,0.116,0.128,16,25,0.08,0.226,1.33,1.33,1.0,1.2,0.93,0.93,1500,J25,37600
80,560,0.1,0.107,18,25,0.08,0.189,1.33,1.33,1.0,1.2,0.93,0.93,1600,K25,44800
80,820,0.062,0.073,18,35.5,0.08,0.129,1.33,1.33,1.0,1.2,0.93,0.93,2180,K35,65600
80,1000,0.051,0.075,18,40,0.08,0.133,1.33,1.33,1.0,1.2,0.93,0.93,2470,K40,80000
