Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,RC 100 kHz 105°C (mA),Surge Voltage
16,10,2122.068,0.95,5,11,16,ESL106M016AC3(1),150,20
16,15,1414.712,0.95,5,11,16,ESL156M016AC3(1),155,20
16,22,964.576,0.36,5,11,16,ESL226M016AC3(1),170,20
16,33,643.051,0.36,5,11,16,ESL336M016AC3(1),185,20
16,39,544.12,0.36,5,11,16,ESL396M016AC3(1),225,20
16,47,451.504,0.23,5,11,16,ESL476M016AC3(1),245,20
16,56,378.941,0.23,5,11,16,ESL566M016AC3(1),280,20
16,68,312.069,0.23,5,11,16,ESL686M016AC3(1),305,20
16,100,212.207,0.23,5,11,16,ESL107M016AC3(1),345,20
16,120,176.839,0.098,6.3,11,16,ESL127M016AE3(1),485,20
16,150,141.471,0.098,6.3,11,16,ESL157M016AE3(1),510,20
16,180,117.893,0.098,6.3,11,16,ESL187M016AE3(1),525,20
16,220,96.458,0.098,6.3,11,16,ESL227M016AE3(1),555,20
16,270,78.595,0.061,8,11.5,16,ESL277M016AGM(1),870,20
16,330,64.305,0.061,8,11.5,16,ESL337M016AGM(1),920,20
16,390,54.412,0.061,8,11.5,16,ESL397M016AGM(1),940,20
16,470,45.15,0.061,8,11.5,16,ESL477M016AGM(1),960,20
16,560,37.894,0.043,10,12.5,16,ESL567M016AH9(1),1340,20
16,560,37.894,0.049,8,16,16,ESL567M016AG8(1),1230,20
16,680,31.207,0.043,10,12.5,16,ESL687M016AH9(1),1340,20
16,680,31.207,0.049,8,16,16,ESL687M016AG8(1),1280,20
16,820,25.879,0.031,10,16,16,ESL827M016AH8(1),1770,20
16,820,25.879,0.031,8,20,16,ESL827M016AG6(1),1540,20
16,1000,21.221,0.031,10,16,16,ESL108M016AH8(1),1770,20
16,1000,21.221,0.031,8,20,16,ESL108M016AG6(1),1540,20
16,1200,17.684,0.022,10,20,16,ESL128M016AH4(1),1970,20
16,1200,17.684,0.02,12.5,15,16,ESL128M016AK7(1),2340,20
16,1500,14.147,0.022,10,20,16,ESL158M016AH4(1),1970,20
16,1500,14.147,0.02,12.5,15,16,ESL158M016AK7(1),2340,20
16,1800,11.789,0.02,10,25,16,ESL188M016AH5(1),2260,20
16,1800,11.789,0.019,12.5,20,16,ESL188M016AK5(1),2490,20
16,2200,10.851,0.019,12.5,20,18,ESL228M016AK5(1),2490,20
16,2700,8.842,0.017,12.5,25,18,ESL278M016AK1(1),2710,20
16,3300,8.038,0.014,12.5,30,20,ESL338M016AK2(1),2960,20
16,3300,8.038,0.017,16,20,20,ESL338M016AM5AA,2960,20
16,3900,6.801,0.014,12.5,30,20,ESL398M016AK2(1),3060,20
16,3900,6.801,0.017,16,20,20,ESL398M016AM5AA,3060,20
16,4700,6.208,0.013,12.5,35,22,ESL478M016AK3(1),3280,20
16,4700,6.208,0.014,16,25,22,ESL478M016AM7AA,3240,20
16,5600,5.684,0.012,16,30,24,ESL568M016AM9AA,3700,20
16,5600,5.684,0.013,18,25,24,ESL568M016AN5AA,3660,20
16,6800,5.071,0.012,16,30,26,ESL688M016AM9AA,3900,20
16,6800,5.071,0.013,18,25,26,ESL688M016AN5AA,3860,20
25,10,1856.809,0.95,5,11,14,ESL106M025AC3(1),160,32
25,15,1237.873,0.95,5,11,14,ESL156M025AC3(1),170,32
25,22,844.004,0.36,5,11,14,ESL226M025AC3(1),185,32
25,33,562.669,0.36,5,11,14,ESL336M025AC3(1),200,32
25,39,476.105,0.36,5,11,14,ESL396M025AC3(1),225,32
25,47,395.066,0.23,5,11,14,ESL476M025AC3(1),315,32
25,56,331.573,0.23,5,11,14,ESL566M025AC3(1),335,32
25,68,273.06,0.23,5,11,14,ESL686M025AC3(1),355,32
25,100,185.681,0.098,6.3,11,14,ESL107M025AE3(1),485,32
25,120,154.734,0.098,6.3,11,14,ESL127M025AE3(1),525,32
25,150,123.787,0.098,6.3,11,14,ESL157M025AE3(1),555,32
25,180,103.156,0.061,8,11.5,14,ESL187M025AGM(1),875,32
25,220,84.4,0.061,8,11.5,14,ESL227M025AGM(1),905,32
25,270,68.771,0.061,8,11.5,14,ESL277M025AGM(1),965,32
25,330,56.267,0.061,8,11.5,14,ESL337M025AGM(1),965,32
25,390,47.61,0.043,10,12.5,14,ESL397M025AH9(1),1340,32
25,390,47.61,0.049,8,16,14,ESL397M025AG8(1),1280,32
25,470,39.507,0.043,10,12.5,14,ESL477M025AH9(1),1325,32
25,560,33.157,0.031,10,16,14,ESL567M025AH8(1),1770,32
25,560,33.157,0.031,8,20,14,ESL567M025AG6(1),1540,32
25,680,27.306,0.031,10,16,14,ESL687M025AH8(1),1770,32
25,820,22.644,0.02,10,20,14,ESL827M025AH4(1),2010,32
25,820,22.644,0.02,12.5,15,14,ESL827M025AK7(1),2010,32
25,1000,18.568,0.02,10,25,14,ESL108M025AH5(1),2260,32
25,1000,18.568,0.019,12.5,20,14,ESL108M025AK5(1),2260,32
25,1200,15.473,0.019,12.5,20,14,ESL128M025AK5(1),2370,32
25,1500,12.379,0.019,12.5,20,14,ESL158M025AK5(1),2490,32
25,1800,10.316,0.017,12.5,25,14,ESL188M025AK1(1),2910,32
25,2200,9.646,0.014,12.5,30,16,ESL228M025AK2(1),3460,32
25,2200,9.646,0.017,16,20,16,ESL228M025AM5AA,3260,32
25,2700,7.86,0.013,12.5,35,16,ESL278M025AK3(1),3580,32
25,2700,7.86,0.014,16,25,16,ESL278M025AM7AA,3640,32
25,3300,7.234,0.012,12.5,40,18,ESL338M025AK4(1),3900,32
25,3300,7.234,0.014,16,25,18,ESL338M025AM7AA,3640,32
25,3900,6.121,0.012,16,30,18,ESL398M025AM9AA,3900,32
25,3900,6.121,0.013,18,25,18,ESL398M025AN5AA,3660,32
25,4700,5.644,0.011,16,35,20,ESL478M025AMPAA,3840,32
25,4700,5.644,0.011,18,30,20,ESL478M025AN8AA,4020,32
25,5600,5.21,0.01,18,35,22,ESL568M025ANAAA,4090,32
25,6800,4.681,0.01,18,40,24,ESL688M025AN3AA,4160,32
35,10,1591.551,1.35,5,11,12,ESL106M035AC3(1),165,44
35,15,1061.034,0.95,5,11,12,ESL156M035AC3(1),175,44
35,22,723.432,0.95,5,11,12,ESL226M035AC3(1),195,44
35,33,482.288,0.36,5,11,12,ESL336M035AC3(1),205,44
35,39,408.09,0.36,5,11,12,ESL396M035AC3(1),245,44
35,47,338.628,0.23,5,11,12,ESL476M035AC3(1),345,44
35,56,284.205,0.15,6.3,11,12,ESL566M035AE3(1),480,44
35,68,234.052,0.13,6.3,11,12,ESL686M035AE3(1),520,44
35,100,159.155,0.085,6.3,11,12,ESL107M035AE3(1),545,44
35,120,132.629,0.078,8,11.5,12,ESL127M035AGM(1),780,44
35,150,106.103,0.072,8,11.5,12,ESL157M035AGM(1),840,44
35,180,88.419,0.068,8,11.5,12,ESL187M035AGM(1),965,44
35,220,72.343,0.043,10,12.5,12,ESL227M035AH9(1),1180,44
35,220,72.343,0.048,8,16,12,ESL227M035AG8(1),1020,44
35,270,58.946,0.043,10,12.5,12,ESL277M035AH9(1),1210,44
35,270,58.946,0.048,8,16,12,ESL277M035AG8(1),1050,44
35,330,48.229,0.043,10,12.5,12,ESL337M035AH9(1),1340,44
35,390,40.809,0.03,10,16,12,ESL397M035AH8(1),1650,44
35,390,40.809,0.03,8,20,12,ESL397M035AG6(1),1520,44
35,470,33.863,0.03,10,16,12,ESL477M035AH8(1),1755,44
35,560,28.421,0.03,10,20,12,ESL567M035AH4(1),1970,44
35,560,28.421,0.025,12.5,15,12,ESL567M035AK7(1),2340,44
35,680,23.405,0.024,10,25,12,ESL687M035AH5(1),2260,44
35,680,23.405,0.024,12.5,20,12,ESL687M035AK5(1),2360,44
35,820,19.409,0.024,12.5,20,12,ESL827M035AK5(1),2490,44
35,1000,15.916,0.024,12.5,20,12,ESL108M035AK5(1),2490,44
35,1200,13.263,0.023,12.5,25,12,ESL128M035AK1(1),2910,44
35,1500,10.61,0.014,12.5,30,12,ESL158M035AK2(1),3460,44
35,1500,10.61,0.022,16,20,12,ESL158M035AM5AA,3260,44
35,1800,8.842,0.012,12.5,35,12,ESL188M035AK3(1),3470,44
35,1800,8.842,0.021,16,25,12,ESL188M035AM7AA,3580,44
35,2200,8.44,0.02,16,25,14,ESL228M035AM7AA,3640,44
35,2700,6.877,0.011,16,30,14,ESL278M035AM9AA,3540,44
35,2700,6.877,0.011,18,25,14,ESL278M035AN5AA,3650,44
35,3300,6.431,0.01,18,35,16,ESL338M035ANAAA,4090,44
35,3900,5.441,0.01,18,40,16,ESL398M035AN3AA,4160,44
50,10,1326.292,1.35,5,11,10,ESL106M050AC3(1),185,63
50,15,884.195,1.35,5,11,10,ESL156M050AC3(1),195,63
50,22,602.86,0.55,5,11,10,ESL226M050AC3(1),240,63
50,33,401.907,0.32,6.3,11,10,ESL336M050AE3(1),400,63
50,39,340.075,0.23,6.3,11,10,ESL396M050AE3(1),400,63
50,47,282.19,0.23,6.3,11,10,ESL476M050AE3(1),420,63
50,56,236.838,0.12,6.3,11,10,ESL566M050AE3(1),385,63
50,68,195.043,0.135,8,11.5,10,ESL686M050AGM(1),640,63
50,100,132.629,0.12,8,11.5,10,ESL107M050AGM(1),725,63
50,120,110.524,0.061,8,16,10,ESL127M050AG8(1),975,63
50,150,88.419,0.061,8,16,10,ESL157M050AG8(1),975,63
50,180,73.683,0.046,10,16,10,ESL187M050AH8(1),1380,63
50,220,60.286,0.042,10,16,10,ESL227M050AH8(1),1380,63
50,220,60.286,0.041,8,20,10,ESL227M050AG6(1),1320,63
50,270,49.122,0.036,10,20,10,ESL277M050AH4(1),1590,63
50,270,49.122,0.038,12.5,15,10,ESL277M050AK7(1),1762,63
50,330,40.191,0.036,10,25,10,ESL337M050AH5(1),1650,63
50,390,34.007,0.031,10,25,10,ESL397M050AH5(1),1880,63
50,390,34.007,0.03,12.5,20,10,ESL397M050AK5(1),2060,63
50,470,28.219,0.03,12.5,20,10,ESL477M050AK5(1),2050,63
50,560,23.684,0.02,12.5,25,10,ESL567M050AK1(1),2420,63
50,680,19.504,0.021,12.5,30,10,ESL687M050AK2(1),2860,63
50,820,16.174,0.022,12.5,30,10,ESL827M050AK2(1),2870,63
50,1000,13.263,0.018,12.5,35,10,ESL108M050AK3(1),3050,63
50,1000,13.263,0.02,16,25,10,ESL108M050AM7AA,3010,63
50,1200,11.052,0.018,16,30,10,ESL128M050AM9AA,3290,63
50,1200,11.052,0.025,18,25,10,ESL128M050AN5AA,3070,63
50,1500,8.842,0.018,16,35,10,ESL158M050AMPAA,3050,63
50,1500,8.842,0.023,18,25,10,ESL158M050AN5AA,3310,63
50,1800,7.368,0.016,16,40,10,ESL188M050AM4AA,3440,63
