Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,330,0.28,6.3,11,-40,85,1.125,2000,62,4000,UFW0J331MED,Uni-Polar,Radial Lead,Standard,397.5,265,355.1,325.95,212,EOL,2079,Normal,0.59
6.3,470,0.28,6.3,11,-40,85,0.79,2000,89,4000,UFW0J471MED,Uni-Polar,Radial Lead,Standard,465,310,415.4,381.3,248,EOL,2961,Normal,0.59
6.3,1000,0.28,8,11.5,-40,85,0.398,2000,189,3000,UFW0J102MPD,Uni-Polar,Radial Lead,Standard,609.5,530,598.9,583,450.5,LTB,6300,Normal,1.19
6.3,2200,0.3,10,20,-40,85,0.205,2000,416,1400,UFW0J222MPD,Uni-Polar,Radial Lead,Standard,1127,980,1107.4,1078,833,LTB,13860,Normal,2.34
6.3,3300,0.32,10,20,-40,85,0.153,2000,624,1400,UFW0J332MPD,Uni-Polar,Radial Lead,Standard,1345.5,1170,1322.1,1287,994.5,LTB,20790,Normal,2.34
6.3,4700,0.34,12.5,20,-40,85,0.119,2000,888,1000,UFW0J472MHD,Uni-Polar,Radial Lead,Standard,1552.5,1350,1525.5,1485,1147.5,LTB,29610,Normal,3.43
6.3,6800,0.38,12.5,25,-40,85,0.098,2000,1285,800,UFW0J682MHD,Uni-Polar,Radial Lead,Standard,1840,1600,1808,1760,1360,LTB,42840,Normal,4.56
6.3,10000,0.46,16,25,-40,85,0.088,2000,1890,400,UFW0J103MHD,Uni-Polar,Radial Lead,Standard,2300,2000,2260,2200,1700,LTB,63000,Normal,8.2
6.3,15000,0.56,16,35.5,-40,85,0.076,2000,2835,300,UFW0J153MHD,Uni-Polar,Radial Lead,Standard,,2550,,,,LTB,94500,Normal,11.8
6.3,22000,0.7,18,40,-40,85,0.069,2000,4158,200,UFW0J223MHD,Uni-Polar,Radial Lead,Standard,,3200,,,,LTB,138600,Normal,17.7
6.3,33000,0.92,22,50,-40,85,0.064,2000,6237,250,UFW0J333MRD,Uni-Polar,Radial Lead,Standard,,3900,,,,EOL,207900,Normal,27.4
10,100,0.24,5,11,-40,85,3.183,2000,30,6000,UFW1A101MDD,Uni-Polar,Radial Lead,Standard,217.5,145,194.3,178.35,116,EOL,1000,Normal,0.44
10,220,0.24,6.3,11,-40,85,1.447,2000,66,4000,UFW1A221MED,Uni-Polar,Radial Lead,Standard,345,230,308.2,282.9,184,EOL,2200,Normal,0.59
10,330,0.24,6.3,11,-40,85,0.965,2000,99,4000,UFW1A331MED,Uni-Polar,Radial Lead,Standard,405,270,361.8,332.1,216,EOL,3300,Normal,0.59
10,470,0.24,6.3,11,-40,85,0.677,2000,141,4000,UFW1A471MED,Uni-Polar,Radial Lead,Standard,495,330,442.2,405.9,264,EOL,4700,Normal,0.59
10,1000,0.24,10,12.5,-40,85,0.345,2000,300,2000,UFW1A102MPD,Uni-Polar,Radial Lead,Standard,724.5,630,711.9,693,535.5,LTB,10000,Normal,1.49
10,2200,0.26,10,20,-40,85,0.181,2000,660,1400,UFW1A222MPD,Uni-Polar,Radial Lead,Standard,1207.5,1050,1186.5,1155,892.5,LTB,22000,Normal,2.34
10,3300,0.28,12.5,20,-40,85,0.137,2000,990,1000,UFW1A332MHD,Uni-Polar,Radial Lead,Standard,1633,1420,1604.6,1562,1207,LTB,33000,Normal,3.43
10,4700,0.3,12.5,25,-40,85,0.107,2000,1410,800,UFW1A472MHD,Uni-Polar,Radial Lead,Standard,2070,1800,2034,1980,1530,LTB,47000,Normal,4.56
10,6800,0.34,16,25,-40,85,0.09,2000,2040,400,UFW1A682MHD,Uni-Polar,Radial Lead,Standard,2472.5,2150,2429.5,2365,1827.5,LTB,68000,Normal,8.2
10,10000,0.42,16,35.5,-40,85,0.082,2000,3000,300,UFW1A103MHD,Uni-Polar,Radial Lead,Standard,2875,2500,2825,2750,2125,LTB,100000,Normal,11.8
10,15000,0.52,18,35.5,-40,85,0.073,2000,4500,250,UFW1A153MHD,Uni-Polar,Radial Lead,Standard,,2720,,,,LTB,150000,Normal,14.2
10,22000,0.66,20,40,-40,85,0.066,2000,6600,150,UFW1A223MRD,Uni-Polar,Radial Lead,Standard,,3700,,,,EOL,220000,Normal,19.6
10,33000,0.88,22,50,-40,85,0.062,2000,9900,250,UFW1A333MRD,Uni-Polar,Radial Lead,Standard,,4500,,,,EOL,330000,Normal,27.4
16,100,0.2,5,11,-40,85,2.653,2000,48,6000,UFW1C101MDD,Uni-Polar,Radial Lead,Standard,232.5,155,207.7,190.65,124,EOL,1600,Normal,0.44
16,220,0.2,6.3,11,-40,85,1.206,2000,106,4000,UFW1C221MED,Uni-Polar,Radial Lead,Standard,375,250,335,307.5,200,EOL,3520,Normal,0.59
16,330,0.2,8,11.5,-40,85,0.804,2000,158,3000,UFW1C331MPD,Uni-Polar,Radial Lead,Standard,540,360,482.4,442.8,288,MP,5280,Normal,1.19
16,470,0.2,8,11.5,-40,85,0.564,2000,226,3000,UFW1C471MPD,Uni-Polar,Radial Lead,Standard,630,420,562.8,516.6,336,MP,7520,Normal,1.19
16,1000,0.2,10,16,-40,85,0.292,2000,480,1800,UFW1C102MPD,Uni-Polar,Radial Lead,Standard,885.5,770,870.1,847,654.5,MP,16000,Normal,1.77
16,2200,0.22,12.5,20,-40,85,0.157,2000,1056,1000,UFW1C222MHD,Uni-Polar,Radial Lead,Standard,1437.5,1250,1412.5,1375,1062.5,MP,35200,Normal,3.43
16,3300,0.24,12.5,25,-40,85,0.121,2000,1584,800,UFW1C332MHD,Uni-Polar,Radial Lead,Standard,1955,1700,1921,1870,1445,MP,52800,Normal,4.56
16,4700,0.26,16,25,-40,85,0.096,2000,2256,400,UFW1C472MHD,Uni-Polar,Radial Lead,Standard,2415,2100,2373,2310,1785,MP,75200,Normal,8.2
16,6800,0.3,16,35.5,-40,85,0.082,2000,3264,300,UFW1C682MHD,Uni-Polar,Radial Lead,Standard,2875,2500,2825,2750,2125,MP,108800,Normal,11.8
16,10000,0.38,18,35.5,-40,85,0.077,2000,4800,250,UFW1C103MHD,Uni-Polar,Radial Lead,Standard,3036,2640,2983.2,2904,2244,MP,160000,Normal,14.2
16,15000,0.48,20,40,-40,85,0.069,2000,7200,150,UFW1C153MRD,Uni-Polar,Radial Lead,Standard,,3400,,,,EOL,240000,Normal,19.6
16,22000,0.62,22,50,-40,85,0.064,2000,10560,250,UFW1C223MRD,Uni-Polar,Radial Lead,Standard,,4200,,,,EOL,352000,Normal,27.4
16,33000,0.84,25,50,-40,85,0.06,2000,15840,140,UFW1C333MRD,Uni-Polar,Radial Lead,Standard,,4800,,,,EOL,528000,Normal,38.8
25,47,0.16,5,11,-40,85,4.515,2000,35,6000,UFW1E470MDD,Uni-Polar,Radial Lead,Standard,230,115,180.55,155.25,86.25,EOL,1175,Normal,0.44
25,100,0.16,6.3,11,-40,85,2.122,2000,75,4000,UFW1E101MED,Uni-Polar,Radial Lead,Standard,277.5,185,247.9,227.55,148,EOL,2500,Normal,0.59
25,220,0.16,8,11.5,-40,85,0.965,2000,165,3000,UFW1E221MPD,Uni-Polar,Radial Lead,Standard,480,320,428.8,393.6,256,MP,5500,Normal,1.19
25,330,0.16,10,12.5,-40,85,0.643,2000,248,2000,UFW1E331MPD,Uni-Polar,Radial Lead,Standard,630,420,562.8,516.6,336,MP,8250,Normal,1.49
25,470,0.16,10,12.5,-40,85,0.452,2000,353,2000,UFW1E471MPD,Uni-Polar,Radial Lead,Standard,795,530,710.2,651.9,424,MP,11750,Normal,1.49
25,1000,0.16,10,20,-40,85,0.239,2000,750,1400,UFW1E102MPD,Uni-Polar,Radial Lead,Standard,1092.5,950,1073.5,1045,807.5,MP,25000,Normal,2.34
25,2200,0.18,12.5,25,-40,85,0.133,2000,1650,800,UFW1E222MHD,Uni-Polar,Radial Lead,Standard,1782.5,1550,1751.5,1705,1317.5,MP,55000,Normal,4.56
25,3300,0.2,16,25,-40,85,0.104,2000,2475,400,UFW1E332MHD,Uni-Polar,Radial Lead,Standard,2242.5,1950,2203.5,2145,1657.5,MP,82500,Normal,8.2
25,4700,0.22,16,30.5,-40,85,0.085,2000,3525,300,UFW1E472MHD,Uni-Polar,Radial Lead,Standard,2714,2360,2666.8,2596,2006,MP,117500,Normal,9.6
25,6800,0.26,18,35.5,-40,85,0.074,2000,5100,250,UFW1E682MHD,Uni-Polar,Radial Lead,Standard,2978.5,2590,2926.7,2849,2201.5,MP,170000,Normal,14.2
25,10000,0.34,20,40,-40,85,0.072,2000,7500,150,UFW1E103MRD,Uni-Polar,Radial Lead,Standard,3450,3000,3390,3300,2550,EOL,250000,Normal,19.6
25,15000,0.44,22,50,-40,85,0.065,2000,11250,250,UFW1E153MRD,Uni-Polar,Radial Lead,Standard,,3800,,,,EOL,375000,Normal,27.4
25,22000,0.58,25,50,-40,85,0.061,2000,16500,140,UFW1E223MRD,Uni-Polar,Radial Lead,Standard,,4500,,,,EOL,550000,Normal,38.8
35,33,0.14,5,11,-40,85,5.627,2000,35,6000,UFW1V330MDD,Uni-Polar,Radial Lead,Standard,210,105,164.85,141.75,78.75,EOL,1155,Normal,0.44
35,47,0.14,5,11,-40,85,3.951,2000,49,6000,UFW1V470MDD,Uni-Polar,Radial Lead,Standard,240,120,188.4,162,90,EOL,1645,Normal,0.44
35,100,0.14,6.3,11,-40,85,1.857,2000,105,4000,UFW1V101MED,Uni-Polar,Radial Lead,Standard,300,200,268,246,160,EOL,3500,Normal,0.59
35,220,0.14,10,12.5,-40,85,0.844,2000,231,2000,UFW1V221MPD,Uni-Polar,Radial Lead,Standard,555,370,495.8,455.1,296,MP,7700,Normal,1.49
35,330,0.14,10,12.5,-40,85,0.563,2000,347,2000,UFW1V331MPD,Uni-Polar,Radial Lead,Standard,705,470,629.8,578.1,376,MP,11550,Normal,1.49
35,470,0.14,10,16,-40,85,0.395,2000,494,1800,UFW1V471MPD,Uni-Polar,Radial Lead,Standard,945,630,844.2,774.9,504,MP,16450,Normal,1.77
35,1000,0.14,12.5,20,-40,85,0.212,2000,1050,1000,UFW1V102MHD,Uni-Polar,Radial Lead,Standard,1265,1100,1243,1210,935,MP,35000,Normal,3.43
35,2200,0.16,16,25,-40,85,0.121,2000,2310,400,UFW1V222MHD,Uni-Polar,Radial Lead,Standard,2070,1800,2034,1980,1530,MP,77000,Normal,8.2
35,3300,0.18,16,35.5,-40,85,0.096,2000,3465,300,UFW1V332MHD,Uni-Polar,Radial Lead,Standard,2553,2220,2508.6,2442,1887,MP,115500,Normal,11.8
35,4700,0.2,18,35.5,-40,85,0.079,2000,4935,250,UFW1V472MHD,Uni-Polar,Radial Lead,Standard,2863.5,2490,2813.7,2739,2116.5,MP,164500,Normal,14.2
35,6800,0.24,20,40,-40,85,0.07,2000,7140,150,UFW1V682MRD,Uni-Polar,Radial Lead,Standard,3450,3000,3390,3300,2550,EOL,238000,Normal,19.6
35,10000,0.32,22,50,-40,85,0.069,2000,10500,250,UFW1V103MRD,Uni-Polar,Radial Lead,Standard,4255,3700,4181,4070,3145,EOL,350000,Normal,27.4
35,15000,0.42,25,50,-40,85,0.064,2000,15750,140,UFW1V153MRD,Uni-Polar,Radial Lead,Standard,,4300,,,,EOL,525000,Normal,38.8
50,2.2,0.12,5,11,-40,85,72.343,2000,4,6000,UFW1H2R2MDD,Uni-Polar,Radial Lead,Standard,,23,,,,EOL,110.00000000000001,Normal,0.44
50,3.3,0.12,5,11,-40,85,48.229,2000,5,6000,UFW1H3R3MDD,Uni-Polar,Radial Lead,Standard,,35,,,,EOL,165,Normal,0.44
50,4.7,0.12,5,11,-40,85,33.863,2000,7,6000,UFW1H4R7MDD,Uni-Polar,Radial Lead,Standard,,40,,,,EOL,235,Normal,0.44
