Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
63,680,0.09,0.025,16,25,0.176,0.075,2600,2459.88,1556.89,2257.49,J25,42840
63,680,0.09,0.03,18,20,0.176,0.09,2500,2365.27,1497.01,2170.66,K20,42840
63,820,0.09,0.021,16,31.5,0.146,0.063,2850,2696.41,1706.59,2474.55,J31,51660
63,820,0.09,0.024,18,25,0.146,0.072,2800,2649.1,1676.65,2431.14,K25,51660
63,1000,0.09,0.019,16,35.5,0.146,0.057,2900,2743.71,1736.53,2517.96,J35,63000
63,1200,0.09,0.018,16,40,0.122,0.054,3400,3216.77,2035.93,2952.1,J40,75600
63,1200,0.09,0.02,18,31.5,0.122,0.06,3300,3122.16,1976.05,2865.27,K31,75600
63,1500,0.09,0.018,18,35.5,0.097,0.054,3400,3216.77,2035.93,2952.1,K35,94500
63,1800,0.09,0.017,18,40,0.081,0.051,3500,3311.38,2095.81,3038.92,K40,113400
80,68,0.09,0.17,10,12.5,1.755,0.66,480,432,192,360.96,F12,5440
80,100,0.09,0.11,10,16,1.194,0.47,600,540,240,451.2,F16,8000
80,120,0.09,0.084,10,20,0.995,0.34,800,720,320,601.6,F20,9600
80,150,0.09,0.069,10,25,0.796,0.28,900,810,360,676.8,F25,12000
80,220,0.09,0.062,12.5,20,0.543,0.18,1100,1034,550,935,G20,17600
80,330,0.09,0.047,12.5,25,0.362,0.14,1250,1175,625,1062.5,G25,26400
80,330,0.09,0.048,16,20,0.362,0.15,1350,1269,675,1147.5,J20,26400
80,390,0.09,0.042,12.5,30,0.306,0.13,1500,1410,750,1275,G30,31200
80,470,0.09,0.036,12.5,35,0.254,0.11,1650,1561.08,988.02,1432.63,G35,37600
80,470,0.09,0.038,16,25,0.254,0.12,1700,1608.38,1017.96,1476.05,J25,37600
80,470,0.09,0.045,18,20,0.254,0.14,1500,1419.16,898.2,1302.4,K20,37600
80,680,0.09,0.032,16,31.5,0.176,0.095,1850,1750.3,1107.78,1606.29,J31,54400
80,820,0.09,0.029,16,35.5,0.146,0.086,2000,1892.22,1197.6,1736.53,J35,65600
80,820,0.09,0.03,18,31.5,0.146,0.09,1900,1797.6,1137.72,1649.7,K31,65600
80,1200,0.09,0.026,18,40,0.122,0.077,2700,2554.49,1616.77,2344.31,K40,96000
100,6.8,0.08,1.4,5,11.5,15.603,5.6,125,112.5,50,94,C11,680
100,15,0.08,0.57,6.3,11.5,7.074,2.3,205,184.5,82,154.16,D11,1500
100,27,0.08,0.36,8,12,3.93,1.4,335,301.5,134,251.92,E12,2700
100,39,0.08,0.25,8,15,2.721,1,450,405,180,338.4,E15,3900
100,47,0.08,0.17,10,12.5,2.258,0.66,480,432,192,360.96,F12,4700
100,56,0.08,0.19,8,20,1.895,0.76,565,508.5,226,424.88,E20,5600
100,68,0.08,0.11,10,16,1.56,0.47,600,540,240,451.2,F16,6800
100,82,0.08,0.084,10,20,1.294,0.34,800,720,320,601.6,F20,8200
100,100,0.08,0.11,12.5,15,1.061,0.34,750,675,300,564,G15,10000
100,120,0.08,0.069,10,25,0.884,0.28,900,810,360,676.8,F25,12000
100,150,0.08,0.062,12.5,20,0.707,0.18,1100,990,440,827.2,G20,15000
100,220,0.08,0.048,16,20,0.482,0.15,1350,1269,675,1147.5,J20,22000
100,270,0.08,0.042,12.5,30,0.393,0.13,1500,1410,750,1275,G30,27000
100,330,0.08,0.036,12.5,35,0.322,0.11,1650,1551,825,1402.5,G35,33000
100,330,0.08,0.038,16,25,0.322,0.12,1700,1598,850,1445,J25,33000
100,330,0.08,0.045,18,20,0.322,0.14,1500,1410,750,1275,K20,33000
100,390,0.08,0.032,12.5,40,0.272,0.095,1800,1692,900,1530,G40,39000
100,470,0.08,0.032,16,31.5,0.226,0.095,1850,1750.3,1107.78,1606.29,J31,47000
100,470,0.08,0.036,18,25,0.226,0.11,1750,1655.69,1047.9,1519.46,K25,47000
100,560,0.08,0.029,16,35.5,0.189,0.086,2000,1892.22,1197.6,1736.53,J35,56000
100,560,0.08,0.03,18,31.5,0.189,0.09,1900,1797.6,1137.72,1649.7,K31,56000
100,680,0.08,0.027,16,40,0.156,0.081,2480,2346.35,1485.03,2153.29,J40,68000
100,680,0.08,0.027,18,35.5,0.156,0.081,2200,2081.44,1317.37,1910.18,K35,68000
100,820,0.08,0.026,18,40,0.129,0.077,2700,2554.49,1616.77,2344.31,K40,82000
