Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
6.3,39,0.22,0.85,4,7,7.482,2.6,130,117,52,97.76,B07,245.7
6.3,68,0.22,0.43,5,7,4.291,1.3,210,189,84,157.92,C07,428.4
6.3,100,0.22,0.28,6.3,5,2.918,0.91,210,189,84,157.92,D05,630
6.3,150,0.22,0.22,5,11.5,1.945,0.8,345,310.5,138,259.44,C11,945
6.3,150,0.22,0.23,6.3,7,1.945,0.69,300,270,120,225.6,D07,945
6.3,220,0.22,0.15,8,7,1.326,0.45,380,357.2,190,323,E07,1386
6.3,330,0.22,0.094,6.3,11.5,0.884,0.35,540,507.6,270,459,D11,2079
6.3,560,0.22,0.056,8,12,0.521,0.19,945,894.07,565.87,820.51,E12,3528
6.3,820,0.22,0.045,8,15,0.356,0.15,1250,1182.63,748.5,1085.33,E15,5166
6.3,1000,0.22,0.039,10,12.5,0.318,0.14,1330,1258.32,796.41,1154.79,F12,6300
6.3,1200,0.22,0.028,10,16,0.265,0.1,1760,1665.15,1053.89,1528.14,F16,7560
6.3,1500,0.22,0.02,10,20,0.212,0.06,1960,1854.37,1173.65,1701.8,F20,9450
6.3,2200,0.22,0.018,10,25,0.157,0.054,2250,2148.5,1691.73,2030.08,F25,13860
6.3,3300,0.22,0.017,12.5,20,0.113,0.043,2480,2368.12,1864.66,2237.59,G20,20790
6.3,3900,0.22,0.015,12.5,25,0.095,0.038,2900,2769.17,2180.45,2616.54,G25,24570
6.3,4700,0.22,0.013,12.5,30,0.085,0.033,3450,3362.29,2923.73,3274.58,G30,29610
6.3,5600,0.22,0.015,16,20,0.076,0.038,3570,3479.24,3025.42,3388.47,J20,35280
6.3,6800,0.22,0.013,16,25,0.066,0.035,3630,3537.71,3076.27,3445.42,J25,42840
10,27,0.19,0.89,4,7,9.333,2.7,130,117,52,97.76,B07,270
10,47,0.19,0.29,6.3,5,5.362,0.93,210,189,84,157.92,D05,470
10,56,0.19,0.44,5,7,4.5,1.4,210,189,84,157.92,C07,560
10,100,0.19,0.22,5,11.5,2.52,0.8,345,310.5,138,259.44,C11,1000
10,120,0.19,0.23,6.3,7,2.1,0.69,300,270,120,225.6,D07,1200
10,180,0.19,0.15,8,7,1.4,0.45,380,342,152,285.76,E07,1800
10,220,0.19,0.094,6.3,11.5,1.145,0.35,540,507.6,270,459,D11,2200
10,470,0.19,0.056,8,12,0.536,0.19,945,894.07,565.87,820.51,E12,4700
10,680,0.19,0.039,10,12.5,0.371,0.14,1330,1258.32,796.41,1154.79,F12,6800
10,1000,0.19,0.028,10,16,0.279,0.1,1760,1665.15,1053.89,1528.14,F16,10000
10,1200,0.19,0.02,10,20,0.232,0.06,1960,1854.37,1173.65,1701.8,F20,12000
10,1500,0.19,0.018,10,25,0.186,0.054,2250,2128.74,1347.31,1953.59,F25,15000
10,2200,0.19,0.017,12.5,20,0.139,0.043,2480,2368.12,1864.66,2237.59,G20,22000
10,3300,0.19,0.015,12.5,25,0.1,0.038,2900,2769.17,2180.45,2616.54,G25,33000
10,3900,0.19,0.015,16,20,0.085,0.038,3250,3103.38,2443.61,2932.33,J20,39000
10,4700,0.19,0.013,16,25,0.076,0.035,3630,3537.71,3076.27,3445.42,J25,47000
10,5600,0.19,0.013,16,25,0.069,0.035,3630,3537.71,3076.27,3445.42,J25,56000
16,18,0.16,0.92,4,7,11.789,2.8,130,117,52,97.76,B07,288
16,27,0.16,0.3,6.3,5,7.86,0.95,210,189,84,157.92,D05,432
16,33,0.16,0.45,5,7,6.431,1.4,210,189,84,157.92,C07,528
16,33,0.16,0.3,6.3,5,6.431,0.95,210,189,84,157.92,D05,528
16,56,0.16,0.22,5,11.5,3.789,0.8,345,310.5,138,259.44,C11,896
16,68,0.16,0.24,6.3,7,3.121,0.72,300,270,120,225.6,D07,1088
16,120,0.16,0.15,8,7,1.768,0.45,380,342,152,285.76,E07,1920
16,120,0.16,0.094,6.3,11.5,1.768,0.35,540,486,216,406.08,D11,1920
16,150,0.16,0.23,6.3,7,1.415,0.69,300,270,120,225.6,D07,2400
16,330,0.16,0.056,8,12,0.643,0.19,945,888.3,472.5,803.25,E12,5280
16,470,0.16,0.045,8,15,0.452,0.15,1250,1182.63,748.5,1085.33,E15,7520
16,560,0.16,0.028,10,16,0.379,0.1,1760,1665.15,1053.89,1528.14,F16,8960
16,1000,0.16,0.02,10,20,0.239,0.06,1960,1854.37,1173.65,1701.8,F20,16000
16,1200,0.16,0.018,10,25,0.199,0.054,2250,2128.74,1347.31,1953.59,F25,19200
16,1500,0.16,0.017,12.5,20,0.159,0.043,2480,2346.35,1485.03,2153.29,G20,24000
16,2200,0.16,0.015,12.5,25,0.121,0.038,2900,2769.17,2180.45,2616.54,G25,35200
16,2700,0.16,0.015,16,20,0.098,0.038,3250,3103.38,2443.61,2932.33,J20,43200
16,3300,0.16,0.013,16,25,0.088,0.035,3630,3466.24,2729.32,3275.19,J25,52800
16,3900,0.16,0.013,16,25,0.075,0.035,3630,3466.24,2729.32,3275.19,J25,62400
25,10,0.14,0.61,5,5,18.568,1.5,130,117,52,97.76,C05,250
25,15,0.14,0.94,4,7,12.379,2.9,130,117,52,97.76,B07,375
25,22,0.14,0.31,6.3,5,8.44,0.97,210,189,84,157.92,D05,550
25,27,0.14,0.46,5,7,6.877,1.4,210,189,84,157.92,C07,675
25,47,0.14,0.22,5,11.5,3.951,0.8,345,310.5,138,259.44,C11,1175
25,56,0.14,0.24,6.3,7,3.316,0.72,300,270,120,225.6,D07,1400
25,100,0.14,0.15,8,7,1.857,0.45,380,342,152,285.76,E07,2500
25,100,0.14,0.094,6.3,11.5,1.857,0.35,540,486,216,406.08,D11,2500
25,220,0.14,0.056,8,12,0.844,0.19,945,888.3,472.5,803.25,E12,5500
25,330,0.14,0.039,10,12.5,0.563,0.14,1330,1250.2,665,1130.5,F12,8250
25,470,0.14,0.028,10,16,0.395,0.1,1760,1665.15,1053.89,1528.14,F16,11750
25,680,0.14,0.02,10,20,0.273,0.06,1960,1854.37,1173.65,1701.8,F20,17000
25,820,0.14,0.018,10,25,0.226,0.054,2250,2128.74,1347.31,1953.59,F25,20500
25,1000,0.14,0.017,12.5,20,0.212,0.043,2480,2346.35,1485.03,2153.29,G20,25000
25,1500,0.14,0.015,12.5,25,0.141,0.038,2900,2743.71,1736.53,2517.96,G25,37500
25,1800,0.14,0.015,16,20,0.118,0.038,3250,3074.85,1946.11,2821.86,J20,45000
25,2200,0.14,0.013,16,25,0.109,0.035,3630,3466.24,2729.32,3275.19,J25,55000
25,2700,0.14,0.013,16,25,0.088,0.035,3630,3466.24,2729.32,3275.19,J25,67500
35,10,0.12,0.63,5,5,15.916,1.5,130,117,52,97.76,C05,350
35,10,0.12,0.96,4,7,15.916,2.9,130,117,52,97.76,B07,350
35,18,0.12,0.47,5,7,8.842,1.5,210,189,84,157.92,C07,630
35,22,0.12,0.32,6.3,5,7.234,1,210,189,84,157.92,D05,770
35,33,0.12,0.22,5,11.5,4.823,0.8,345,310.5,138,259.44,C11,1155
35,39,0.12,0.25,6.3,7,4.081,0.75,300,270,120,225.6,D07,1365
35,56,0.12,0.16,8,7,2.842,0.48,380,342,152,285.76,E07,1960
35,56,0.12,0.094,6.3,11.5,2.842,0.35,540,486,216,406.08,D11,1960
35,150,0.12,0.056,8,12,1.061,0.19,945,850.5,378,710.64,E12,5250
35,220,0.12,0.039,10,12.5,0.723,0.14,1330,1250.2,665,1130.5,F12,7700
35,270,0.12,0.029,8,20,0.589,0.11,1500,1410,750,1275,E20,9450
35,330,0.12,0.028,10,16,0.482,0.1,1760,1654.4,880,1496,F16,11550
35,470,0.12,0.02,10,20,0.339,0.06,1960,1854.37,1173.65,1701.8,F20,16450
35,560,0.12,0.018,10,25,0.284,0.054,2250,2128.74,1347.31,1953.59,F25,19600
35,680,0.12,0.017,12.5,20,0.234,0.043,2480,2346.35,1485.03,2153.29,G20,23800
35,1000,0.12,0.015,12.5,25,0.186,0.038,2900,2743.71,1736.53,2517.96,G25,35000
35,1200,0.12,0.015,16,20,0.155,0.038,3250,3074.85,1946.11,2821.86,J20,42000
35,1500,0.12,0.013,16,25,0.124,0.035,3630,3434.37,2173.65,3151.8,J25,52500
35,1800,0.12,0.013,16,25,0.103,0.035,3630,3434.37,2173.65,3151.8,J25,63000
50,5.6,0.1,1,4,7,23.684,3,130,117,52,97.76,B07,280
50,10,0.1,0.5,5,7,13.263,1.5,210,189,84,157.92,C07,500
50,22,0.1,0.26,6.3,7,6.029,0.78,300,270,120,225.6,D07,1100
50,22,0.1,0.34,5,11.5,6.029,1.18,238,214.2,95.2,178.98,C11,1100
50,33,0.1,0.17,8,7,4.019,0.51,380,342,152,285.76,E07,1650
50,56,0.1,0.14,6.3,11.5,2.368,0.5,385,346.5,154,289.52,D11,2800
50,100,0.1,0.074,8,12,1.326,0.22,724,651.6,289.6,544.45,E12,5000
50,120,0.1,0.061,8,15,1.105,0.18,950,855,380,714.4,E15,6000
50,150,0.1,0.061,10,12.5,0.884,0.18,979,881.1,391.6,736.21,F12,7500
50,180,0.1,0.046,8,20,0.737,0.14,1190,1071,476,894.88,E20,9000
50,220,0.1,0.042,10,16,0.603,0.12,1370,1287.8,685,1164.5,F16,11000
50,270,0.1,0.03,10,20,0.491,0.09,1580,1485.2,790,1343,F20,13500
50,330,0.1,0.028,10,25,0.402,0.085,1870,1757.8,935,1589.5,F25,16500
50,470,0.1,0.027,12.5,20,0.282,0.068,2050,1939.52,1227.54,1779.94,G20,23500
50,560,0.1,0.023,12.5,25,0.237,0.059,2410,2280.12,1443.11,2092.51,G25,28000
50,680,0.1,0.023,16,20,0.195,0.059,2730,2582.87,1634.73,2370.36,J20,34000
50,820,0.1,0.023,16,20,0.162,0.059,2730,2582.87,1634.73,2370.36,J20,41000
50,1000,0.1,0.021,16,25,0.159,0.056,3010,2847.78,1802.4,2613.47,J25,50000
63,15,0.09,0.88,5,11.5,7.958,3.5,165,148.5,66,124.08,C11,945
63,33,0.09,0.35,6.3,11.5,3.617,1.4,265,238.5,106,199.28,D11,2079
63,56,0.09,0.22,8,12,2.132,0.88,500,450,200,376,E12,3528
63,82,0.09,0.11,10,12.5,1.456,0.44,690,621,276,518.88,F12,5166
63,120,0.09,0.12,8,20,0.995,0.48,820,738,328,616.64,E20,7560
63,120,0.09,0.076,10,16,0.995,0.31,950,855,380,714.4,F16,7560
63,180,0.09,0.056,10,20,0.663,0.23,1150,1035,460,864.8,F20,11340
63,220,0.09,0.046,10,25,0.543,0.19,1350,1269,675,1147.5,F25,13860
63,270,0.09,0.041,12.5,20,0.442,0.13,1500,1410,750,1275,G20,17010
63,390,0.09,0.031,12.5,25,0.306,0.093,1900,1786,950,1615,G25,24570
63,470,0.09,0.028,12.5,30,0.254,0.084,2300,2176.05,1377.25,1997.01,G30,29610
63,470,0.09,0.032,16,20,0.254,0.096,2000,1892.22,1197.6,1736.53,J20,29610
63,560,0.09,0.024,12.5,35,0.213,0.07,2500,2365.27,1497.01,2170.66,G35,35280
63,680,0.09,0.021,12.5,40,0.176,0.063,2800,2649.1,1676.65,2431.14,G40,42840
