Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
6.3,100,2.918,0.9,5,11,0.22,3.6,150
6.3,220,1.326,0.4,5,11,0.22,1.2,250
6.3,330,0.884,0.22,6.3,11,0.22,0.87,340
6.3,470,0.621,0.22,6.3,11,0.22,0.87,400
6.3,1000,0.292,0.13,8,11.5,0.22,0.52,640
6.3,2200,0.133,0.062,10,16,0.22,0.25,1300
6.3,3300,0.088,0.046,10,20,0.22,0.18,1400
6.3,4700,0.062,0.032,12.5,25,0.22,0.11,2230
6.3,6800,0.043,0.032,12.5,25,0.22,0.11,2230
6.3,10000,0.029,0.021,16,25,0.22,0.06,2930
6.3,15000,0.019,0.015,16,35.5,0.22,0.044,3610
10,100,2.52,0.9,5,11,0.19,3.6,150
10,220,1.145,0.4,5,11,0.19,1.2,250
10,330,0.764,0.22,6.3,11,0.19,0.87,400
10,470,0.536,0.22,6.3,11,0.19,0.87,400
10,1000,0.252,0.08,10,12.5,0.19,0.32,865
10,2200,0.115,0.046,10,20,0.19,0.18,1400
10,3300,0.076,0.041,12.5,20,0.19,0.14,1900
10,4700,0.054,0.032,12.5,25,0.19,0.11,2230
10,6800,0.037,0.021,16,25,0.19,0.06,2930
10,10000,0.025,0.019,16,31.5,0.19,0.056,3450
16,47,4.515,0.4,5,11,0.16,1.2,250
16,100,2.122,0.4,5,11,0.16,1.2,250
16,220,0.965,0.22,6.3,11,0.16,0.87,400
16,330,0.643,0.22,6.3,11,0.16,0.87,400
16,470,0.452,0.13,8,11.5,0.16,0.52,640
16,1000,0.212,0.062,10,16,0.16,0.25,1210
16,2200,0.096,0.041,12.5,20,0.16,0.14,1900
16,3300,0.064,0.032,12.5,25,0.16,0.11,2230
16,4700,0.045,0.021,16,25,0.16,0.06,2930
16,6800,0.031,0.019,16,31.5,0.16,0.056,3450
25,33,5.627,0.4,5,11,0.14,1.2,250
25,47,3.951,0.4,5,11,0.14,1.2,250
25,100,1.857,0.4,5,11,0.14,1.2,250
25,220,0.844,0.22,6.3,11,0.14,0.87,400
25,330,0.563,0.13,8,11.5,0.14,0.52,640
25,470,0.395,0.08,10,12.5,0.14,0.32,865
25,1000,0.186,0.046,10,20,0.14,0.18,1400
25,2200,0.084,0.032,12.5,25,0.14,0.11,2230
25,3300,0.056,0.021,16,25,0.14,0.06,2930
25,4700,0.04,0.019,16,31.5,0.14,0.056,3450
35,33,4.823,0.4,5,11,0.12,1.2,250
35,47,3.386,0.4,5,11,0.12,1.2,250
35,100,1.592,0.22,6.3,11,0.12,0.87,400
35,220,0.723,0.13,8,11.5,0.12,0.52,640
35,330,0.482,0.08,10,12.5,0.12,0.32,865
35,470,0.339,0.062,10,16,0.12,0.25,1210
35,1000,0.159,0.041,12.5,20,0.12,0.14,1900
35,2200,0.072,0.021,16,25,0.12,0.06,2930
35,3300,0.048,0.019,16,31.5,0.12,0.056,3450
50,1,132.629,4,5,11,0.1,8.0,30
50,2.2,60.286,2.5,5,11,0.1,6.0,43
50,3.3,40.191,2.2,5,11,0.1,5.6,53
50,4.7,28.219,1.9,5,11,0.1,5.0,88
50,10,13.263,1.5,5,11,0.1,4.0,100
50,22,6.029,0.7,5,11,0.1,2.8,180
50,33,4.019,0.7,5,11,0.1,2.8,250
50,47,2.822,0.3,6.3,11,0.1,1.2,295
50,100,1.326,0.17,8,11.5,0.1,0.68,555
50,220,0.603,0.084,10,16,0.1,0.34,1050
50,330,0.402,0.06,10,20,0.1,0.24,1220
50,470,0.282,0.045,12.5,20,0.1,0.15,1660
50,1000,0.133,0.032,16,25,0.1,0.096,2730
50,2200,0.06,0.019,16,35.5,0.1,0.057,3150
63,10,11.937,0.88,5,11,0.09,3.5,173
63,22,5.426,0.88,5,11,0.09,3.5,173
63,33,3.617,0.35,6.3,11,0.09,1.4,278
63,47,2.54,0.35,6.3,11,0.09,1.4,278
63,100,1.194,0.15,10,12.5,0.09,0.6,725
63,220,0.543,0.078,10,20,0.09,0.31,1200
63,330,0.362,0.06,12.5,20,0.09,0.19,1570
63,470,0.254,0.043,12.5,25,0.09,0.14,1990
63,1000,0.119,0.032,16,25,0.09,0.096,2730
100,1,106.103,4.5,5,11,0.08,15.0,20
100,2.2,48.229,3,5,11,0.08,13.0,30
100,3.3,32.153,2.7,5,11,0.08,11.0,40
100,4.7,22.575,2.5,5,11,0.08,10.0,65
100,10,10.61,0.57,6.3,11,0.08,2.3,267
100,22,4.823,0.57,6.3,11,0.08,2.3,267
100,33,3.215,0.36,8,11.5,0.08,1.4,462
100,47,2.258,0.25,8,16,0.08,1.0,585
100,100,1.061,0.12,10,20,0.08,0.52,1040
100,220,0.482,0.06,12.5,25,0.08,0.23,1620
100,330,0.322,0.044,16,25,0.08,0.16,2210
