Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,22,0.3,5,11,-55,105,18.086,1000,4,6000,UKT0J220MDD,Uni-Polar,Radial Lead,105degC Standard,,45,,,,EOL,138.6,Normal,0.44
6.3,33,0.3,5,11,-55,105,12.057,1000,6,6000,UKT0J330MDD,Uni-Polar,Radial Lead,105degC Standard,,55,,,,EOL,207.9,Normal,0.44
6.3,47,0.3,5,11,-55,105,8.466,1000,9,6000,UKT0J470MDD,Uni-Polar,Radial Lead,105degC Standard,,65,,,,EOL,296.09999999999997,Normal,0.44
6.3,100,0.3,5,11,-55,105,3.979,1000,19,6000,UKT0J101MDD,Uni-Polar,Radial Lead,105degC Standard,142.5,95,127.3,116.85,76,EOL,630,Normal,0.44
6.3,220,0.3,6.3,11,-55,105,1.809,1000,42,4000,UKT0J221MED,Uni-Polar,Radial Lead,105degC Standard,240,160,214.4,196.8,128,EOL,1386,Normal,0.59
6.3,330,0.3,6.3,11,-55,105,1.206,1000,62,4000,UKT0J331MED,Uni-Polar,Radial Lead,105degC Standard,292.5,195,261.3,239.85,156,EOL,2079,Normal,0.59
6.3,470,0.3,8,11.5,-55,105,0.847,1000,89,3000,UKT0J471MPD,Uni-Polar,Radial Lead,105degC Standard,405,270,361.8,332.1,216,LTB,2961,Normal,1.19
6.3,1000,0.3,10,12.5,-55,105,0.424,1000,189,2000,UKT0J102MPD,Uni-Polar,Radial Lead,105degC Standard,483,420,474.6,462,357,LTB,6300,Normal,1.49
6.3,2200,0.32,10,20,-55,105,0.217,1000,416,1400,UKT0J222MPD,Uni-Polar,Radial Lead,105degC Standard,816.5,710,802.3,781,603.5,LTB,13860,Normal,2.34
6.3,3300,0.34,12.5,20,-55,105,0.161,1000,624,1000,UKT0J332MHD,Uni-Polar,Radial Lead,105degC Standard,1046.5,910,1028.3,1001,773.5,LTB,20790,Normal,3.43
6.3,4700,0.36,12.5,25,-55,105,0.124,1000,888,800,UKT0J472MHD,Uni-Polar,Radial Lead,105degC Standard,1288,1120,1265.6,1232,952,LTB,29610,Normal,4.56
6.3,6800,0.4,12.5,35.5,-55,105,0.101,1000,1285,500,UKT0J682MHD,Uni-Polar,Radial Lead,105degC Standard,1564,1360,1536.8,1496,1156,LTB,42840,Normal,7.06
6.3,10000,0.48,12.5,40,-55,105,0.09,1000,1890,400,UKT0J103MHD,Uni-Polar,Radial Lead,105degC Standard,1897.5,1650,1864.5,1815,1402.5,LTB,63000,Normal,7.57
6.3,15000,0.58,16,35.5,-55,105,0.078,1000,2835,300,UKT0J153MHD,Uni-Polar,Radial Lead,105degC Standard,,2010,,,,LTB,94500,Normal,11.8
6.3,22000,0.72,18,40,-55,105,0.07,1000,4158,200,UKT0J223MHD,Uni-Polar,Radial Lead,105degC Standard,,2350,,,,LTB,138600,Normal,17.7
6.3,33000,0.94,22,50,-55,105,0.064,1000,6237,250,UKT0J333MRD,Uni-Polar,Radial Lead,105degC Standard,,2800,,,,EOL,207900,Normal,27.4
10,22,0.26,5,11,-55,105,15.674,1000,7,6000,UKT1A220MDD,Uni-Polar,Radial Lead,105degC Standard,,45,,,,EOL,220,Normal,0.44
10,33,0.26,5,11,-55,105,10.45,1000,10,6000,UKT1A330MDD,Uni-Polar,Radial Lead,105degC Standard,,58,,,,EOL,330,Normal,0.44
10,47,0.26,5,11,-55,105,7.337,1000,14,6000,UKT1A470MDD,Uni-Polar,Radial Lead,105degC Standard,,68,,,,EOL,470,Normal,0.44
10,100,0.26,5,11,-55,105,3.448,1000,30,6000,UKT1A101MDD,Uni-Polar,Radial Lead,105degC Standard,157.5,105,140.7,129.15,84,EOL,1000,Normal,0.44
10,220,0.26,6.3,11,-55,105,1.567,1000,66,4000,UKT1A221MED,Uni-Polar,Radial Lead,105degC Standard,262.5,175,234.5,215.25,140,EOL,2200,Normal,0.59
10,330,0.26,8,11.5,-55,105,1.045,1000,99,3000,UKT1A331MPD,Uni-Polar,Radial Lead,105degC Standard,360,240,321.6,295.2,192,LTB,3300,Normal,1.19
10,470,0.26,8,11.5,-55,105,0.734,1000,141,3000,UKT1A471MPD,Uni-Polar,Radial Lead,105degC Standard,420,280,375.2,344.4,224,LTB,4700,Normal,1.19
10,1000,0.26,10,16,-55,105,0.371,1000,300,1800,UKT1A102MPD,Uni-Polar,Radial Lead,105degC Standard,575,500,565,550,425,LTB,10000,Normal,1.77
10,2200,0.28,12.5,20,-55,105,0.193,1000,660,1000,UKT1A222MHD,Uni-Polar,Radial Lead,105degC Standard,931.5,810,915.3,891,688.5,LTB,22000,Normal,3.43
10,3300,0.3,12.5,25,-55,105,0.145,1000,990,800,UKT1A332MHD,Uni-Polar,Radial Lead,105degC Standard,1207.5,1050,1186.5,1155,892.5,LTB,33000,Normal,4.56
10,4700,0.32,12.5,35.5,-55,105,0.113,1000,1410,500,UKT1A472MHD,Uni-Polar,Radial Lead,105degC Standard,1495,1300,1469,1430,1105,LTB,47000,Normal,7.06
10,6800,0.36,12.5,40,-55,105,0.094,1000,2040,400,UKT1A682MHD,Uni-Polar,Radial Lead,105degC Standard,1805.5,1570,1774.1,1727,1334.5,LTB,68000,Normal,7.57
10,10000,0.44,16,35.5,-55,105,0.085,1000,3000,300,UKT1A103MHD,Uni-Polar,Radial Lead,105degC Standard,2173.5,1890,2135.7,2079,1606.5,LTB,100000,Normal,11.8
10,15000,0.54,18,40,-55,105,0.074,1000,4500,200,UKT1A153MHD,Uni-Polar,Radial Lead,105degC Standard,,2400,,,,LTB,150000,Normal,17.7
10,22000,0.68,22,40,-55,105,0.068,1000,6600,250,UKT1A223MRD,Uni-Polar,Radial Lead,105degC Standard,,2650,,,,EOL,220000,Normal,23.8
10,33000,0.9,25,50,-55,105,0.063,1000,9900,140,UKT1A333MRD,Uni-Polar,Radial Lead,105degC Standard,,2880,,,,EOL,330000,Normal,38.8
16,10,0.22,5,11,-55,105,29.178,1000,5,6000,UKT1C100MDD,Uni-Polar,Radial Lead,105degC Standard,,35,,,,EOL,160,Normal,0.44
16,22,0.22,5,11,-55,105,13.263,1000,11,6000,UKT1C220MDD,Uni-Polar,Radial Lead,105degC Standard,,54,,,,EOL,352,Normal,0.44
16,33,0.22,5,11,-55,105,8.842,1000,16,6000,UKT1C330MDD,Uni-Polar,Radial Lead,105degC Standard,,65,,,,EOL,528,Normal,0.44
16,47,0.22,5,11,-55,105,6.208,1000,23,6000,UKT1C470MDD,Uni-Polar,Radial Lead,105degC Standard,,79,,,,EOL,752,Normal,0.44
16,100,0.22,5,11,-55,105,2.918,1000,48,6000,UKT1C101MDD,Uni-Polar,Radial Lead,105degC Standard,172.5,115,154.1,141.45,92,EOL,1600,Normal,0.44
16,220,0.22,6.3,11,-55,105,1.326,1000,106,4000,UKT1C221MED,Uni-Polar,Radial Lead,105degC Standard,285,190,254.6,233.7,152,EOL,3520,Normal,0.59
16,330,0.22,8,11.5,-55,105,0.884,1000,158,3000,UKT1C331MPD,Uni-Polar,Radial Lead,105degC Standard,397.5,265,355.1,325.95,212,MP,5280,Normal,1.19
16,470,0.22,8,11.5,-55,105,0.621,1000,226,3000,UKT1C471MPD,Uni-Polar,Radial Lead,105degC Standard,472.5,315,422.1,387.45,252,MP,7520,Normal,1.19
16,1000,0.22,10,16,-55,105,0.318,1000,480,1800,UKT1C102MPD,Uni-Polar,Radial Lead,105degC Standard,644,560,632.8,616,476,MP,16000,Normal,1.77
16,2200,0.24,12.5,20,-55,105,0.169,1000,1056,1000,UKT1C222MHD,Uni-Polar,Radial Lead,105degC Standard,1058,920,1039.6,1012,782,MP,35200,Normal,3.43
16,3300,0.26,12.5,30.5,-55,105,0.129,1000,1584,600,UKT1C332MHD,Uni-Polar,Radial Lead,105degC Standard,1460.5,1270,1435.1,1397,1079.5,MP,52800,Normal,6.01
16,4700,0.28,12.5,35.5,-55,105,0.102,1000,2256,500,UKT1C472MHD,Uni-Polar,Radial Lead,105degC Standard,1702,1480,1672.4,1628,1258,MP,75200,Normal,7.06
16,6800,0.32,16,30.5,-55,105,0.086,1000,3264,300,UKT1C682MHD,Uni-Polar,Radial Lead,105degC Standard,2047,1780,2011.4,1958,1513,MP,108800,Normal,9.6
16,10000,0.4,18,35.5,-55,105,0.08,1000,4800,250,UKT1C103MHD,Uni-Polar,Radial Lead,105degC Standard,2369,2060,2327.8,2266,1751,MP,160000,Normal,14.2
16,15000,0.5,20,40,-55,105,0.071,1000,7200,150,UKT1C153MRD,Uni-Polar,Radial Lead,105degC Standard,,2430,,,,EOL,240000,Normal,19.6
16,22000,0.64,22,50,-55,105,0.065,1000,10560,250,UKT1C223MRD,Uni-Polar,Radial Lead,105degC Standard,,3000,,,,EOL,352000,Normal,27.4
25,4.7,0.18,5,11,-55,105,50.794,1000,4,6000,UKT1E4R7MDD,Uni-Polar,Radial Lead,105degC Standard,,25,,,,EOL,117.5,Normal,0.44
25,10,0.18,5,11,-55,105,23.873,1000,8,6000,UKT1E100MDD,Uni-Polar,Radial Lead,105degC Standard,,36,,,,EOL,250,Normal,0.44
25,22,0.18,5,11,-55,105,10.851,1000,17,6000,UKT1E220MDD,Uni-Polar,Radial Lead,105degC Standard,,58,,,,EOL,550,Normal,0.44
25,33,0.18,5,11,-55,105,7.234,1000,25,6000,UKT1E330MDD,Uni-Polar,Radial Lead,105degC Standard,,68,,,,EOL,825,Normal,0.44
25,47,0.18,5,11,-55,105,5.079,1000,35,6000,UKT1E470MDD,Uni-Polar,Radial Lead,105degC Standard,,83,,,,EOL,1175,Normal,0.44
25,100,0.18,6.3,11,-55,105,2.387,1000,75,4000,UKT1E101MED,Uni-Polar,Radial Lead,105degC Standard,210,140,187.6,172.2,112,EOL,2500,Normal,0.59
25,220,0.18,8,11.5,-55,105,1.085,1000,165,3000,UKT1E221MPD,Uni-Polar,Radial Lead,105degC Standard,360,240,321.6,295.2,192,MP,5500,Normal,1.19
25,330,0.18,8,11.5,-55,105,0.723,1000,248,3000,UKT1E331MPD,Uni-Polar,Radial Lead,105degC Standard,435,290,388.6,356.7,232,MP,8250,Normal,1.19
25,470,0.18,10,12.5,-55,105,0.508,1000,353,2000,UKT1E471MPD,Uni-Polar,Radial Lead,105degC Standard,570,380,509.2,467.4,304,MP,11750,Normal,1.49
25,1000,0.18,10,20,-55,105,0.265,1000,750,1400,UKT1E102MPD,Uni-Polar,Radial Lead,105degC Standard,782,680,768.4,748,578,MP,25000,Normal,2.34
25,2200,0.2,12.5,30.5,-55,105,0.145,1000,1650,600,UKT1E222MHD,Uni-Polar,Radial Lead,105degC Standard,1380,1200,1356,1320,1020,MP,55000,Normal,6.01
25,3300,0.22,12.5,35.5,-55,105,0.113,1000,2475,500,UKT1E332MHD,Uni-Polar,Radial Lead,105degC Standard,1610,1400,1582,1540,1190,MP,82500,Normal,7.06
25,4700,0.24,16,30.5,-55,105,0.09,1000,3525,300,UKT1E472MHD,Uni-Polar,Radial Lead,105degC Standard,1966.5,1710,1932.3,1881,1453.5,MP,117500,Normal,9.6
25,6800,0.28,18,35.5,-55,105,0.078,1000,5100,250,UKT1E682MHD,Uni-Polar,Radial Lead,105degC Standard,2346,2040,2305.2,2244,1734,MP,170000,Normal,14.2
25,10000,0.36,20,40,-55,105,0.074,1000,7500,150,UKT1E103MRD,Uni-Polar,Radial Lead,105degC Standard,2472.5,2150,2429.5,2365,1827.5,EOL,250000,Normal,19.6
25,15000,0.46,22,50,-55,105,0.067,1000,11250,250,UKT1E153MRD,Uni-Polar,Radial Lead,105degC Standard,,2750,,,,EOL,375000,Normal,27.4
35,4.7,0.16,5,11,-55,105,45.15,1000,5,6000,UKT1V4R7MDD,Uni-Polar,Radial Lead,105degC Standard,,28,,,,EOL,164.5,Normal,0.44
35,10,0.16,5,11,-55,105,21.221,1000,11,6000,UKT1V100MDD,Uni-Polar,Radial Lead,105degC Standard,,41,,,,EOL,350,Normal,0.44
35,22,0.16,5,11,-55,105,9.646,1000,23,6000,UKT1V220MDD,Uni-Polar,Radial Lead,105degC Standard,,61,,,,EOL,770,Normal,0.44
35,33,0.16,5,11,-55,105,6.431,1000,35,6000,UKT1V330MDD,Uni-Polar,Radial Lead,105degC Standard,,75,,,,EOL,1155,Normal,0.44
35,47,0.16,5,11,-55,105,4.515,1000,49,6000,UKT1V470MDD,Uni-Polar,Radial Lead,105degC Standard,,93,,,,EOL,1645,Normal,0.44
35,100,0.16,6.3,11,-55,105,2.122,1000,105,4000,UKT1V101MED,Uni-Polar,Radial Lead,105degC Standard,225,150,201,184.5,120,EOL,3500,Normal,0.59
35,220,0.16,8,11.5,-55,105,0.965,1000,231,3000,UKT1V221MPD,Uni-Polar,Radial Lead,105degC Standard,390,260,348.4,319.8,208,MP,7700,Normal,1.19
35,330,0.16,10,12.5,-55,105,0.643,1000,347,2000,UKT1V331MPD,Uni-Polar,Radial Lead,105degC Standard,525,350,469,430.5,280,MP,11550,Normal,1.49
35,470,0.16,10,16,-55,105,0.452,1000,494,1800,UKT1V471MPD,Uni-Polar,Radial Lead,105degC Standard,690,460,616.4,565.8,368,MP,16450,Normal,1.77
35,1000,0.16,12.5,25,-55,105,0.239,1000,1050,800,UKT1V102MHD,Uni-Polar,Radial Lead,105degC Standard,989,860,971.8,946,731,MP,35000,Normal,4.56
35,2200,0.18,12.5,40,-55,105,0.133,1000,2310,400,UKT1V222MHD,Uni-Polar,Radial Lead,105degC Standard,1449,1260,1423.8,1386,1071,MP,77000,Normal,7.57
35,3300,0.2,16,35.5,-55,105,0.104,1000,3465,300,UKT1V332MHD,Uni-Polar,Radial Lead,105degC Standard,1851.5,1610,1819.3,1771,1368.5,MP,115500,Normal,11.8
35,4700,0.22,18,35.5,-55,105,0.085,1000,4935,250,UKT1V472MHD,Uni-Polar,Radial Lead,105degC Standard,2196.5,1910,2158.3,2101,1623.5,MP,164500,Normal,14.2
35,6800,0.26,20,40,-55,105,0.074,1000,7140,150,UKT1V682MRD,Uni-Polar,Radial Lead,105degC Standard,2472.5,2150,2429.5,2365,1827.5,EOL,238000,Normal,19.6
35,10000,0.34,22,50,-55,105,0.072,1000,10500,250,UKT1V103MRD,Uni-Polar,Radial Lead,105degC Standard,3047.5,2650,2994.5,2915,2252.5,EOL,350000,Normal,27.4
50,2.2,0.14,5,11,-55,105,84.4,1000,4,6000,UKT1H2R2MDD,Uni-Polar,Radial Lead,105degC Standard,,20,,,,EOL,110.00000000000001,Normal,0.44
