Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
160,560,0.2,18,40,-40,105,0.474,12000,3684,200,UCY2C561MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3834,3834,2130,3408,1704,MP,89600,Normal,17.7
160,680,0.2,18,46,-40,105,0.39,12000,4452,200,UCY2C681MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,4140,4140,2300,3680,1840,MP,108800,Normal,20.9
200,22,0.2,10,16,-40,105,12.057,10000,276,1800,UCY2D220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,405,405,225,360,180,MP,4400,Normal,1.77
200,27,0.2,10,16,-40,105,9.824,10000,316,1800,UCY2D270MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,423,423,235,376,188,MP,5400,Normal,1.77
200,33,0.2,10,20,-40,105,8.038,10000,364,1400,UCY2D330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,549,549,305,488,244,MP,6600,Normal,2.34
200,39,0.2,10,20,-40,105,6.801,10000,412,1400,UCY2D390MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,585,585,325,520,260,MP,7800,Normal,2.34
200,47,0.2,10,20,-40,105,5.644,10000,476,1400,UCY2D470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,648,648,360,576,288,MP,9400,Normal,2.34
200,47,0.2,12.5,20,-40,105,5.644,10000,476,1000,UCY2D470MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,882,882,490,784,392,MP,9400,Normal,3.43
200,56,0.2,10,25,-40,105,4.737,12000,548,1200,UCY2D560MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,747,747,415,664,332,MP,11200,Normal,3.07
200,68,0.2,10,30.5,-40,105,3.901,12000,644,1000,UCY2D680MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,873,873,485,776,388,MP,13600,Normal,3.21
200,68,0.2,12.5,20,-40,105,3.901,10000,644,1000,UCY2D680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1170,1170,650,1040,520,MP,13600,Normal,3.43
200,82,0.2,12.5,20,-40,105,3.235,10000,756,1000,UCY2D820MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1161,1161,645,1032,516,MP,16400,Normal,3.43
200,82,0.2,12.5,25,-40,105,3.235,12000,756,800,UCY2D820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1161,1161,645,1032,516,MP,16400,Normal,4.56
200,82,0.2,16,20,-40,105,3.235,10000,756,600,UCY2D820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1242,1242,690,1104,552,MP,16400,Normal,6.6
200,100,0.2,12.5,25,-40,105,2.653,12000,900,800,UCY2D101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1251,1251,695,1112,556,MP,20000,Normal,4.56
200,100,0.2,16,20,-40,105,2.653,10000,900,600,UCY2D101MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1278,1278,710,1136,568,MP,20000,Normal,6.6
200,120,0.2,12.5,30.5,-40,105,2.21,12000,1060,600,UCY2D121MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1458,1458,810,1296,648,MP,24000,Normal,6.01
200,120,0.2,16,20,-40,105,2.21,10000,1060,600,UCY2D121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1395,1395,775,1240,620,MP,24000,Normal,6.6
200,150,0.2,12.5,35.5,-40,105,1.768,12000,1300,500,UCY2D151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1737,1737,965,1544,772,MP,30000,Normal,7.06
200,150,0.2,16,25,-40,105,1.768,12000,1300,400,UCY2D151MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1701,1701,945,1512,756,MP,30000,Normal,8.2
200,150,0.2,18,20,-40,105,1.768,10000,1300,400,UCY2D151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1638,1638,910,1456,728,MP,30000,Normal,9
200,180,0.2,12.5,40,-40,105,1.474,12000,1540,400,UCY2D181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1962,1962,1090,1744,872,MP,36000,Normal,7.57
200,180,0.2,16,25,-40,105,1.474,12000,1540,400,UCY2D181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1863,1863,1035,1656,828,MP,36000,Normal,8.2
200,180,0.2,18,20,-40,105,1.474,10000,1540,400,UCY2D181MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1638,1638,910,1456,728,MP,36000,Normal,9
200,220,0.2,12.5,40,-40,105,1.206,12000,1860,400,UCY2D221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1962,1962,1090,1744,872,MP,44000,Normal,7.57
200,220,0.2,16,30.5,-40,105,1.206,12000,1860,300,UCY2D221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2214,2214,1230,1968,984,MP,44000,Normal,9.6
200,220,0.2,18,25,-40,105,1.206,12000,1860,300,UCY2D221MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2133,2133,1185,1896,948,MP,44000,Normal,10.6
200,270,0.2,16,35.5,-40,105,0.982,12000,2260,300,UCY2D271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2520,2520,1400,2240,1120,MP,54000,Normal,11.8
200,270,0.2,18,30.5,-40,105,0.982,12000,2260,300,UCY2D271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2538,2538,1410,2256,1128,MP,54000,Normal,13.1
200,330,0.2,16,40,-40,105,0.804,12000,2740,300,UCY2D331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2871,2871,1595,2552,1276,MP,66000,Normal,14.1
200,330,0.2,18,30.5,-40,105,0.804,12000,2740,300,UCY2D331MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2808,2808,1560,2496,1248,MP,66000,Normal,13.1
200,390,0.2,18,35.5,-40,105,0.68,12000,3220,250,UCY2D391MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3042,3042,1690,2704,1352,MP,78000,Normal,14.2
200,390,0.2,18,40,-40,105,0.68,12000,3220,200,UCY2D391MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3204,3204,1780,2848,1424,MP,78000,Normal,17.7
200,470,0.2,18,40,-40,105,0.564,12000,3860,200,UCY2D471MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3330,3330,1850,2960,1480,MP,94000,Normal,17.7
200,470,0.2,18,46,-40,105,0.564,12000,3860,200,UCY2D471MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3420,3420,1900,3040,1520,MP,94000,Normal,20.9
250,22,0.2,10,16,-40,105,12.057,10000,320,1800,UCY2E220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,405,405,225,360,180,MP,5500,Normal,1.77
250,27,0.2,10,20,-40,105,9.824,10000,370,1400,UCY2E270MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,459,459,255,408,204,MP,6750,Normal,2.34
250,33,0.2,10,20,-40,105,8.038,10000,430,1400,UCY2E330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,549,549,305,488,244,MP,8250,Normal,2.34
250,33,0.2,12.5,20,-40,105,8.038,10000,430,1000,UCY2E330MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,720,720,400,640,320,MP,8250,Normal,3.43
250,39,0.2,10,25,-40,105,6.801,12000,490,1200,UCY2E390MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,621,621,345,552,276,MP,9750,Normal,3.07
250,47,0.2,10,25,-40,105,5.644,12000,570,1200,UCY2E470MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,621,621,345,552,276,MP,11750,Normal,3.07
250,47,0.2,10,30.5,-40,105,5.644,12000,570,1000,UCY2E470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,729,729,405,648,324,MP,11750,Normal,3.21
250,47,0.2,12.5,20,-40,105,5.644,10000,570,1000,UCY2E470MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,882,882,490,784,392,MP,11750,Normal,3.43
250,56,0.2,12.5,20,-40,105,4.737,10000,660,1000,UCY2E560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,927,927,515,824,412,MP,14000,Normal,3.43
250,68,0.2,12.5,25,-40,105,3.901,12000,780,800,UCY2E680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1107,1107,615,984,492,MP,17000,Normal,4.56
250,68,0.2,16,20,-40,105,3.901,10000,780,600,UCY2E680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1170,1170,650,1040,520,MP,17000,Normal,6.6
250,82,0.2,12.5,25,-40,105,3.235,12000,920,800,UCY2E820MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1107,1107,615,984,492,MP,20500,Normal,4.56
250,82,0.2,12.5,30.5,-40,105,3.235,12000,920,600,UCY2E820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1287,1287,715,1144,572,MP,20500,Normal,6.01
250,82,0.2,16,20,-40,105,3.235,10000,920,600,UCY2E820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1242,1242,690,1104,552,MP,20500,Normal,6.6
250,100,0.2,12.5,35.5,-40,105,2.653,12000,1100,500,UCY2E101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1413,1413,785,1256,628,MP,25000,Normal,7.06
250,100,0.2,16,20,-40,105,2.653,10000,1100,600,UCY2E101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1287,1287,715,1144,572,MP,25000,Normal,6.6
250,120,0.2,12.5,35.5,-40,105,2.21,12000,1300,500,UCY2E121MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1413,1413,785,1256,628,MP,30000,Normal,7.06
250,120,0.2,12.5,40,-40,105,2.21,12000,1300,400,UCY2E121MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1602,1602,890,1424,712,MP,30000,Normal,7.57
250,120,0.2,16,25,-40,105,2.21,12000,1300,400,UCY2E121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1521,1521,845,1352,676,MP,30000,Normal,8.2
250,120,0.2,18,20,-40,105,2.21,10000,1300,400,UCY2E121MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1467,1467,815,1304,652,MP,30000,Normal,9
250,150,0.2,12.5,40,-40,105,1.768,12000,1600,400,UCY2E151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1782,1782,990,1584,792,MP,37500,Normal,7.57
250,150,0.2,18,25,-40,105,1.768,12000,1600,300,UCY2E151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1746,1746,970,1552,776,MP,37500,Normal,10.6
250,180,0.2,16,30.5,-40,105,1.474,12000,1900,300,UCY2E181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1998,1998,1110,1776,888,MP,45000,Normal,9.6
250,180,0.2,18,25,-40,105,1.474,12000,1900,300,UCY2E181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1890,1890,1050,1680,840,MP,45000,Normal,10.6
250,220,0.2,16,35.5,-40,105,1.206,12000,2300,300,UCY2E221MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2196,2196,1220,1952,976,MP,55000,Normal,11.8
250,220,0.2,16,40,-40,105,1.206,12000,2300,300,UCY2E221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2331,2331,1295,2072,1036,MP,55000,Normal,14.1
250,220,0.2,18,30.5,-40,105,1.206,12000,2300,300,UCY2E221MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2088,2088,1160,1856,928,MP,55000,Normal,13.1
250,270,0.2,16,40,-40,105,0.982,12000,2800,300,UCY2E271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2430,2430,1350,2160,1080,MP,67500,Normal,14.1
250,270,0.2,18,35.5,-40,105,0.982,12000,2800,250,UCY2E271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2610,2610,1450,2320,1160,MP,67500,Normal,14.2
250,330,0.2,18,40,-40,105,0.804,12000,3400,200,UCY2E331MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2754,2754,1530,2448,1224,MP,82500,Normal,17.7
250,330,0.2,18,46,-40,105,0.804,12000,3400,200,UCY2E331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2880,2880,1600,2560,1280,MP,82500,Normal,20.9
350,12,0.24,10,16,-40,105,26.526,10000,268,1800,UCY2V120MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,288,288,160,256,128,MP,4200,Normal,1.77
350,15,0.24,10,20,-40,105,21.221,10000,310,1400,UCY2V150MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,324,324,180,288,144,MP,5250,Normal,2.34
350,18,0.24,10,20,-40,105,17.684,10000,352,1400,UCY2V180MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,387,387,215,344,172,MP,6300,Normal,2.34
350,22,0.24,10,20,-40,105,14.469,10000,408,1400,UCY2V220MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,387,387,215,344,172,MP,7700,Normal,2.34
350,22,0.24,10,25,-40,105,14.469,12000,408,1200,UCY2V220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,459,459,255,408,204,MP,7700,Normal,3.07
350,22,0.24,12.5,20,-40,105,14.469,10000,408,1000,UCY2V220MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,585,585,325,520,260,MP,7700,Normal,3.43
350,27,0.24,10,25,-40,105,11.789,12000,478,1200,UCY2V270MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,459,459,255,408,204,MP,9450,Normal,3.07
350,27,0.24,10,30.5,-40,105,11.789,12000,478,1000,UCY2V270MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,549,549,305,488,244,MP,9450,Normal,3.21
350,33,0.24,12.5,20,-40,105,9.646,10000,562,1000,UCY2V330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,684,684,380,608,304,MP,11550,Normal,3.43
350,33,0.24,16,20,-40,105,9.646,10000,562,600,UCY2V330MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,810,810,450,720,360,MP,11550,Normal,6.6
350,39,0.24,12.5,25,-40,105,8.162,12000,646,800,UCY2V390MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,819,819,455,728,364,MP,13650,Normal,4.56
350,47,0.24,12.5,25,-40,105,6.773,12000,758,800,UCY2V470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,918,918,510,816,408,MP,16450,Normal,4.56
350,47,0.24,16,20,-40,105,6.773,10000,758,600,UCY2V470MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,972,972,540,864,432,MP,16450,Normal,6.6
350,56,0.24,12.5,30.5,-40,105,5.684,12000,884,600,UCY2V560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1062,1062,590,944,472,MP,19600,Normal,6.01
350,56,0.24,16,20,-40,105,5.684,10000,884,600,UCY2V560MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1017,1017,565,904,452,MP,19600,Normal,6.6
350,68,0.24,12.5,35.5,-40,105,4.681,12000,1052,500,UCY2V680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1251,1251,695,1112,556,MP,23800,Normal,7.06
350,68,0.24,16,25,-40,105,4.681,12000,1052,400,UCY2V680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1260,1260,700,1120,560,MP,23800,Normal,8.2
350,68,0.24,18,20,-40,105,4.681,10000,1052,400,UCY2V680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1242,1242,690,1104,552,MP,23800,Normal,9
350,82,0.24,12.5,40,-40,105,3.882,12000,1248,400,UCY2V820MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1413,1413,785,1256,628,MP,28700,Normal,7.57
350,82,0.24,16,25,-40,105,3.882,12000,1248,400,UCY2V820MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1260,1260,700,1120,560,MP,28700,Normal,8.2
350,82,0.24,16,30.5,-40,105,3.882,12000,1248,300,UCY2V820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1332,1332,740,1184,592,MP,28700,Normal,9.6
350,82,0.24,18,25,-40,105,3.882,12000,1248,300,UCY2V820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1377,1377,765,1224,612,MP,28700,Normal,10.6
350,100,0.24,16,30.5,-40,105,3.183,12000,1500,300,UCY2V101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1485,1485,825,1320,660,MP,35000,Normal,9.6
350,100,0.24,18,25,-40,105,3.183,12000,1500,300,UCY2V101MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1422,1422,790,1264,632,MP,35000,Normal,10.6
350,120,0.24,16,35.5,-40,105,2.653,12000,1780,300,UCY2V121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1665,1665,925,1480,740,MP,42000,Normal,11.8
350,120,0.24,18,30.5,-40,105,2.653,12000,1780,300,UCY2V121MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1692,1692,940,1504,752,MP,42000,Normal,13.1
350,150,0.24,16,40,-40,105,2.122,12000,2200,300,UCY2V151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1800,1800,1000,1600,800,MP,52500,Normal,14.1
