Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Surge Voltage
420,22,24,,8,40,1446.864,ETG226M420AGD(1),135,470
420,27,24,,8,45,1178.927,ETG276M420AGF(1),155,470
420,27,24,,10,35,1178.927,ETG276M420AHA(1),155,470
420,33,24,,8,50,964.576,ETG336M420AGG(1),185,470
420,33,24,,10,40,964.576,ETG336M420AHB(1),185,470
420,39,24,,10,45,816.18,ETG396M420AHD(1),215,470
420,39,24,,12.5,35,816.18,ETG396M420AK3(1),215,470
420,47,24,,10,50,677.256,ETG476M420AHE(1),245,470
420,47,24,,12.5,40,677.256,ETG476M420AK4(1),245,470
420,56,24,,12.5,45,568.411,ETG566M420AKA(1),290,470
420,68,24,,12.5,50,468.103,ETG686M420AKB(1),335,470
420,82,24,,12.5,55,388.183,ETG826M420AKC(1),385,470
450,12,24,,8,35,2652.585,ETG126M450AGC(1),110,500
450,15,24,,8,40,2122.068,ETG156M450AGD(1),130,500
450,22,24,,8,45,1446.864,ETG226M450AGF(1),165,500
450,22,24,,10,35,1446.864,ETG226M450AHA(1),165,500
450,27,24,,8,52,1178.927,ETG276M450AGH(1),195,500
450,27,24,,10,40,1178.927,ETG276M450AHB(1),195,500
450,33,24,,10,45,964.576,ETG336M450AHD(1),230,500
450,33,24,,12.5,35,964.576,ETG336M450AK3(1),230,500
450,39,24,,10,50,816.18,ETG396M450AHE(1),265,500
450,39,24,,12.5,40,816.18,ETG396M450AK4(1),265,500
450,47,24,,10,52,677.256,ETG476M450AHF(1),295,500
450,47,24,,12.5,45,677.256,ETG476M450AKA(1),310,500
450,56,24,,12.5,50,568.411,ETG566M450AKB(1),355,500
450,68,24,,12.5,55,468.103,ETG686M450AKC(1),410,500
