Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,220,0.22,0.22,5,11,1.326,0.8,345,317.4,172.5,251.85,1386
6.3,470,0.22,0.094,6.3,11,0.621,0.35,540,507.36,296.7,415.38,2961
6.3,820,0.22,0.056,8,11.5,0.356,0.19,945,905.39,565.87,752.6,5166
6.3,1200,0.22,0.045,8,16,0.265,0.15,1250,1197.6,748.5,995.51,7560
6.3,1200,0.22,0.039,10,12.5,0.265,0.14,1330,1274.25,796.41,1059.22,7560
6.3,1500,0.22,0.029,8,20,0.212,0.11,1500,1437.13,898.2,1194.61,9450
6.3,1800,0.22,0.028,10,16,0.177,0.1,1760,1686.23,1053.89,1401.68,11340
6.3,2200,0.22,0.02,10,20,0.157,0.06,1960,1918.88,1370.63,1658.46,13860
6.3,2700,0.22,0.018,10,23,0.128,0.054,2250,2202.8,1573.43,1903.85,17010
6.3,3900,0.22,0.017,12.5,20,0.095,0.043,2480,2427.97,1734.27,2098.46,24570
6.3,4700,0.22,0.015,12.5,25,0.085,0.038,2900,2839.16,2027.97,2453.85,29610
6.3,5600,0.22,0.013,12.5,30,0.076,0.033,3450,3377.62,2412.59,2919.23,35280
6.3,6800,0.22,0.015,16,20,0.066,0.038,3250,3181.82,2272.73,2750,42840
6.3,6800,0.22,0.012,12.5,35,0.066,0.031,3570,3495.1,2496.5,3020.77,42840
6.3,8200,0.22,0.013,16,25,0.061,0.035,3630,3553.85,2538.46,3071.54,51660
10,150,0.19,0.22,5,11,1.68,0.8,345,317.4,172.5,251.85,1500
10,330,0.19,0.094,6.3,11,0.764,0.35,540,507.36,296.7,415.38,3300
10,680,0.19,0.056,8,11.5,0.371,0.19,945,887.88,519.23,726.92,6800
10,1000,0.19,0.045,8,16,0.279,0.15,1250,1197.6,748.5,995.51,10000
10,1000,0.19,0.039,10,12.5,0.279,0.14,1330,1274.25,796.41,1059.22,10000
10,1500,0.19,0.029,8,20,0.186,0.11,1500,1437.13,898.2,1194.61,15000
10,1500,0.19,0.028,10,16,0.186,0.1,1760,1686.23,1053.89,1401.68,15000
10,1800,0.19,0.02,10,20,0.155,0.06,1960,1877.84,1173.65,1560.96,18000
10,2200,0.19,0.018,10,23,0.139,0.054,2250,2202.8,1573.43,1903.85,22000
10,3300,0.19,0.017,12.5,20,0.1,0.043,2480,2427.97,1734.27,2098.46,33000
10,3900,0.19,0.015,12.5,25,0.085,0.038,2900,2839.16,2027.97,2453.85,39000
10,4700,0.19,0.013,12.5,30,0.076,0.033,3450,3377.62,2412.59,2919.23,47000
10,4700,0.19,0.015,16,20,0.076,0.038,3250,3181.82,2272.73,2750,47000
10,5600,0.19,0.012,12.5,35,0.069,0.031,3570,3495.1,2496.5,3020.77,56000
10,6800,0.19,0.013,16,25,0.06,0.035,3630,3553.85,2538.46,3071.54,68000
16,100,0.16,0.22,5,11,2.122,0.8,345,317.4,172.5,251.85,1600
16,220,0.16,0.094,6.3,11,0.965,0.35,540,496.8,270,394.2,3520
16,470,0.16,0.056,8,11.5,0.452,0.19,945,887.88,519.23,726.92,7520
16,680,0.16,0.045,8,16,0.312,0.15,1250,1174.45,686.81,961.54,10880
16,680,0.16,0.039,10,12.5,0.312,0.14,1330,1249.62,730.77,1023.08,10880
16,1000,0.16,0.029,8,20,0.239,0.11,1500,1437.13,898.2,1194.61,16000
16,1000,0.16,0.028,10,16,0.239,0.1,1760,1686.23,1053.89,1401.68,16000
16,1500,0.16,0.02,10,20,0.159,0.06,1960,1877.84,1173.65,1560.96,24000
16,1800,0.16,0.018,10,23,0.133,0.054,2250,2155.69,1347.31,1791.92,28800
16,2200,0.16,0.017,12.5,20,0.121,0.043,2480,2427.97,1734.27,2098.46,35200
16,2700,0.16,0.015,12.5,25,0.098,0.038,2900,2839.16,2027.97,2453.85,43200
16,3300,0.16,0.013,12.5,30,0.088,0.033,3450,3377.62,2412.59,2919.23,52800
16,3300,0.16,0.015,16,20,0.088,0.038,3250,3181.82,2272.73,2750,52800
16,3900,0.16,0.012,12.5,35,0.075,0.031,3570,3495.1,2496.5,3020.77,62400
16,4700,0.16,0.013,16,25,0.068,0.035,3630,3553.85,2538.46,3071.54,75200
25,68,0.14,0.22,5,11,2.731,0.8,345,317.4,172.5,251.85,1700
