Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,220,0.392,0.332,0.4,5,11,0.22,1.326,1.2,345,317.4,172.5,251.85,1386
6.3,470,0.212,0.187,0.17,6.3,11,0.22,0.621,0.51,540,507.36,296.7,415.38,2961
6.3,820,0.139,0.128,0.075,8,11.5,0.22,0.356,0.23,945,905.39,565.87,752.6,5166
6.3,1000,0.124,0.114,0.059,8,16,0.22,0.318,0.18,1250,1197.6,748.5,995.51,6300
6.3,1200,0.104,0.095,0.053,10,12.5,0.22,0.265,0.16,1330,1274.25,796.41,1059.22,7560
6.3,1500,0.083,0.076,0.041,8,20,0.22,0.212,0.13,1500,1437.13,898.2,1194.61,9450
6.3,1800,0.069,0.063,0.038,10,16,0.22,0.177,0.12,1760,1686.23,1053.89,1401.68,11340
6.3,2700,0.065,0.062,0.028,10,20,0.22,0.128,0.084,1960,1918.88,1370.63,1658.46,17010
6.3,3300,0.057,0.055,0.024,10,25,0.22,0.113,0.072,2250,2202.8,1573.43,1903.85,20790
6.3,3900,0.049,0.047,0.025,12.5,20,0.22,0.095,0.075,2480,2427.97,1734.27,2098.46,24570
6.3,4700,0.043,0.041,0.019,12.5,25,0.22,0.085,0.057,2900,2839.16,2027.97,2453.85,29610
6.3,5600,0.039,0.037,0.018,12.5,30,0.22,0.076,0.054,3450,3377.62,2412.59,2919.23,35280
6.3,6800,0.034,0.032,0.016,12.5,35,0.22,0.066,0.048,3570,3495.1,2496.5,3020.77,42840
6.3,6800,0.034,0.032,0.021,16,20,0.22,0.066,0.063,3250,3181.82,2272.73,2750,42840
6.3,8200,0.031,0.03,0.017,16,25,0.22,0.061,0.051,3630,3553.85,2538.46,3071.54,51660
10,150,0.496,0.42,0.4,5,11,0.19,1.68,1.2,450,414,225,328.5,1500
10,330,0.261,0.231,0.17,6.3,11,0.19,0.764,0.51,700,657.69,384.62,538.46,3300
10,560,0.154,0.136,0.075,8,11.5,0.19,0.45,0.23,1200,1127.47,659.34,923.08,5600
10,680,0.127,0.112,0.059,8,16,0.19,0.371,0.18,1600,1503.3,879.12,1230.77,6800
10,820,0.12,0.11,0.053,10,12.5,0.19,0.307,0.16,1700,1628.74,1017.96,1353.89,8200
10,1000,0.109,0.1,0.041,8,20,0.19,0.279,0.13,1960,1877.84,1173.65,1560.96,10000
10,1200,0.091,0.083,0.038,10,16,0.19,0.232,0.12,2000,1916.17,1197.6,1592.81,12000
10,1800,0.06,0.055,0.028,10,20,0.19,0.155,0.084,2500,2395.21,1497.01,1991.02,18000
10,2200,0.071,0.068,0.024,10,25,0.19,0.139,0.072,2900,2839.16,2027.97,2453.85,22000
10,2700,0.058,0.055,0.025,12.5,20,0.19,0.113,0.075,2600,2545.45,1818.18,2200,27000
10,3300,0.051,0.049,0.019,12.5,25,0.19,0.1,0.057,3200,3132.87,2237.76,2707.69,33000
10,4700,0.039,0.037,0.018,12.5,30,0.19,0.076,0.054,3660,3583.22,2559.44,3096.92,47000
10,4700,0.039,0.037,0.021,16,20,0.19,0.076,0.063,3330,3260.14,2328.67,2817.69,47000
10,5600,0.035,0.034,0.016,12.5,35,0.19,0.069,0.048,4120,4033.57,2881.12,3486.15,56000
10,5600,0.035,0.034,0.017,16,25,0.19,0.069,0.051,3810,3730.07,2664.34,3223.85,56000
16,120,0.522,0.442,0.4,5,11,0.16,1.768,1.2,450,414,225,328.5,1920
16,270,0.232,0.196,0.17,6.3,11,0.16,0.786,0.51,700,644,350,511,4320
16,470,0.154,0.136,0.075,8,11.5,0.16,0.452,0.23,1200,1127.47,659.34,923.08,7520
16,560,0.13,0.114,0.059,8,16,0.16,0.379,0.18,1600,1503.3,879.12,1230.77,8960
16,680,0.107,0.094,0.059,8,16,0.16,0.312,0.18,1600,1503.3,879.12,1230.77,10880
16,680,0.107,0.094,0.053,10,12.5,0.16,0.312,0.16,1700,1597.25,934.07,1307.69,10880
16,820,0.101,0.093,0.041,8,20,0.16,0.259,0.13,1960,1877.84,1173.65,1560.96,13120
16,1000,0.093,0.086,0.041,8,20,0.16,0.239,0.13,1960,1877.84,1173.65,1560.96,16000
16,1000,0.093,0.086,0.038,10,16,0.16,0.239,0.12,2000,1916.17,1197.6,1592.81,16000
16,1500,0.062,0.057,0.028,10,20,0.16,0.159,0.084,2500,2395.21,1497.01,1991.02,24000
16,1800,0.052,0.048,0.024,10,25,0.16,0.133,0.072,2900,2778.44,1736.53,2309.58,28800
16,2200,0.062,0.059,0.025,12.5,20,0.16,0.121,0.075,2600,2545.45,1818.18,2200,35200
16,2700,0.05,0.048,0.019,12.5,25,0.16,0.098,0.057,3200,3132.87,2237.76,2707.69,43200
16,3300,0.045,0.043,0.018,12.5,30,0.16,0.088,0.054,3660,3583.22,2559.44,3096.92,52800
16,3300,0.045,0.043,0.021,16,20,0.16,0.088,0.063,3330,3260.14,2328.67,2817.69,52800
16,3900,0.038,0.037,0.016,12.5,35,0.16,0.075,0.048,4120,4033.57,2881.12,3486.15,62400
16,4700,0.035,0.033,0.017,16,25,0.16,0.068,0.051,3810,3730.07,2664.34,3223.85,75200
25,68,0.807,0.683,0.4,5,11,0.14,2.731,1.2,450,414,225,328.5,1700
25,150,0.366,0.309,0.17,6.3,11,0.14,1.238,0.51,700,644,350,511,3750
25,330,0.192,0.17,0.075,8,11.5,0.14,0.563,0.23,1200,1127.47,659.34,923.08,8250
25,390,0.163,0.144,0.059,8,16,0.14,0.476,0.18,1600,1503.3,879.12,1230.77,9750
25,470,0.135,0.119,0.053,10,12.5,0.14,0.395,0.16,1700,1597.25,934.07,1307.69,11750
25,560,0.113,0.1,0.041,8,20,0.14,0.332,0.13,1960,1841.54,1076.92,1507.69,14000
25,680,0.093,0.082,0.038,10,16,0.14,0.273,0.12,2000,1879.12,1098.9,1538.46,17000
25,1000,0.083,0.076,0.028,10,20,0.14,0.212,0.084,2500,2395.21,1497.01,1991.02,25000
25,1200,0.069,0.063,0.024,10,25,0.14,0.177,0.072,2900,2778.44,1736.53,2309.58,30000
25,1500,0.055,0.051,0.025,12.5,20,0.14,0.141,0.075,2600,2491.02,1556.89,2070.66,37500
25,1800,0.046,0.042,0.019,12.5,25,0.14,0.118,0.057,3200,3065.87,1916.17,2548.5,45000
25,2200,0.055,0.053,0.018,12.5,30,0.14,0.109,0.054,3660,3583.22,2559.44,3096.92,55000
25,2200,0.055,0.053,0.021,16,20,0.14,0.109,0.063,3330,3260.14,2328.67,2817.69,55000
25,2700,0.045,0.043,0.016,12.5,35,0.14,0.088,0.048,4120,4033.57,2881.12,3486.15,67500
25,3300,0.041,0.039,0.017,16,25,0.14,0.08,0.051,3810,3730.07,2664.34,3223.85,82500
35,47,1,0.847,0.4,5,11,0.12,3.386,1.2,450,414,225,328.5,1645
35,100,0.47,0.398,0.17,6.3,11,0.12,1.592,0.51,700,644,350,511,3500
35,180,0.261,0.221,0.075,8,11.5,0.12,0.884,0.23,1200,1104,600,876,6300
35,220,0.214,0.181,0.059,8,16,0.12,0.723,0.18,1600,1472,800,1168,7700
35,270,0.174,0.147,0.059,8,16,0.12,0.589,0.18,1600,1472,800,1168,9450
35,270,0.174,0.147,0.053,10,12.5,0.12,0.589,0.16,1700,1564,850,1241,9450
35,330,0.165,0.146,0.041,8,20,0.12,0.482,0.13,1960,1841.54,1076.92,1507.69,11550
35,330,0.165,0.146,0.053,10,12.5,0.12,0.482,0.16,1700,1597.25,934.07,1307.69,11550
35,390,0.14,0.123,0.041,8,20,0.12,0.408,0.13,1960,1841.54,1076.92,1507.69,13650
35,390,0.14,0.123,0.038,10,16,0.12,0.408,0.12,2000,1879.12,1098.9,1538.46,13650
35,470,0.116,0.102,0.038,10,16,0.12,0.339,0.12,2000,1879.12,1098.9,1538.46,16450
35,560,0.097,0.086,0.028,10,20,0.12,0.284,0.084,2500,2348.9,1373.63,1923.08,19600
35,680,0.08,0.071,0.024,10,25,0.12,0.234,0.072,2900,2724.73,1593.41,2230.77,23800
