Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
25,33,6.3,11,-40,85,0.14,5.627,1000,8,4000,UFG1E330MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,70,EOL,Normal,0.59
25,47,6.3,11,-40,85,0.14,3.951,1000,12,4000,UFG1E470MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,85,EOL,Normal,0.59
25,100,8,11.5,-40,85,0.14,1.857,1000,25,3000,UFG1E101MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,140,EOL,Normal,1.19
25,220,10,16,-40,85,0.14,0.844,1000,55,1800,UFG1E221MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,260,EOL,Normal,1.77
25,330,10,20,-40,85,0.14,0.563,1000,83,1400,UFG1E331MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,351,EOL,Normal,2.34
25,470,12.5,20,-40,85,0.14,0.395,1000,118,1000,UFG1E471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,476,EOL,Normal,3.43
25,1000,16,25,-40,85,0.14,0.212,1000,250,400,UFG1E102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,854,EOL,Normal,8.2
25,2200,16,35.5,-40,85,0.16,0.121,1000,550,300,UFG1E222MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1570,EOL,Normal,11.8
25,3300,18,40,-40,85,0.18,0.096,1000,825,200,UFG1E332MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1794,EOL,Normal,17.7
35,22,6.3,11,-40,85,0.12,7.234,1000,8,4000,UFG1V220MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,60,EOL,Normal,0.59
35,33,6.3,11,-40,85,0.12,4.823,1000,12,4000,UFG1V330MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,75,EOL,Normal,0.59
35,47,8,11.5,-40,85,0.12,3.386,1000,16,3000,UFG1V470MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,101,EOL,Normal,1.19
35,100,10,12.5,-40,85,0.12,1.592,1000,35,2000,UFG1V101MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,176,EOL,Normal,1.49
35,220,10,20,-40,85,0.12,0.723,1000,77,1400,UFG1V221MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,320,EOL,Normal,2.34
