Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 500Hz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current @100kHz,Ripple Current @120Hz,VC
420,39,1.36,12.5,35,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.013,0.405,16380.0
420,39,1.36,16,25,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.0,0.4,16380.0
420,39,1.36,18,20,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.975,0.39,16380.0
420,47,1.129,12.5,40,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.15,0.46,19740.0
420,47,1.129,12.5,45,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.2,0.48,19740.0
420,47,1.129,14.5,30,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.113,0.445,19740.0
420,56,0.947,12.5,50,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.338,0.535,23520.0
420,56,0.947,14.5,35,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.275,0.51,23520.0
420,56,0.947,16,30,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.25,0.5,23520.0
420,56,0.947,18,25,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.238,0.495,23520.0
420,68,0.78,14.5,40,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.45,0.58,28560.0
420,68,0.78,14.5,45,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.5,0.6,28560.0
420,68,0.78,16,35,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.45,0.58,28560.0
420,68,0.78,18,30,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.438,0.575,28560.0
420,82,0.647,14.5,50,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.7,0.68,34440.0
420,82,0.647,16,40,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.65,0.66,34440.0
420,82,0.647,16,45,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.713,0.685,34440.0
420,82,0.647,18,35,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.638,0.655,34440.0
420,100,0.655,16,50,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.744,0.775,42000.0
420,100,0.655,18,40,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.688,0.75,42000.0
420,120,0.546,18,45,0.25,2.763,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.89,0.84,50400.0
420,120,0.546,18,50,0.25,2.763,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.969,0.875,50400.0
450,12,4.421,10,20,0.25,27.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.438,0.175,5400.0
450,15,3.537,10,25,0.25,22.105,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.525,0.21,6750.0
450,18,2.947,10,30,0.25,18.421,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.6,0.24,8100.0
450,18,2.947,12.5,20,0.25,18.421,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.588,0.235,8100.0
450,22,2.411,10,35,0.25,15.072,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.7,0.28,9900.0
450,22,2.411,12.5,25,0.25,15.072,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.688,0.275,9900.0
450,22,2.411,14.5,20,0.25,15.072,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.688,0.275,9900.0
450,27,1.965,10,40,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.813,0.325,12150.0
450,27,1.965,10,45,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.838,0.335,12150.0
450,27,1.965,12.5,30,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.813,0.325,12150.0
450,27,1.965,16,20,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.788,0.315,12150.0
450,33,1.608,10,50,0.25,10.048,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.963,0.385,14850.0
450,33,1.608,12.5,35,0.25,10.048,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.938,0.375,14850.0
450,33,1.608,14.5,25,0.25,10.048,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.888,0.355,14850.0
450,39,1.36,12.5,40,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.063,0.425,17550.0
450,39,1.36,14.5,30,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.025,0.41,17550.0
450,39,1.36,16,25,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.0,0.4,17550.0
450,39,1.36,18,20,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.975,0.39,17550.0
450,47,1.129,12.5,45,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.2,0.48,21150.0
450,47,1.129,14.5,35,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.175,0.47,21150.0
