Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
6.3,2.2,0.22,2,4,7,132.629,1000,0.45,1.5,5,2.5,EEUFC0J2R2( ),65,58.25,42.21,55.29,35.88,200,2000,13.860000000000001
6.3,2.2,0.22,2,4,7,132.629,1000,0.45,1.5,5,2.5,EEUFC0J2R2( ),65,58.25,42.21,55.29,35.88,200,2000,13.860000000000001
6.3,3.3,0.22,0.95,5,7,88.419,1000,0.45,2,5,2.5,EEUFC0J3R3( ),120,107.53,77.92,102.08,66.23,200,2000,20.79
6.3,3.3,0.22,0.95,5,7,88.419,1000,0.45,2,5,2.5,EEUFC0J3R3( ),120,107.53,77.92,102.08,66.23,200,2000,20.79
6.3,4.7,0.22,0.8,5,11,62.082,1000,0.5,2,5,2.5,EEUFC0J4R7( ),175,156.82,113.64,148.86,96.59,200,2000,29.61
6.3,4.7,0.22,0.8,5,11,62.082,1000,0.5,2,5,2.5,EEUFC0J4R7( ),175,156.82,113.64,148.86,96.59,200,2000,29.61
6.3,10,0.22,0.8,5,11,29.178,1000,0.5,2,5,2.5,EEUFC0J100L( ),175,156.82,113.64,148.86,96.59,200,2000,63
6.3,10,0.22,0.8,5,11,29.178,1000,0.5,2,5,2.5,EEUFC0J100L( ),175,156.82,113.64,148.86,96.59,200,2000,63
6.3,12,0.22,0.8,5,11,24.315,1000,0.5,2,5,2.5,EEUFC0J120( ),175,156.82,113.64,148.86,96.59,200,2000,75.6
6.3,12,0.22,0.8,5,11,24.315,1000,0.5,2,5,2.5,EEUFC0J120( ),175,156.82,113.64,148.86,96.59,200,2000,75.6
6.3,15,0.22,0.8,5,11,19.452,1000,0.5,2,5,2.5,EEUFC0J150( ),175,156.82,113.64,148.86,96.59,200,2000,94.5
6.3,15,0.22,0.8,5,11,19.452,1000,0.5,2,5,2.5,EEUFC0J150( ),175,156.82,113.64,148.86,96.59,200,2000,94.5
6.3,18,0.22,0.8,5,11,16.21,1000,0.5,2,5,2.5,EEUFC0J180( ),175,156.82,113.64,148.86,96.59,200,2000,113.39999999999999
6.3,18,0.22,0.8,5,11,16.21,1000,0.5,2,5,2.5,EEUFC0J180( ),175,156.82,113.64,148.86,96.59,200,2000,113.39999999999999
6.3,22,0.22,0.8,5,11,13.263,1000,0.5,2,5,2.5,EEUFC0J220( ),175,156.82,113.64,148.86,96.59,200,2000,138.6
6.3,22,0.22,0.8,5,11,13.263,1000,0.5,2,5,2.5,EEUFC0J220( ),175,156.82,113.64,148.86,96.59,200,2000,138.6
6.3,33,0.22,0.35,6.3,11.2,8.842,1000,0.5,2.5,5,2.5,EEUFC0J330( ),290,259.87,188.31,246.69,160.06,200,2000,207.9
6.3,33,0.22,0.35,6.3,11.2,8.842,1000,0.5,2.5,5,2.5,EEUFC0J330( ),290,259.87,188.31,246.69,160.06,200,2000,207.9
6.3,39,0.22,0.35,6.3,11.2,7.482,1000,0.5,2.5,5,2.5,EEUFC0J390( ),290,259.87,188.31,246.69,160.06,200,2000,245.7
6.3,39,0.22,0.35,6.3,11.2,7.482,1000,0.5,2.5,5,2.5,EEUFC0J390( ),290,259.87,188.31,246.69,160.06,200,2000,245.7
6.3,47,0.22,0.35,6.3,11.2,6.208,1000,0.5,2.5,5,2.5,EEUFC0J470( ),290,259.87,188.31,246.69,160.06,200,2000,296.09999999999997
6.3,47,0.22,0.35,6.3,11.2,6.208,1000,0.5,2.5,5,2.5,EEUFC0J470( ),290,259.87,188.31,246.69,160.06,200,2000,296.09999999999997
6.3,56,0.22,0.117,8,11.5,5.21,2000,0.6,3.5,5,,EEUFC0J560( ),555,497.34,360.39,472.11,306.33,200,1000,352.8
6.3,56,0.22,0.117,8,11.5,5.21,2000,0.6,3.5,5,,EEUFC0J560( ),555,497.34,360.39,472.11,306.33,200,1000,352.8
6.3,68,0.22,0.117,8,11.5,4.291,2000,0.6,3.5,5,,EEUFC0J680( ),555,497.34,360.39,472.11,306.33,200,1000,428.4
6.3,68,0.22,0.117,8,11.5,4.291,2000,0.6,3.5,5,,EEUFC0J680( ),555,497.34,360.39,472.11,306.33,200,1000,428.4
6.3,82,0.22,0.117,8,11.5,3.558,2000,0.6,3.5,5,,EEUFC0J820( ),555,497.34,360.39,472.11,306.33,200,1000,516.6
6.3,82,0.22,0.117,8,11.5,3.558,2000,0.6,3.5,5,,EEUFC0J820( ),555,497.34,360.39,472.11,306.33,200,1000,516.6
6.3,100,0.22,0.09,10,12.5,2.918,3000,0.6,5,5,,EEUFC0J101( ),755,676.56,490.26,642.24,416.72,200,500,630
6.3,100,0.22,0.09,10,12.5,2.918,3000,0.6,5,5,,EEUFC0J101( ),755,676.56,490.26,642.24,416.72,200,500,630
6.3,120,0.22,0.085,8,15,2.432,2000,0.6,3.5,5,,EEUFC0J121L( ),730,654.16,474.03,620.97,402.92,200,1000,756
6.3,120,0.22,0.085,8,15,2.432,2000,0.6,3.5,5,,EEUFC0J121L( ),730,654.16,474.03,620.97,402.92,200,1000,756
6.3,150,0.22,0.09,10,12.5,1.945,3000,0.6,5,5,,EEUFC0J151( ),755,676.56,490.26,642.24,416.72,200,500,945
6.3,150,0.22,0.09,10,12.5,1.945,3000,0.6,5,5,,EEUFC0J151( ),755,676.56,490.26,642.24,416.72,200,500,945
6.3,180,0.22,0.068,10,16,1.621,3000,0.6,5,5,,EEUFC0J181( ),1050,940.91,681.82,893.18,579.55,200,500,1134
6.3,180,0.22,0.068,10,16,1.621,3000,0.6,5,5,,EEUFC0J181( ),1050,940.91,681.82,893.18,579.55,200,500,1134
6.3,220,0.22,0.065,8,20,1.326,2000,0.6,3.5,5,,EEUFC0J221L( ),995,891.62,646.1,846.4,549.19,200,1000,1386
6.3,220,0.22,0.065,8,20,1.326,2000,0.6,3.5,5,,EEUFC0J221L( ),995,891.62,646.1,846.4,549.19,200,1000,1386
6.3,270,0.22,0.068,10,16,1.081,3000,0.6,5,5,,EEUFC0J271( ),1050,940.91,681.82,893.18,579.55,200,500,1701
6.3,270,0.22,0.068,10,16,1.081,3000,0.6,5,5,,EEUFC0J271( ),1050,940.91,681.82,893.18,579.55,200,500,1701
6.3,330,0.22,0.052,10,20,0.884,3000,0.6,5,5,,EEUFC0J331( ),1220,1093.25,792.21,1037.79,673.38,200,500,2079
6.3,330,0.22,0.052,10,20,0.884,3000,0.6,5,5,,EEUFC0J331( ),1220,1093.25,792.21,1037.79,673.38,200,500,2079
6.3,390,0.22,0.065,12.5,15,0.748,5000,0.6,5,5,,EEUFC0J391S( ),1205,1150.64,906.02,1087.22,842.59,200,500,2457
6.3,390,0.22,0.065,12.5,15,0.748,5000,0.6,5,5,,EEUFC0J391S( ),1205,1150.64,906.02,1087.22,842.59,200,500,2457
