Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 500Hz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 105°C@120Hz,VC
420,150,0.982,16,40,0.25,2.21,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.99,63000
420,150,0.982,18,30,0.25,2.21,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.92,63000
420,180,0.819,16,45,0.25,1.842,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.11,75600
420,180,0.819,16,50,0.25,1.842,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.15,75600
420,180,0.819,18,35,0.25,1.842,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.05,75600
420,180,0.819,18,40,0.25,1.842,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.11,75600
420,220,0.67,18,45,0.25,1.507,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.26,92400
420,270,0.546,18,50,0.25,1.228,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.4,113400
450,33,4.466,12.5,20,0.25,10.048,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.36,14850
450,39,3.779,10,30,0.25,8.502,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.4,17550
450,47,3.135,10,35,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.46,21150
450,47,3.135,12.5,25,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.45,21150
450,47,3.135,14.5,20,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.44,21150
450,56,2.632,10,40,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.51,25200
450,56,2.632,10,45,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.55,25200
450,56,2.632,12.5,30,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.52,25200
450,56,2.632,14.5,25,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.52,25200
450,56,2.632,16,20,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.5,25200
450,68,2.167,10,50,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.62,30600
450,68,2.167,10,55,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.64,30600
450,68,2.167,12.5,35,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.6,30600
450,68,2.167,18,20,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.57,30600
450,82,1.797,10,60,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.71,36900
450,82,1.797,12.5,40,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.68,36900
450,82,1.797,12.5,45,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.71,36900
450,82,1.797,14.5,30,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.66,36900
450,82,1.797,16,25,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.64,36900
450,100,1.474,12.5,50,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.81,45000
450,100,1.474,14.5,35,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.75,45000
450,100,1.474,14.5,40,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.79,45000
450,100,1.474,16,30,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.75,45000
450,100,1.474,18,25,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.73,45000
450,120,1.228,14.5,45,0.25,2.763,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.9,54000
450,120,1.228,14.5,50,0.25,2.763,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.93,54000
450,120,1.228,16,35,0.25,2.763,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.86,54000
450,120,1.228,18,30,0.25,2.763,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.84,54000
450,150,0.982,16,40,0.25,2.21,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.97,67500
450,150,0.982,16,45,0.25,2.21,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.03,67500
450,150,0.982,18,35,0.25,2.21,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.98,67500
450,180,0.819,16,50,0.25,1.842,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.15,81000
450,180,0.819,18,40,0.25,1.842,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.11,81000
450,220,0.67,18,45,0.25,1.507,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.24,99000
450,220,0.67,18,50,0.25,1.507,1.5,1.5,1.0,1.4,1.25,0.8,0.8,1.3,99000
500,22,6.698,12.5,20,0.25,15.072,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.26,11000
500,27,5.458,12.5,25,0.25,12.28,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.33,13500
500,27,5.458,14.5,20,0.25,12.28,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.33,13500
500,33,4.466,14.5,25,0.25,10.048,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.38,16500
500,33,4.466,16,20,0.25,10.048,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.37,16500
500,33,4.466,12.5,30,0.25,10.048,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.38,16500
500,39,3.779,12.5,35,0.25,8.502,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.44,19500
500,47,3.135,12.5,40,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.5,23500
500,47,3.135,14.5,30,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.48,23500
500,47,3.135,16,25,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.48,23500
500,47,3.135,18,20,0.25,7.055,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.45,23500
500,56,2.632,12.5,45,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.57,28000
500,56,2.632,12.5,50,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.58,28000
500,56,2.632,14.5,35,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.56,28000
500,56,2.632,16,30,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.55,28000
500,56,2.632,18,25,0.25,5.921,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.54,28000
500,68,2.167,14.5,40,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.63,34000
500,68,2.167,14.5,45,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.71,34000
500,68,2.167,16,35,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.62,34000
500,68,2.167,18,30,0.25,4.876,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.68,34000
500,82,1.797,14.5,50,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.74,41000
500,82,1.797,16,40,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.71,41000
500,82,1.797,16,45,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.81,41000
500,82,1.797,18,35,0.25,4.044,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.78,41000
500,100,1.474,16,50,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.83,50000
500,100,1.474,18,40,0.25,3.316,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.88,50000
500,120,1.228,18,45,0.25,2.763,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.92,60000
500,120,1.228,18,50,0.25,2.763,1.5,1.5,1.0,1.4,1.25,0.8,0.8,0.95,60000
