Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
16,120,1.658,0.47,5,11,-40,105,0.15,7000,1.5,19,6000,UHW1C121MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,Normal,0.44
16,270,0.737,0.2,6.3,11,-40,105,0.15,7000,0.66,43,4000,UHW1C271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,Normal,0.59
16,470,0.423,0.1,8,11.5,-40,105,0.15,9000,0.36,75,3000,UHW1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,1.19
16,560,0.355,0.054,8,15,-40,105,0.15,10000,0.17,90,2000,UHW1C561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,Normal,1.36
16,680,0.293,0.048,10,12.5,-40,105,0.15,10000,0.15,109,2000,UHW1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,Normal,1.49
16,820,0.243,0.038,8,20,-40,105,0.15,10000,0.12,131,2000,UHW1C821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,Normal,1.66
16,820,0.243,0.03,10,16,-40,105,0.15,10000,0.09,131,1800,UHW1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
16,1000,0.199,0.038,8,20,-40,105,0.15,10000,0.12,160,2000,UHW1C102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,Normal,1.66
16,1000,0.199,0.03,10,16,-40,105,0.15,10000,0.09,160,1800,UHW1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
16,1200,0.166,0.03,10,16,-40,105,0.15,10000,0.09,192,1800,UHW1C122MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
16,1200,0.166,0.02,10,20,-40,105,0.15,10000,0.06,192,1400,UHW1C122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,2.34
16,1500,0.133,0.02,10,20,-40,105,0.15,10000,0.06,240,1400,UHW1C152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,2.34
16,1800,0.111,0.017,10,25,-40,105,0.15,10000,0.051,288,1200,UHW1C182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,Normal,3.07
16,2200,0.102,0.017,12.5,20,-40,105,0.17,10000,0.051,352,1000,UHW1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,Normal,3.43
16,2700,0.084,0.015,12.5,25,-40,105,0.17,10000,0.045,432,800,UHW1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,Normal,4.56
16,3300,0.076,0.015,12.5,25,-40,105,0.19,10000,0.045,528,800,UHW1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,Normal,4.56
16,3300,0.076,0.015,16,20,-40,105,0.19,10000,0.045,528,600,UHW1C332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
16,3900,0.065,0.012,12.5,30.5,-40,105,0.19,10000,0.036,624,600,UHW1C392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,Normal,6.01
16,3900,0.065,0.015,16,20,-40,105,0.19,10000,0.045,624,600,UHW1C392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
16,4700,0.059,0.011,12.5,35.5,-40,105,0.21,10000,0.033,752,500,UHW1C472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4120,MP,Normal,7.06
16,4700,0.059,0.013,16,25,-40,105,0.21,10000,0.039,752,400,UHW1C472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,8.2
16,5600,0.054,0.013,16,25,-40,105,0.23,10000,0.039,896,400,UHW1C562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,8.2
16,6800,0.049,0.011,16,30.5,-40,105,0.25,10000,0.033,1088,300,UHW1C682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,Normal,9.6
16,8200,0.047,0.01,16,35.5,-40,105,0.29,10000,0.03,1312,300,UHW1C822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,Normal,11.8
25,68,2.536,0.47,5,11,-40,105,0.13,7000,1.5,17,6000,UHW1E680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,Normal,0.44
25,150,1.149,0.2,6.3,11,-40,105,0.13,7000,0.66,38,4000,UHW1E151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,Normal,0.59
25,180,0.958,0.2,6.3,11,-40,105,0.13,7000,0.66,45,4000,UHW1E181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,Normal,0.59
25,330,0.522,0.1,8,11.5,-40,105,0.13,9000,0.36,83,3000,UHW1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,1.19
25,390,0.442,0.054,8,15,-40,105,0.13,10000,0.17,98,2000,UHW1E391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,Normal,1.36
