Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
6.3,220,1.266,0.23,5,11,-40,105,0.21,5000,0.76,14,6000,UHV0J221MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,Normal,0.44
6.3,330,0.844,0.1,6.3,11,-40,105,0.21,5000,0.33,21,4000,UHV0J331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,EOL,Normal,0.59
6.3,470,0.593,0.1,6.3,11,-40,105,0.21,5000,0.33,30,4000,UHV0J471MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,Normal,0.59
6.3,680,0.41,0.059,8,11.5,-40,105,0.21,6000,0.181,43,3000,UHV0J681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,900,MP,Normal,1.19
6.3,820,0.34,0.059,8,11.5,-40,105,0.21,6000,0.181,52,3000,UHV0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,Normal,1.19
6.3,1000,0.279,0.043,10,12.5,-40,105,0.21,6000,0.133,63,2000,UHV0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,1.49
6.3,1200,0.232,0.046,8,15,-40,105,0.21,6000,0.143,76,2000,UHV0J122MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,Normal,1.36
6.3,1200,0.232,0.043,10,12.5,-40,105,0.21,6000,0.133,76,2000,UHV0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,Normal,1.49
6.3,1500,0.186,0.031,8,20,-40,105,0.21,6000,0.105,95,2000,UHV0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,Normal,1.66
6.3,1800,0.155,0.03,10,16,-40,105,0.21,6000,0.095,113,1800,UHV0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,Normal,1.77
6.3,2200,0.139,0.019,10,20,-40,105,0.23,6000,0.057,139,1400,UHV0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,Normal,2.34
6.3,2700,0.113,0.017,10,25,-40,105,0.23,6000,0.051,170,1200,UHV0J272MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,Normal,3.07
6.3,3300,0.1,0.016,12.5,20,-40,105,0.25,6000,0.041,208,1000,UHV0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,3.43
6.3,3900,0.085,0.016,12.5,20,-40,105,0.25,6000,0.041,246,1000,UHV0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,Normal,3.43
6.3,4700,0.076,0.014,12.5,25,-40,105,0.27,6000,0.036,296,800,UHV0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,Normal,4.56
6.3,5600,0.069,0.012,12.5,30.5,-40,105,0.29,6000,0.031,353,600,UHV0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,Normal,6.01
6.3,6800,0.06,0.011,12.5,35.5,-40,105,0.31,6000,0.029,428,500,UHV0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3925,MP,Normal,7.06
6.3,6800,0.06,0.014,16,20,-40,105,0.31,6000,0.036,428,600,UHV0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
6.3,8200,0.057,0.012,16,25,-40,105,0.35,6000,0.033,517,400,UHV0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,Normal,8.2
10,150,1.592,0.23,5,11,-40,105,0.18,5000,0.76,15,6000,UHV1A151MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,Normal,0.44
10,220,1.085,0.1,6.3,11,-40,105,0.18,5000,0.33,22,4000,UHV1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,Normal,0.59
10,330,0.723,0.1,6.3,11,-40,105,0.18,5000,0.33,33,4000,UHV1A331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,Normal,0.59
10,470,0.508,0.059,8,11.5,-40,105,0.18,6000,0.181,47,3000,UHV1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,820,MP,Normal,1.19
10,680,0.351,0.059,8,11.5,-40,105,0.18,6000,0.181,68,3000,UHV1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,Normal,1.19
10,820,0.291,0.043,10,12.5,-40,105,0.18,6000,0.133,82,2000,UHV1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,1.49
10,1000,0.239,0.046,8,15,-40,105,0.18,6000,0.143,100,2000,UHV1A102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,Normal,1.36
10,1000,0.239,0.043,10,12.5,-40,105,0.18,6000,0.133,100,2000,UHV1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,Normal,1.49
10,1200,0.199,0.03,10,16,-40,105,0.18,6000,0.095,120,1800,UHV1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1650,MP,Normal,1.77
10,1500,0.159,0.031,8,20,-40,105,0.18,6000,0.105,150,2000,UHV1A152MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,Normal,1.66
10,1500,0.159,0.03,10,16,-40,105,0.18,6000,0.095,150,1800,UHV1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,Normal,1.77
10,1800,0.133,0.019,10,20,-40,105,0.18,6000,0.057,180,1400,UHV1A182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,Normal,2.34
10,2200,0.121,0.017,10,25,-40,105,0.2,6000,0.051,220,1200,UHV1A222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,Normal,3.07
10,2700,0.098,0.016,12.5,20,-40,105,0.2,6000,0.041,270,1000,UHV1A272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,Normal,3.43
10,3300,0.088,0.016,12.5,20,-40,105,0.22,6000,0.041,330,1000,UHV1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,Normal,3.43
10,3900,0.075,0.014,12.5,25,-40,105,0.22,6000,0.036,390,800,UHV1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,Normal,4.56
10,4700,0.068,0.012,12.5,30.5,-40,105,0.24,6000,0.031,470,600,UHV1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,Normal,6.01
10,4700,0.068,0.014,16,20,-40,105,0.24,6000,0.036,470,600,UHV1A472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
10,5600,0.062,0.011,12.5,35.5,-40,105,0.26,6000,0.029,560,500,UHV1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3975,MP,Normal,7.06
10,6800,0.055,0.012,16,25,-40,105,0.28,6000,0.033,680,400,UHV1A682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,Normal,8.2
16,100,1.989,0.23,5,11,-40,105,0.15,5000,0.76,16,6000,UHV1C101MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,Normal,0.44
16,150,1.326,0.1,6.3,11,-40,105,0.15,5000,0.33,24,4000,UHV1C151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,Normal,0.59
16,220,0.904,0.1,6.3,11,-40,105,0.15,5000,0.33,35,4000,UHV1C221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,Normal,0.59
16,330,0.603,0.059,8,11.5,-40,105,0.15,6000,0.181,53,3000,UHV1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,830,MP,Normal,1.19
16,470,0.423,0.059,8,11.5,-40,105,0.15,6000,0.181,75,3000,UHV1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,Normal,1.19
16,680,0.293,0.046,8,15,-40,105,0.15,6000,0.143,109,2000,UHV1C681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,Normal,1.36
16,680,0.293,0.043,10,12.5,-40,105,0.15,6000,0.133,109,2000,UHV1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,Normal,1.49
16,820,0.243,0.03,10,16,-40,105,0.15,6000,0.095,131,1800,UHV1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1650,MP,Normal,1.77
16,1000,0.199,0.031,8,20,-40,105,0.15,6000,0.105,160,2000,UHV1C102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,Normal,1.66
16,1000,0.199,0.03,10,16,-40,105,0.15,6000,0.095,160,1800,UHV1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,Normal,1.77
16,1200,0.166,0.019,10,20,-40,105,0.15,6000,0.057,192,1400,UHV1C122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1930,MP,Normal,2.34
16,1500,0.133,0.019,10,20,-40,105,0.15,6000,0.057,240,1400,UHV1C152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,Normal,2.34
16,1800,0.111,0.017,10,25,-40,105,0.15,6000,0.051,288,1200,UHV1C182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,Normal,3.07
16,2200,0.102,0.016,12.5,20,-40,105,0.17,6000,0.041,352,1000,UHV1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,Normal,3.43
16,2700,0.084,0.014,12.5,25,-40,105,0.17,6000,0.036,432,800,UHV1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,Normal,4.56
16,3300,0.076,0.012,12.5,30.5,-40,105,0.19,6000,0.031,528,600,UHV1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,Normal,6.01
16,3300,0.076,0.014,16,20,-40,105,0.19,6000,0.036,528,600,UHV1C332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
