Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Lead Diameter,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@60Hz,Straight,Straight leads,Taping,Taping ✽B,VC
50,47,0.1,0.35,8,11.5,2.822,0.6,EEUTA1H470S( ),440,394.29,285.71,374.29,242.86,3.5,200,1000,5,2350
50,100,0.1,0.18,10,12.5,1.326,0.6,EEUTA1H101( ),555,497.34,360.39,472.11,306.33,5,200,500,5,5000
50,220,0.1,0.1,10,20,0.603,0.6,EEUTA1H221( ),930,833.38,603.9,791.1,513.31,5,200,500,5,11000
50,330,0.1,0.07,12.5,20,0.402,0.6,EEUTA1H331( ),1330,1191.82,863.64,1131.36,734.09,5,200,500,5,16500
50,330,0.1,0.088,16,15,0.402,0.8,EEUTA1H331S( ),1450,1299.35,941.56,1233.44,800.32,7.5,100,250,7.5,16500
50,470,0.1,0.055,12.5,25,0.282,0.6,EEUTA1H471L( ),1650,1575.56,1240.6,1488.72,1153.76,5,200,500,5,23500
50,470,0.1,0.053,16,20,0.282,0.8,EEUTA1H471( ),1650,1575.56,1240.6,1488.72,1153.76,7.5,100,250,7.5,23500
50,470,0.1,0.075,18,15,0.282,0.8,EEUTA1H471S( ),1710,1632.86,1285.71,1542.86,1195.71,7.5,100,250,7.5,23500
50,1000,0.1,0.031,16,31.5,0.159,0.8,EEUTA1H102,2430,2320.38,1827.07,2192.48,1699.17,7.5,100,,,50000
50,1000,0.1,0.032,18,25,0.159,0.8,EEUTA1H102S( ),2350,2243.98,1766.92,2120.3,1643.23,7.5,100,250,7.5,50000
63,22,0.09,0.47,8,11.5,5.426,0.6,EEUTA1J220( ),310,277.79,201.3,263.7,171.1,3.5,200,1000,5,1386
63,33,0.09,0.36,10,12.5,3.617,0.6,EEUTA1J330( ),410,367.4,266.23,348.77,226.3,5,200,500,5,2079
63,47,0.09,0.27,10,16,2.54,0.6,EEUTA1J470( ),460,412.21,298.7,391.3,253.9,5,200,500,5,2961
63,100,0.09,0.205,10,20,1.194,0.6,EEUTA1J101( ),680,609.35,441.56,578.44,375.32,5,200,500,5,6300
63,220,0.09,0.1,12.5,25,0.543,0.6,EEUTA1J221L( ),1325,1187.34,860.39,1127.11,731.33,5,200,500,5,13860
63,220,0.09,0.085,16,20,0.543,0.8,EEUTA1J221( ),1360,1218.7,883.12,1156.88,750.65,7.5,100,250,7.5,13860
63,220,0.09,0.12,18,15,0.543,0.8,EEUTA1J221S( ),1300,1164.94,844.16,1105.84,717.53,7.5,100,250,7.5,13860
63,330,0.09,0.07,16,25,0.362,0.8,EEUTA1J331( ),1660,1487.53,1077.92,1412.08,916.23,7.5,100,250,7.5,20790
63,330,0.09,0.077,18,20,0.362,0.8,EEUTA1J331S( ),1760,1577.14,1142.86,1497.14,971.43,7.5,100,250,7.5,20790
63,470,0.09,0.06,16,31.5,0.254,0.8,EEUTA1J471,2055,1962.29,1545.11,1854.14,1436.95,7.5,100,,,29610
63,470,0.09,0.06,18,25,0.254,0.8,EEUTA1J471S( ),1990,1900.23,1496.24,1795.49,1391.5,7.5,100,250,7.5,29610
