Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
6.3,22,18.086,5,11,-55,105,0.3,2000,4,6000,UKA0J220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,45,EOL,Normal,0.44
6.3,33,12.057,5,11,-55,105,0.3,2000,6,6000,UKA0J330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,55,EOL,Normal,0.44
6.3,47,8.466,5,11,-55,105,0.3,2000,9,6000,UKA0J470MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,65,EOL,Normal,0.44
6.3,100,3.979,5,11,-55,105,0.3,2000,19,6000,UKA0J101MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,95,EOL,Normal,0.44
6.3,220,1.809,6.3,11,-55,105,0.3,2000,42,4000,UKA0J221MED,Uni-Polar,Radial Lead,105degC Hi-Grade,160,EOL,Normal,0.59
6.3,330,1.206,6.3,11,-55,105,0.3,2000,62,4000,UKA0J331MED,Uni-Polar,Radial Lead,105degC Hi-Grade,195,EOL,Normal,0.59
6.3,470,0.847,8,11.5,-55,105,0.3,2000,89,3000,UKA0J471MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,270,MP,Normal,1.19
6.3,1000,0.398,10,12.5,-55,105,0.3,2000,189,2000,UKA0J102MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,420,MP,Normal,1.49
6.3,2200,0.193,10,20,-55,105,0.32,2000,416,1400,UKA0J222MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,710,MP,Normal,2.34
6.3,3300,0.137,12.5,20,-55,105,0.34,2000,624,1000,UKA0J332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,910,MP,Normal,3.43
6.3,4700,0.102,12.5,25,-55,105,0.36,2000,888,800,UKA0J472MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1120,MP,Normal,4.56
6.3,6800,0.078,12.5,35.5,-55,105,0.4,2000,1285,500,UKA0J682MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1360,MP,Normal,7.06
6.3,10000,0.064,12.5,40,-55,105,0.48,2000,1890,400,UKA0J103MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1650,MP,Normal,7.57
