Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
160,220,0.904,16,31.5,0.15,5000,0.8,7.5,,,EEUEB2C221,1280.0,100,
160,220,0.904,18,25,0.15,5000,0.8,7.5,7.5,,EEUEB2C221S(),1280.0,100,250
160,330,0.603,18,31.5,0.15,5000,0.8,7.5,,,EEUEB2C331,1690.0,50,
200,22,9.043,10,20,0.15,5000,0.6,5.0,5.0,,EEUEB2D220(),470.0,200,500
200,33,6.029,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2D330(),600.0,200,500
200,47,4.233,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2D470(),600.0,200,500
200,68,2.926,12.5,25,0.15,5000,0.6,5.0,5.0,,EEUEB2D680(),750.0,200,500
200,68,2.926,16,20,0.15,5000,0.8,7.5,7.5,,EEUEB2D680S(),750.0,100,250
200,100,1.989,16,25,0.15,5000,0.8,7.5,7.5,,EEUEB2D101(),1060.0,100,250
200,100,1.989,18,20,0.15,5000,0.8,7.5,7.5,,EEUEB2D101S(),1060.0,100,250
200,150,1.326,16,31.5,0.15,5000,0.8,7.5,,,EEUEB2D151,1280.0,100,
200,150,1.326,18,25,0.15,5000,0.8,7.5,7.5,,EEUEB2D151S(),1280.0,100,250
200,220,0.904,18,31.5,0.15,5000,0.8,7.5,,,EEUEB2D221,1690.0,50,
250,22,9.043,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2E220(),560.0,200,500
250,33,6.029,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2E330(),560.0,200,500
250,47,4.233,12.5,25,0.15,5000,0.6,5.0,5.0,,EEUEB2E470(),710.0,200,500
250,47,4.233,16,20,0.15,5000,0.8,7.5,7.5,,EEUEB2E470S(),710.0,100,250
250,68,2.926,16,25,0.15,5000,0.8,7.5,7.5,,EEUEB2E680(),990.0,100,250
250,68,2.926,18,20,0.15,5000,0.8,7.5,7.5,,EEUEB2E680S(),990.0,100,250
250,100,1.989,16,31.5,0.15,5000,0.8,7.5,,,EEUEB2E101,1200.0,100,
250,100,1.989,18,25,0.15,5000,0.8,7.5,7.5,,EEUEB2E101S(),1200.0,100,250
250,150,1.326,18,31.5,0.15,5000,0.8,7.5,,,EEUEB2E151,1470.0,50,
350,10,26.526,10,20,0.2,5000,0.6,5.0,5.0,,EEUEB2V100(),270.0,200,500
350,22,12.057,12.5,20,0.2,5000,0.6,5.0,5.0,,EEUEB2V220(),350.0,200,500
350,33,8.038,16,20,0.2,5000,0.8,7.5,7.5,,EEUEB2V330S(),480.0,100,250
350,47,5.644,16,25,0.2,5000,0.8,7.5,7.5,,EEUEB2V470(),640.0,100,250
350,47,5.644,18,20,0.2,5000,0.8,7.5,7.5,,EEUEB2V470S(),640.0,100,250
350,68,3.901,16,31.5,0.2,5000,0.8,7.5,,,EEUEB2V680,780.0,100,
350,68,3.901,18,25,0.2,5000,0.8,7.5,7.5,,EEUEB2V680S(),780.0,100,250
350,100,2.653,18,31.5,0.2,5000,0.8,7.5,,,EEUEB2V101,970.0,50,
400,10,31.831,10,20,0.24,5000,0.6,5.0,5.0,,EEUEB2G100(),250.0,200,500
400,22,14.469,12.5,25,0.24,5000,0.6,5.0,5.0,,EEUEB2G220(),410.0,200,500
400,22,14.469,16,20,0.24,5000,0.8,7.5,7.5,,EEUEB2G220S(),410.0,100,250
400,33,9.646,16,25,0.24,5000,0.8,7.5,7.5,,EEUEB2G330(),600.0,100,250
400,33,9.646,18,20,0.24,5000,0.8,7.5,7.5,,EEUEB2G330S(),600.0,100,250
400,47,6.773,16,31.5,0.24,5000,0.8,7.5,,,EEUEB2G470,730.0,100,
400,47,6.773,18,25,0.24,5000,0.8,7.5,7.5,,EEUEB2G470S(),730.0,100,250
450,10,31.831,12.5,20,0.24,5000,0.6,5.0,5.0,,EEUEB2W100(),310.0,200,500
450,22,14.469,16,25,0.24,5000,0.8,7.5,7.5,,EEUEB2W220(),560.0,100,250
450,22,14.469,18,20,0.24,5000,0.8,7.5,7.5,,EEUEB2W220S(),560.0,100,250
450,33,9.646,16,31.5,0.24,5000,0.8,7.5,,,EEUEB2W330(),680.0,100,
450,33,9.646,18,25,0.24,5000,0.8,7.5,7.5,,EEUEB2W330S(),680.0,100,250
450,47,6.773,18,31.5,0.24,5000,0.8,7.5,,,EEUEB2W470,850.0,50,
