Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
50,10,0.12,5,11,15.916,70.5,70.5,47,61.1,56.4,37.6,37.6,500
50,22,0.12,5,11,7.234,105,105,70,91,84,56,56,1100
50,33,0.12,5,11,4.823,141,141,94,122.2,112.8,75.2,75.2,1650
50,47,0.12,6.3,11,3.386,172.5,172.5,115,149.5,138,92,92,2350
50,100,0.12,8,11.5,1.592,240,240,200,230,220,160,160,5000
50,220,0.12,10,12.5,0.723,360,360,300,345,330,240,240,11000
50,330,0.12,10,12.5,0.482,480,480,400,460,440,320,320,16500
50,470,0.12,10,20,0.339,720,720,600,690,660,480,480,23500
50,1000,0.12,12.5,25,0.186,1272,1272,1060,1219,1166,848,848,50000
50,2200,0.12,16,35.5,0.096,1840,1840,1600,1760,1680,1280,1280,110000
63,10,0.1,5,11,13.263,72,72,48,62.4,57.6,38.4,38.4,630
63,22,0.1,5,11,6.029,120,120,80,104,96,64,64,1386
63,33,0.1,6.3,11,4.019,150,150,100,130,120,80,80,2079
63,47,0.1,6.3,11,2.822,210,210,140,182,168,112,112,2961
63,100,0.1,10,12.5,1.326,276,276,230,264.5,253,184,184,6300
63,220,0.1,10,16,0.603,468,468,390,448.5,429,312,312,13860
63,330,0.1,10,20,0.402,648,648,540,621,594,432,432,20790
63,470,0.1,12.5,20,0.282,840,840,700,805,770,560,560,29610
63,1000,0.1,16,25,0.159,1440,1440,1200,1380,1320,960,960,63000
63,2200,0.1,18,35.5,0.084,1897.5,1897.5,1650,1815,1732.5,1320,1320,138600
63,3300,0.1,18,35.5,0.064,2047,2047,1780,1958,1869,1424,1424,207900
100,0.47,0.08,5,11,225.752,12,12,8,10.4,9.6,4,4,47
100,1,0.08,5,11,106.103,22.5,22.5,15,19.5,18,7.5,7.5,100
100,2.2,0.08,5,11,48.229,31.5,31.5,21,27.3,25.2,13.65,13.65,220.00000000000003
100,3.3,0.08,5,11,32.153,45,45,30,39,36,19.5,19.5,330
100,4.7,0.08,5,11,22.575,52.5,52.5,35,45.5,42,22.75,22.75,470
100,10,0.08,5,11,10.61,90,90,60,78,72,48,48,1000
100,22,0.08,6.3,11,4.823,147,147,98,127.4,117.6,78.4,78.4,2200
100,33,0.08,8,11.5,3.215,210,210,140,182,168,112,112,3300
100,47,0.08,10,12.5,2.258,277.5,277.5,185,240.5,222,148,148,4700
100,100,0.08,10,20,1.061,348,348,290,333.5,319,232,232,10000
100,220,0.08,12.5,25,0.482,672,672,560,644,616,448,448,22000
100,330,0.08,12.5,25,0.322,828,828,690,793.5,759,552,552,33000
100,470,0.08,16,25,0.226,1056,1056,880,1012,968,704,704,47000
100,1000,0.08,18,40,0.133,1182,1182,985,1132.75,1083.5,788,788,100000
160,4.7,0.2,6.3,11,56.438,64.5,64.5,43,55.9,51.6,27.95,27.95,752
160,10,0.2,8,11.5,26.526,115.5,115.5,77,100.1,92.4,61.6,61.6,1600
160,22,0.2,10,16,12.057,187.5,187.5,125,162.5,150,100,100,3520
160,33,0.2,10,20,8.038,255,255,170,221,204,136,136,5280
160,47,0.2,12.5,20,5.644,315,315,210,273,252,168,168,7520
160,100,0.2,12.5,25,2.653,384,384,320,368,352,256,256,16000
160,220,0.2,16,35.5,1.206,696,696,580,667,638,464,464,35200
160,330,0.2,18,35.5,0.804,840,840,700,805,770,560,560,52800
200,3.3,0.2,6.3,11,80.381,54,54,36,46.8,43.2,23.4,23.4,660
200,4.7,0.2,8,11.5,56.438,75,75,50,65,60,32.5,32.5,940
200,10,0.2,10,12.5,26.526,120,120,80,104,96,64,64,2000
200,22,0.2,10,20,12.057,202.5,202.5,135,175.5,162,108,108,4400
200,33,0.2,12.5,20,8.038,300,300,200,260,240,160,160,6600
200,47,0.2,12.5,20,5.644,330,330,220,286,264,176,176,9400
200,100,0.2,16,25,2.653,408,408,340,391,374,272,272,20000
200,220,0.2,18,35.5,1.206,696,696,580,667,638,464,464,44000
250,0.47,0.2,6.3,11,564.38,12,12,8,10.4,9.6,4,4,117.5
250,1,0.2,6.3,11,265.258,24,24,16,20.8,19.2,8,8,250
250,2.2,0.2,6.3,11,120.572,45,45,30,39,36,19.5,19.5,550
250,3.3,0.2,8,11.5,80.381,64.5,64.5,43,55.9,51.6,27.95,27.95,825
250,4.7,0.2,8,11.5,56.438,79.5,79.5,53,68.9,63.6,34.45,34.45,1175
250,10,0.2,10,16,26.526,135,135,90,117,108,72,72,2500
250,22,0.2,12.5,20,12.057,225,225,150,195,180,120,120,5500
250,33,0.2,12.5,20,8.038,300,300,200,260,240,160,160,8250
250,47,0.2,12.5,25,5.644,360,360,240,312,288,192,192,11750
250,100,0.2,16,31.5,2.653,480,480,400,460,440,320,320,25000
350,0.47,0.24,6.3,11,677.256,12,12,8,10.4,9.6,4,4,164.5
350,1,0.24,6.3,11,318.31,24,24,16,20.8,19.2,8,8,350
350,2.2,0.24,8,11.5,144.686,46.5,46.5,31,40.3,37.2,20.15,20.15,770.0000000000001
350,3.3,0.24,10,12.5,96.458,67.5,67.5,45,58.5,54,29.25,29.25,1155
350,4.7,0.24,10,12.5,67.726,82.5,82.5,55,71.5,66,35.75,35.75,1645
350,10,0.24,10,20,31.831,142.5,142.5,95,123.5,114,76,76,3500
350,22,0.24,12.5,25,14.469,262.5,262.5,175,227.5,210,140,140,7700
350,33,0.24,16,25,9.646,330,330,220,286,264,176,176,11550
