Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
250,47,0.836,0.677,12.5,20,0.15,4.233,1000,900,400,700,11750
250,56,0.702,0.568,12.5,20,0.15,3.553,1100,990,440,770,14000
250,68,0.578,0.468,12.5,25,0.15,2.926,1350,1215,540,945,17000
250,82,0.479,0.388,16,20,0.15,2.426,1480,1332,592,1036,20500
250,100,0.497,0.404,16,25,0.15,1.989,1600,1441.44,720.72,1203.6,25000
250,120,0.414,0.336,16,25,0.15,1.658,1700,1531.53,765.77,1278.83,30000
250,120,0.414,0.336,18,20,0.15,1.658,1600,1441.44,720.72,1203.6,30000
250,150,0.332,0.269,18,25,0.15,1.326,2000,1801.8,900.9,1504.5,37500
350,15,1.965,1.595,10,16,0.2,17.684,450,405.41,135.14,270.27,5250
350,22,2.382,1.929,10,20,0.2,12.057,550,495,220,385,7700
350,33,1.588,1.286,12.5,20,0.2,8.038,750,675,300,525,11550
350,39,1.344,1.088,12.5,25,0.2,6.801,900,810,360,630,13650
350,47,1.115,0.903,12.5,25,0.2,5.644,980,882,392,686,16450
350,56,0.936,0.758,16,20,0.2,4.737,1100,990,440,770,19600
350,68,0.771,0.624,16,25,0.2,3.901,1300,1170,520,910,23800
350,68,0.771,0.624,18,20,0.2,3.901,1280,1152,512,896,23800
350,82,0.639,0.518,18,25,0.2,3.235,1550,1395,620,1085,28700
350,100,0.663,0.538,18,25,0.2,2.653,1600,1441.44,720.72,1203.6,35000
400,10,2.947,2.392,10,16,0.2,26.526,380,342.34,114.11,228.23,4000
400,12,2.456,1.993,10,16,0.2,22.105,450,405.41,135.14,270.27,4800
400,15,1.965,1.595,10,20,0.2,17.684,500,450.45,150.15,300.3,6000
400,18,1.637,1.329,10,20,0.2,14.737,550,495.5,165.17,330.33,7200
400,22,2.382,1.929,12.5,20,0.2,12.057,650,585,260,455,8800
400,27,1.941,1.572,12.5,20,0.2,9.824,700,630,280,490,10800
400,33,1.588,1.286,12.5,25,0.2,8.038,850,765,340,595,13200
400,39,1.344,1.088,12.5,25,0.2,6.801,900,810,360,630,15600
400,47,1.115,0.903,16,20,0.2,5.644,1000,900,400,700,18800
400,56,0.936,0.758,16,25,0.2,4.737,1220,1098,488,854,22400
400,56,0.936,0.758,18,20,0.2,4.737,1200,1080,480,840,22400
400,82,0.639,0.518,18,25,0.2,3.235,1600,1440,640,1120,32800
450,8.2,3.594,2.917,10,16,0.2,32.349,330,297.3,99.1,198.2,3689.9999999999995
450,10,2.947,2.392,10,16,0.2,26.526,380,342.34,114.11,228.23,4500
450,12,2.456,1.993,10,20,0.2,22.105,470,423.42,141.14,282.28,5400
450,15,1.965,1.595,10,20,0.2,17.684,500,450.45,150.15,300.3,6750
450,18,1.637,1.329,12.5,20,0.2,14.737,560,504.5,168.17,336.34,8100
450,22,2.382,1.929,12.5,20,0.2,12.057,600,540,240,420,9900
450,27,1.941,1.572,12.5,25,0.2,9.824,750,675,300,525,12150
450,33,1.588,1.286,16,20,0.2,8.038,860,774,344,602,14850
450,39,1.344,1.088,16,25,0.2,6.801,1000,900,400,700,17550
450,39,1.344,1.088,18,20,0.2,6.801,960,864,384,672,17550
450,47,1.115,0.903,16,25,0.2,5.644,1100,990,440,770,21150
450,47,1.115,0.903,18,20,0.2,5.644,1000,900,400,700,21150
450,56,0.936,0.758,18,25,0.2,4.737,1250,1125,500,875,25200
450,68,0.771,0.624,18,25,0.2,3.901,1350,1215,540,945,30600
