Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Ripple Current,Size Code
6.3,18,16.21,,,0.22,nan,nan,,nan
6.3,27,10.807,,,0.22,nan,nan,,nan
6.3,33,8.842,,,0.22,nan,nan,,nan
6.3,39,7.482,4,7,0.22,2.6,0.85,130.0,B07
6.3,47,6.208,,,0.22,nan,nan,,nan
6.3,56,5.21,,,0.22,nan,nan,,nan
6.3,68,4.291,5,7,0.22,1.3,0.43,210.0,C07
6.3,100,2.918,6.3,5,0.22,0.91,0.28,210.0,D05
6.3,120,2.432,,,0.22,nan,nan,,nan
6.3,150,1.945,5,11.5,0.22,0.8,0.22,345.0,C11
6.3,150,1.945,6.3,7,0.22,0.69,0.23,300.0,D07
6.3,180,1.621,,,0.22,nan,nan,,nan
6.3,220,1.326,8,7,0.22,0.45,0.15,380.0,E07
6.3,330,0.884,6.3,11.5,0.22,0.35,0.094,540.0,D11
6.3,470,0.621,,,0.22,nan,nan,,nan
6.3,560,0.521,8,12,0.22,0.19,0.056,945.0,E12
6.3,680,0.429,,,0.22,nan,nan,,nan
6.3,820,0.356,8,15,0.22,0.15,0.045,1250.0,E15
6.3,1000,0.292,10,12.5,0.22,0.14,0.039,1330.0,F12
6.3,1200,0.243,10,16,0.22,0.1,0.028,1760.0,F16
6.3,1500,0.195,10,20,0.22,0.06,0.02,1960.0,F20
6.3,2200,0.133,10,25,0.22,0.054,0.018,2250.0,F25
6.3,2700,0.108,,,0.22,nan,nan,,nan
6.3,3300,0.088,12.5,20,0.22,0.043,0.017,2480.0,G20
6.3,3900,0.075,12.5,25,0.22,0.038,0.015,2900.0,G25
6.3,4700,0.062,12.5,30,0.22,0.033,0.013,3450.0,G30
6.3,5600,0.052,16,20,0.22,0.038,0.015,3570.0,J20
6.3,6800,0.043,16,25,0.22,0.035,0.013,3630.0,J25
10,18,14,,,0.19,nan,nan,,nan
10,27,9.333,4,7,0.19,2.7,0.89,130.0,B07
10,33,7.636,,,0.19,nan,nan,,nan
10,39,6.461,,,0.19,nan,nan,,nan
10,47,5.362,6.3,5,0.19,0.93,0.29,210.0,D05
10,56,4.5,5,7,0.19,1.4,0.44,210.0,C07
10,68,3.706,,,0.19,nan,nan,,nan
10,100,2.52,5,11.5,0.19,0.8,0.22,345.0,C11
10,120,2.1,6.3,7,0.19,0.69,0.23,300.0,D07
10,150,1.68,,,0.19,nan,nan,,nan
10,180,1.4,8,7,0.19,0.45,0.15,380.0,E07
10,220,1.145,6.3,11.5,0.19,0.35,0.094,540.0,D11
10,330,0.764,,,0.19,nan,nan,,nan
10,470,0.536,8,12,0.19,0.19,0.056,945.0,E12
10,560,0.45,,,0.19,nan,nan,,nan
10,680,0.371,10,12.5,0.19,0.14,0.039,1330.0,F12
10,820,0.307,,,0.19,nan,nan,,nan
10,1000,0.252,10,16,0.19,0.1,0.028,1760.0,F16
10,1200,0.21,10,20,0.19,0.06,0.02,1960.0,F20
10,1500,0.168,10,25,0.19,0.054,0.018,2250.0,F25
10,2200,0.115,12.5,20,0.19,0.043,0.017,2480.0,G20
10,2700,0.093,,,0.19,nan,nan,,nan
10,3300,0.076,12.5,25,0.19,0.038,0.015,2900.0,G25
10,3900,0.065,16,20,0.19,0.038,0.015,3250.0,J20
10,4700,0.054,16,25,0.19,0.035,0.013,3630.0,J25
10,5600,0.045,16,25,0.19,0.035,0.013,3630.0,J25
10,6800,0.037,,,0.19,nan,nan,,nan
16,18,11.789,4,7,0.16,2.8,0.92,130.0,B07
16,27,7.86,6.3,5,0.16,0.95,0.3,210.0,D05
16,33,6.431,5,7,0.16,1.4,0.45,210.0,C07
16,33,6.431,6.3,5,0.16,0.95,0.3,210.0,D05
16,39,5.441,,,0.16,nan,nan,,nan
16,47,4.515,,,0.16,nan,nan,,nan
16,56,3.789,5,11.5,0.16,0.8,0.22,345.0,C11
16,68,3.121,6.3,7,0.16,0.72,0.24,300.0,D07
16,100,2.122,,,0.16,nan,nan,,nan
16,120,1.768,8,7,0.16,0.45,0.15,380.0,E07
16,120,1.768,6.3,11.5,0.16,0.35,0.094,540.0,D11
16,150,1.415,6.3,7,0.16,0.69,0.23,300.0,D07
16,180,1.179,,,0.16,nan,nan,,nan
16,220,0.965,,,0.16,nan,nan,,nan
16,330,0.643,8,12,0.16,0.19,0.056,945.0,E12
16,470,0.452,8,15,0.16,0.15,0.045,1250.0,E15
16,560,0.379,10,16,0.16,0.1,0.028,1760.0,F16
16,680,0.312,,,0.16,nan,nan,,nan
16,820,0.259,,,0.16,nan,nan,,nan
16,1000,0.212,10,20,0.16,0.06,0.02,1960.0,F20
