Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 135°C@100kHz,Size Code
10,220,1.206,,,,0.2,,
10,330,0.804,0.098,10,12.5,0.2,725,F12
10,470,0.564,0.098,10,12.5,0.2,725,F12
10,1000,0.265,0.057,10,20,0.2,1130,F20
10,1000,0.265,0.059,12.5,15,0.2,1130,G15
10,2200,0.121,0.032,12.5,25,0.2,1880,G25
10,2200,0.121,0.032,16,20,0.2,2020,J20
10,3300,0.08,0.024,16,25,0.2,2550,J25
10,3300,0.08,0.029,18,20,0.2,2320,K20
10,4700,0.056,0.020,16,31.5,0.2,3040,J31
10,4700,0.056,0.022,18,25,0.2,2880,K25
16,220,0.965,0.098,10,12.5,0.16,725,F12
16,330,0.643,0.098,10,12.5,0.16,725,F12
16,470,0.452,0.075,10,16,0.16,951,F16
16,1000,0.212,0.057,10,20,0.16,1130,F20
16,1000,0.212,0.040,12.5,20,0.16,1550,G20
16,2200,0.096,0.032,12.5,25,0.16,1880,G25
16,2200,0.096,0.024,16,25,0.16,2550,J25
16,3300,0.064,0.020,16,31.5,0.16,3040,J31
16,3300,0.064,0.022,18,25,0.16,2880,K25
16,4700,0.045,0.019,16,35.5,0.16,3280,J35
16,4700,0.045,0.018,18,31.5,0.16,3410,K31
25,220,0.844,0.098,10,12.5,0.14,725,F12
25,330,0.563,0.098,10,12.5,0.14,725,F12
25,330,0.563,0.075,10,16,0.14,951,F16
25,470,0.395,0.075,10,16,0.14,951,F16
25,470,0.395,0.057,10,20,0.14,1130,F20
25,1000,0.186,0.040,12.5,20,0.14,1550,G20
25,1000,0.186,0.032,12.5,25,0.14,1880,G25
25,1200,0.155,0.040,12.5,20,0.14,1550,G20
25,1800,0.103,0.032,12.5,25,0.14,1880,G25
25,1800,0.103,0.032,16,20,0.14,2020,J20
25,2200,0.084,0.029,12.5,30,0.14,2160,G30
25,2200,0.084,0.024,16,25,0.14,2550,J25
25,2700,0.069,0.023,12.5,35,0.14,2580,G35
25,2700,0.069,0.024,16,25,0.14,2550,J25
25,3300,0.056,0.020,12.5,40,0.14,2920,G40
25,3300,0.056,0.020,16,31.5,0.14,3040,J31
25,4700,0.04,0.019,16,35.5,0.14,3280,J35
25,4700,0.04,0.018,18,31.5,0.14,3410,K31
25,5600,0.033,0.017,16,40,0.14,3630,J40
25,6800,0.027,0.016,18,40,0.14,4000,K40
35,220,0.723,0.098,10,12.5,0.12,725,F12
35,220,0.723,0.075,10,16,0.12,951,F16
35,330,0.482,0.075,10,16,0.12,951,F16
35,330,0.482,0.057,10,20,0.12,1130,F20
35,470,0.339,0.057,10,20,0.12,1130,F20
35,470,0.339,0.040,12.5,20,0.12,1550,G20
35,1000,0.159,0.032,12.5,25,0.12,1880,G25
35,1200,0.133,0.029,12.5,30,0.12,2160,G30
35,1200,0.133,0.032,16,20,0.12,2020,J20
35,1500,0.106,0.023,12.5,35,0.12,2580,G35
35,1500,0.106,0.020,16,31.5,0.12,3040,J31
35,1800,0.088,0.020,12.5,40,0.12,2920,G40
35,1800,0.088,0.024,16,25,0.12,2550,J25
35,2200,0.072,0.020,16,31.5,0.12,3040,J31
35,2200,0.072,0.019,16,35.5,0.12,3280,J35
35,2700,0.059,0.019,16,35.5,0.12,3280,J35
35,2700,0.059,0.018,18,31.5,0.12,3410,K31
35,3300,0.048,0.017,16,40,0.12,3630,J40
35,3300,0.048,0.017,18,35.5,0.12,3710,K35
35,4700,0.034,0.016,18,40,0.12,4000,K40
50,220,0.603,0.081,10,20,0.1,930,F20
50,470,0.282,0.057,12.5,20,0.1,1170,G20
50,820,0.162,0.038,12.5,30,0.1,1680,G30
50,1000,0.133,0.031,16,25,0.1,1710,J25
50,1800,0.074,0.025,18,35.5,0.1,2670,K31
50,2200,0.06,0.022,18,35.5,0.1,2900,K35
63,470,0.282,0.19,16,20,0.1,1100,J20
63,820,0.162,0.080,16,31.5,0.1,1790,J31
63,1000,0.133,0.066,16,35.5,0.1,2010,J35
63,1800,0.074,0.051,18,40,0.1,2350,K40
80,330,0.322,0.19,16,20,0.08,1100,J20
80,470,0.226,0.11,16,25,0.08,1370,J25
80,560,0.189,0.094,18,25,0.08,1450,K25
80,820,0.129,0.062,18,35.5,0.08,2100,K35
80,1000,0.106,0.051,18,40,0.08,2350,K40
