Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Ripple Current 125°C@100kHz
250,30,6.631,12.5,20,0.15,1870,1100,1100
250,36,5.526,10,30,0.15,2260,1330,1330
250,43,4.627,10,35,0.15,2630,1550,1550
250,43,4.627,12.5,25,0.15,2390,1410,1410
250,51,3.901,10,40,0.15,2990,1760,1760
250,51,3.901,16,20,0.15,2440,1440,1440
250,56,3.553,12.5,30,0.15,2900,1710,1710
275,30,6.631,12.5,20,0.15,1730,1020,1020
275,36,5.526,10,30,0.15,2100,1240,1240
275,43,4.627,10,35,0.15,2440,1440,1440
275,43,4.627,12.5,25,0.15,2220,1310,1310
275,51,3.901,10,40,0.15,2780,1640,1640
275,51,3.901,16,20,0.15,2290,1350,1350
275,56,3.553,12.5,30,0.15,2700,1590,1590
290,24,8.289,12.5,20,0.15,1410,830,830
290,30,6.631,10,30,0.15,1700,1000,1000
290,36,5.526,10,35,0.15,1970,1160,1160
290,36,5.526,12.5,25,0.15,1800,1060,1060
290,43,4.627,10,40,0.15,2240,1320,1320
290,43,4.627,16,20,0.15,1870,1100,1100
290,43,4.627,12.5,30,0.15,2190,1290,1290
