Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
4,33,14.067,4,5,0.35,0.45,1.5,5.0,2.5,ECEA0GKS330( ),26,200,2000
4,47,9.877,4,5,0.35,0.45,1.5,5.0,2.5,ECEA0GKS470( ),34,200,2000
4,100,4.642,5,5,0.35,0.45,2.0,5.0,2.5,ECEA0GKS101( ),61,200,2000
4,220,2.11,6.3,5,0.35,0.45,2.5,5.0,2.5,ECEA0GKS221( ),82,200,2000
6.3,22,14.469,4,5,0.24,0.45,1.5,5.0,2.5,ECEA0JKS220( ),29,200,2000
6.3,33,9.646,5,5,0.24,0.45,2.0,5.0,2.5,ECEA0JKS330( ),38,200,2000
6.3,47,6.773,5,5,0.24,0.45,2.0,5.0,2.5,ECEA0JKS470( ),46,200,2000
6.3,100,3.183,6.3,5,0.24,0.45,2.5,5.0,2.5,ECEA0JKS101( ),71,200,2000
6.3,330,0.965,8,5,0.24,0.45,2.5,,2.5,ECEA0JKS331( ),130,200,1000
6.3,330,0.965,8,5,0.24,0.45,,5.0,,ECEA0JKS331Q,130,,1000
10,22,12.057,5,5,0.2,0.45,2.0,5.0,2.5,ECEA1AKS220( ),35,200,2000
10,33,8.038,5,5,0.2,0.45,2.0,5.0,2.5,ECEA1AKS330( ),43,200,2000
10,47,5.644,6.3,5,0.2,0.45,2.5,5.0,2.5,ECEA1AKS470( ),65,200,2000
10,100,2.653,6.3,5,0.2,0.45,2.5,5.0,2.5,ECEA1AKS101( ),80,200,2000
10,220,1.206,8,5,0.2,0.45,2.5,,2.5,ECEA1AKS221( ),120,200,1000
10,220,1.206,8,5,0.2,0.45,,5.0,,ECEA1AKS221Q,120,,1000
16,10,21.221,4,5,0.16,0.45,1.5,5.0,2.5,ECEA1CKS100( ),28,200,2000
16,22,9.646,5,5,0.16,0.45,2.0,5.0,2.5,ECEA1CKS220( ),39,200,2000
16,33,6.431,6.3,5,0.16,0.45,2.5,5.0,2.5,ECEA1CKS330( ),60,200,2000
16,47,4.515,6.3,5,0.16,0.45,2.5,5.0,2.5,ECEA1CKS470( ),70,200,2000
16,100,2.122,8,5,0.16,0.45,2.5,,2.5,ECEA1CKS101( ),91,200,1000
16,100,2.122,8,5,0.16,0.45,,5.0,,ECEA1CKS101Q,91,,1000
25,4.7,39.507,4,5,0.14,0.45,1.5,5.0,2.5,ECEA1EKS4R7( ),22,200,2000
25,10,18.568,5,5,0.14,0.45,2.0,5.0,2.5,ECEA1EKS100( ),28,200,2000
25,22,8.44,6.3,5,0.14,0.45,2.5,5.0,2.5,ECEA1EKS220( ),55,200,2000
25,33,5.627,6.3,5,0.14,0.45,2.5,5.0,2.5,ECEA1EKS330( ),65,200,2000
25,100,1.857,8,5,0.14,0.45,2.5,,2.5,ECEA1EKS101( ),85,200,1000
25,100,1.857,8,5,0.14,0.45,,5.0,,ECEA1EKS101Q,85,,1000
35,3.3,48.229,4,5,0.12,0.45,1.5,5.0,2.5,ECEA1VKS3R3( ),16,200,2000
35,4.7,33.863,4,5,0.12,0.45,1.5,5.0,2.5,ECEA1VKS4R7( ),22,200,2000
35,10,15.916,5,5,0.12,0.45,2.0,5.0,2.5,ECEA1VKS100( ),30,200,2000
35,22,7.234,6.3,5,0.12,0.45,2.5,5.0,2.5,ECEA1VKS220( ),60,200,2000
35,33,4.823,8,5,0.12,0.45,2.5,,2.5,ECEA1VKS330( ),65,200,1000
35,33,4.823,8,5,0.12,0.45,,5.0,,ECEA1VKS330Q,65,,1000
35,47,3.386,8,5,0.12,0.45,2.5,,2.5,ECEA1VKS470( ),85,200,1000
35,47,3.386,8,5,0.12,0.45,,5.0,,ECEA1VKS470Q,85,,1000
50,2.2,60.286,4,5,0.1,0.45,1.5,5.0,2.5,ECEA1HKS2R2( ),16,200,2000
50,3.3,40.191,4,5,0.1,0.45,1.5,5.0,2.5,ECEA1HKS3R3( ),16,200,2000
50,4.7,28.219,5,5,0.1,0.45,2.0,5.0,2.5,ECEA1HKS4R7( ),23,200,2000
50,10,13.263,6.3,5,0.1,0.45,2.5,5.0,2.5,ECEA1HKS100( ),35,200,2000
50,22,6.029,8,5,0.1,0.45,2.5,,2.5,ECEA1HKS220( ),60,200,1000
50,22,6.029,8,5,0.1,0.45,,5.0,,ECEA1HKS220Q,60,,1000
