Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 125°C@100kHz
10,330,0.804,0.17,10,12.5,0.2,EGXL100E□□331MJC5S,800
10,470,0.564,0.17,10,12.5,0.2,EGXL100E□□471MJC5S,800
10,1000,0.265,0.094,10,20,0.2,EGXL100E□□102MJ20S,1300
16,220,0.965,0.17,10,12.5,0.16,EGXL160E□□221MJC5S,800
16,330,0.643,0.17,10,12.5,0.16,EGXL160E□□331MJC5S,800
16,470,0.452,0.12,10,16,0.16,EGXL160E□□471MJ16S,1050
25,220,0.844,0.17,10,12.5,0.14,EGXL250E□□221MJC5S,800
25,330,0.563,0.12,10,16,0.14,EGXL250E□□331MJ16S,1050
25,470,0.395,0.094,10,20,0.14,EGXL250E□□471MJ20S,1300
35,100,1.592,0.17,10,12.5,0.12,EGXL350E□□101MJC5S,800
35,220,0.723,0.12,10,16,0.12,EGXL350E□□221MJ16S,1050
35,330,0.482,0.094,10,20,0.12,EGXL350E□□331MJ20S,1300
50,100,1.326,0.3,10,12.5,0.1,EGXL500E□□101MJC5S,590
50,220,0.603,0.19,10,20,0.1,EGXL500E□□221MJ20S,970
