Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz,Size Code
50,1200,0.111,0.048,16,31.5,0.1,0.2,2940,J31
35,1500,0.106,0.024,16,31.5,0.12,0.14,3160,J31
50,1500,0.088,0.039,16,35.5,0.1,0.16,3300,J35
35,2200,0.072,0.023,16,35.5,0.12,0.13,3590,J35
50,2200,0.06,0.033,18,35.5,0.1,0.15,3520,K35
25,2700,0.069,0.024,16,31.5,0.14,0.14,3160,J31
35,2700,0.059,0.02,18,31.5,0.12,0.11,3410,K31
25,3300,0.056,0.023,16,35.5,0.14,0.13,3590,J35
35,3300,0.048,0.019,18,35.5,0.12,0.1,3840,K35
25,4700,0.04,0.02,18,31.5,0.14,0.11,3410,K31
35,4700,0.034,0.017,18,40,0.12,0.094,4250,K40
25,5600,0.033,0.019,18,35.5,0.14,0.1,3840,K35
25,6800,0.027,0.017,18,40,0.14,0.094,4250,K40
