Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
200,82,1.941,10,30.5,-40,105,0.12,2000,756,1000,UPZ2D820MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,400,MP,Normal,3.21
200,120,1.326,10,40,-40,105,0.12,2000,1060,500,UPZ2D121MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,680,LTB,Normal,5.24
200,150,1.061,10,50,-40,105,0.12,2000,1300,300,UPZ2D151MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,830,LTB,Normal,6.45
200,150,1.061,12.5,30.5,-40,105,0.12,2000,1300,600,UPZ2D151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,620,MP,Normal,6.01
200,180,0.884,12.5,35.5,-40,105,0.12,2000,1540,500,UPZ2D181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,700,MP,Normal,7.06
200,220,0.723,12.5,40,-40,105,0.12,2000,1860,400,UPZ2D221MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,800,MP,Normal,7.57
200,270,0.589,12.5,50,-40,105,0.12,2000,2260,400,UPZ2D271MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1265,LTB,Normal,10.4
200,270,0.589,16,30.5,-40,105,0.12,2000,2260,300,UPZ2D271MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,870,MP,Normal,9.6
200,330,0.482,16,35.5,-40,105,0.12,2000,2740,300,UPZ2D331MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1010,MP,Normal,11.8
200,330,0.482,18,30.5,-40,105,0.12,2000,2740,300,UPZ2D331MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1010,MP,Normal,13.1
200,390,0.408,16,40,-40,105,0.12,2000,3220,300,UPZ2D391MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1130,MP,Normal,14.1
200,390,0.408,18,35.5,-40,105,0.12,2000,3220,250,UPZ2D391MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1120,MP,Normal,14.2
200,470,0.339,18,40,-40,105,0.12,2000,3860,200,UPZ2D471MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1270,MP,Normal,17.7
250,82,2.426,10,40,-40,105,0.15,2000,920,500,UPZ2E820MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,610,LTB,Normal,5.24
250,120,1.658,10,50,-40,105,0.15,2000,1300,300,UPZ2E121MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,740,LTB,Normal,6.45
250,220,0.904,12.5,50,-40,105,0.15,2000,2300,400,UPZ2E221MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1140,LTB,Normal,10.4
400,27,7.368,10,30.5,-40,105,0.15,2000,532,1000,UPZ2G270MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,240,MP,Normal,3.21
400,47,4.233,10,40,-40,105,0.15,2000,852,500,UPZ2G470MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,435,LTB,Normal,5.24
400,47,4.233,12.5,30.5,-40,105,0.15,2000,852,600,UPZ2G470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,370,MP,Normal,6.01
400,56,3.553,10,50,-40,105,0.15,2000,996,300,UPZ2G560MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,520,LTB,Normal,6.45
400,56,3.553,12.5,35.5,-40,105,0.15,2000,996,500,UPZ2G560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,420,MP,Normal,7.06
400,68,2.926,12.5,40,-40,105,0.15,2000,1188,400,UPZ2G680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,480,MP,Normal,7.57
400,100,1.989,12.5,50,-40,105,0.15,2000,1700,400,UPZ2G101MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,770,LTB,Normal,10.4
400,100,1.989,16,30.5,-40,105,0.15,2000,1700,300,UPZ2G101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,580,MP,Normal,9.6
400,120,1.658,16,35.5,-40,105,0.15,2000,2020,300,UPZ2G121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,670,MP,Normal,11.8
400,120,1.658,18,30.5,-40,105,0.15,2000,2020,300,UPZ2G121MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,670,MP,Normal,13.1
400,150,1.326,16,40,-40,105,0.15,2000,2500,300,UPZ2G151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,770,MP,Normal,14.1
400,150,1.326,18,35.5,-40,105,0.15,2000,2500,250,UPZ2G151MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,770,MP,Normal,14.2
400,180,1.105,18,40,-40,105,0.15,2000,2980,200,UPZ2G181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,880,MP,Normal,17.7
420,22,12.057,10,30.5,-40,105,0.2,2000,470,1000,UPZW6220MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,200,MP,Normal,3.21
420,39,6.801,12.5,30.5,-40,105,0.2,2000,755,600,UPZW6390MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,310,MP,Normal,6.01
420,47,5.644,12.5,35.5,-40,105,0.2,2000,890,500,UPZW6470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,360,MP,Normal,7.06
420,56,4.737,12.5,40,-40,105,0.2,2000,1041,400,UPZW6560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,430,MP,Normal,7.57
420,68,3.901,16,30.5,-40,105,0.2,2000,1242,300,UPZW6680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,510,MP,Normal,9.6
420,82,3.235,16,35.5,-40,105,0.2,2000,1478,300,UPZW6820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,570,MP,Normal,11.8
