Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
6.3,47,5,11,26,733.694,3,ESE476M6R3AC3(1),60,8
6.3,68,5,11,26,507.112,4.3,ESE686M6R3AC3(1),75,8
6.3,100,5,11,26,344.836,6.3,ESE107M6R3AC3(1),100,8
6.3,150,5,11,26,229.891,9.5,ESE157M6R3AC3(1),120,8
6.3,220,5,11,26,156.744,13.9,ESE227M6R3AC3(1),140,8
6.3,220,6.3,11,26,156.744,13.9,ESE227M6R3AE3(1),165,8
6.3,330,6.3,11,26,104.496,20.8,ESE337M6R3AE3(1),160,8
6.3,470,6.3,11,26,73.369,29.6,ESE477M6R3AE3(1),220,8
6.3,680,8,11,26,50.711,42.8,ESE687M6R3AG3(1),255,8
6.3,1000,8,11,26,34.51,63,ESE108M6R3AG3(1),370,8
6.3,1000,10,12.5,26,34.51,63,ESE108M6R3AH9(1),470,8
6.3,1500,10,15,26,23.007,94.5,ESE158M6R3AH2(1),600,8
6.3,2200,10,20,26,15.698,138.6,ESE228M6R3AH4(1),740,8
6.3,3300,13,20,26,10.474,207.9,ESE338M6R3AL3(1),1100,8
6.3,4700,13,25,26,7.36,296.1,ESE478M6R3AL4(1),1100,8
6.3,6800,13,25,26,5.095,428.4,ESE688M6R3AL4(1),1250,8
6.3,10000,16,25,26,3.475,630,ESE109M6R3AM7(1),1560,8
6.3,15000,18,32,26,2.325,945,ESE159M6R3AN1(1),2100,8
10,22,5,11,22,1326.292,3,ESE226M010AC3(1),45,13
10,33,5,11,22,884.195,3.3,ESE336M010AC3(1),60,13
10,47,5,11,22,620.818,4.7,ESE476M010AC3(1),75,13
10,68,5,11,22,429.095,6.8,ESE686M010AC3(1),80,13
10,100,5,11,22,291.784,10,ESE107M010AC3(1),110,13
10,150,5,11,22,194.523,15,ESE157M010AC3(1),110,13
10,220,6.3,11,22,132.629,22,ESE227M010AE3(1),180,13
10,330,6.3,11,22,88.419,33,ESE337M010AE3(1),205,13
10,470,6.3,11,22,62.082,47,ESE477M010AE3(1),245,13
10,470,8,11,22,62.082,47,ESE477M010AG3(1),305,13
10,680,8,11,22,42.909,68,ESE687M010AG3(1),335,13
10,680,10,12.5,22,42.909,68,ESE687M010AH9(1),420,13
10,1000,8,15,22,29.205,100,ESE108M010AG4(1),450,13
10,1000,10,12.5,22,29.205,100,ESE108M010AH9(1),490,13
10,1500,10,20,22,19.47,150,ESE158M010AH4(1),750,13
10,2200,10,20,22,13.287,220,ESE228M010AH4(1),800,13
10,3300,10,25,22,8.866,330,ESE338M010AH5(1),950,13
10,3300,13,20,22,8.866,330,ESE338M010AL3(1),1050,13
10,4700,13,25,22,6.231,470,ESE478M010AL4(1),1190,13
10,6800,16,25,22,4.314,680,ESE688M010AM7(1),1370,13
10,10000,16,36,22,2.944,1000,ESE109M010AM3(1),1760,13
10,15000,18,36,22,1.972,1500,ESE159M010AN2(1),2150,13
16,10,5,11,18,2387.326,3,ESE106M016AC3(1),25,20
16,15,5,11,18,1591.551,3,ESE156M016AC3(1),40,20
16,22,5,11,18,1085.148,3.5,ESE226M016AC3(1),55,20
16,33,5,11,18,723.432,5.3,ESE336M016AC3(1),70,20
16,47,5,11,18,507.942,7.5,ESE476M016AC3(1),85,20
16,68,5,11,18,351.077,10.9,ESE686M016AC3(1),100,20
16,100,5,11,18,238.733,16,ESE107M016AC3(1),110,20
16,150,6.3,11,18,159.155,24,ESE157M016AE3(1),175,20
16,220,6.3,11,18,108.515,35.2,ESE227M016AE3(1),180,20
16,330,8,11,18,72.343,52.8,ESE337M016AG3(1),285,20
16,470,8,11,18,50.794,75.2,ESE477M016AG3(1),310,20
16,680,10,12.5,18,35.108,108.8,ESE687M016AH9(1),455,20
