Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@60Hz,Status,V,VC,Vibration resistant,Weight (g)
250,82,0.15,10,40,-40,105,2.426,2000,920,500,UPZ2E820MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,915,915,610,854,762.5,488,LTB,400 to 450,20500,Normal,5.24
250,120,0.15,10,50,-40,105,1.658,2000,1300,300,UPZ2E121MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1036,1036,740,962,888,592,LTB,200,30000,Normal,6.45
250,120,0.15,10,50,-40,105,1.658,2000,1300,300,UPZ2E121MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1110,1110,740,1036,925,592,LTB,400 to 450,30000,Normal,6.45
250,220,0.15,12.5,50,-40,105,0.904,2000,2300,400,UPZ2E221MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1596,1596,1140,1482,1368,912,LTB,200,55000,Normal,10.4
250,220,0.15,12.5,50,-40,105,0.904,2000,2300,400,UPZ2E221MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1710,1710,1140,1596,1425,912,LTB,400 to 450,55000,Normal,10.4
400,27,0.15,10,30.5,-40,105,7.368,2000,532,1000,UPZ2G270MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,336,336,240,312,288,192,MP,200,10800,Normal,3.21
400,27,0.15,10,30.5,-40,105,7.368,2000,532,1000,UPZ2G270MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,360,360,240,336,300,192,MP,400 to 450,10800,Normal,3.21
400,47,0.15,10,40,-40,105,4.233,2000,852,500,UPZ2G470MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,609,609,435,565.5,522,348,LTB,200,18800,Normal,5.24
400,47,0.15,10,40,-40,105,4.233,2000,852,500,UPZ2G470MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,652.5,652.5,435,609,543.75,348,LTB,400 to 450,18800,Normal,5.24
400,47,0.15,12.5,30.5,-40,105,4.233,2000,852,600,UPZ2G470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,518,518,370,481,444,296,MP,200,18800,Normal,6.01
400,47,0.15,12.5,30.5,-40,105,4.233,2000,852,600,UPZ2G470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,555,555,370,518,462.5,296,MP,400 to 450,18800,Normal,6.01
400,56,0.15,10,50,-40,105,3.553,2000,996,300,UPZ2G560MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,728,728,520,676,624,416,LTB,200,22400,Normal,6.45
400,56,0.15,10,50,-40,105,3.553,2000,996,300,UPZ2G560MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,780,780,520,728,650,416,LTB,400 to 450,22400,Normal,6.45
400,56,0.15,12.5,35.5,-40,105,3.553,2000,996,500,UPZ2G560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,588,588,420,546,504,336,MP,200,22400,Normal,7.06
