Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
25,1300,0.064,0.059,0.068,12.5,20,0.14,0.71,0.163,1510,1446.71,904.19,1202.57,32500
25,1600,0.052,0.048,0.072,12.5,20,0.14,0.77,0.133,1470,1408.38,880.24,1170.72,40000
25,1800,0.046,0.042,0.05,12.5,25,0.14,0.52,0.118,1900,1820.36,1137.72,1513.17,45000
25,2000,0.061,0.058,0.049,16,20,0.14,0.43,0.119,1820,1781.82,1272.73,1565.45,50000
25,2200,0.055,0.053,0.053,12.5,25,0.14,0.57,0.109,1850,1811.19,1293.71,1591.26,55000
25,2200,0.055,0.053,0.043,12.5,30,0.14,0.45,0.109,2190,2144.06,1531.47,1883.71,55000
25,2700,0.045,0.043,0.046,12.5,30,0.14,0.49,0.088,2130,2085.31,1489.51,1832.1,67500
25,2700,0.045,0.043,0.051,16,20,0.14,0.46,0.088,1800,1762.24,1258.74,1548.25,67500
25,2700,0.045,0.043,0.038,16,25,0.14,0.33,0.088,2250,2202.8,1573.43,1935.31,67500
25,2700,0.045,0.043,0.046,18,20,0.14,0.34,0.088,1990,1948.25,1391.61,1711.68,67500
25,3300,0.041,0.039,0.047,18,20,0.14,0.37,0.08,1970,1928.67,1377.62,1694.48,82500
25,3600,0.038,0.036,0.039,16,25,0.14,0.35,0.074,2220,2173.43,1552.45,1909.51,90000
25,3600,0.038,0.036,0.029,16,31.5,0.14,0.25,0.074,2720,2662.94,1902.1,2339.58,90000
25,3900,0.035,0.033,0.033,18,25,0.14,0.25,0.068,2510,2457.34,1755.24,2158.95,97500
25,4700,0.032,0.03,0.03,16,31.5,0.14,0.27,0.062,2670,2613.99,1867.13,2296.57,117500
