Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,VC
16,10000,0.066,0.066,18,35.5,0.38,0.077,EKMG160E□□103MMP1S,2224.8,2224.8,2060,2163,2121.8,1751,160000
25,47,1.474,1.394,5,11,0.16,4.515,EKMG250E□□470ME11D,144,140,80,120,100,60,1175
25,100,1.083,0.943,6.3,11,0.16,2.122,EKMG250E□□101MF11D,195,182,130,169,149.5,104,2500
25,220,0.492,0.429,8,11.5,0.16,0.965,EKMG250E□□221MHB5D,345,322,230,299,264.5,184,5500
25,330,0.328,0.286,8,11.5,0.16,0.643,EKMG250E□□331MHB5D,465,434,310,403,356.5,248,8250
25,470,0.23,0.201,10,12.5,0.16,0.452,EKMG250E□□471MJC5S,570,532,380,494,437,304,11750
25,1000,0.122,0.106,10,20,0.16,0.239,EKMG250E□□102MJ20S,1020,952,680,884,782,544,25000
25,2200,0.114,0.114,12.5,25,0.18,0.133,EKMG250E□□222MK25S,1177.2,1177.2,1090,1144.5,1122.7,926.5,55000
25,3300,0.09,0.09,16,25,0.2,0.104,EKMG250E□□332ML25S,1512,1512,1400,1470,1442,1190,82500
25,4700,0.073,0.073,16,31.5,0.22,0.085,EKMG250E□□472MLN3S,1846.8,1846.8,1710,1795.5,1761.3,1453.5,117500
25,6800,0.064,0.064,18,35.5,0.26,0.074,EKMG250E□□682MMP1S,2203.2,2203.2,2040,2142,2101.2,1734,170000
35,47,1.29,1.219,5,11,0.14,3.951,EKMG350E□□470ME11D,162,157.5,90,135,112.5,67.5,1645
35,100,0.947,0.825,6.3,11,0.14,1.857,EKMG350E□□101MF11D,225,210,150,195,172.5,120,3500
35,220,0.431,0.375,8,11.5,0.14,0.844,EKMG350E□□221MHB5D,405,378,270,351,310.5,216,7700
35,330,0.287,0.25,10,12.5,0.14,0.563,EKMG350E□□331MJC5S,525,490,350,455,402.5,280,11550
35,470,0.202,0.176,10,16,0.14,0.395,EKMG350E□□471MJ16S,690,644,460,598,529,368,16450
35,1000,0.108,0.094,12.5,20,0.14,0.212,EKMG350E□□102MK20S,1215,1134,810,1053,931.5,648,35000
35,2200,0.103,0.103,16,25,0.16,0.121,EKMG350E□□222ML25S,1360.8,1360.8,1260,1323,1297.8,1071,77000
35,3300,0.083,0.083,16,35.5,0.18,0.096,EKMG350E□□332MLP1S,1738.8,1738.8,1610,1690.5,1658.3,1368.5,115500
35,4700,0.068,0.068,18,35.5,0.2,0.079,EKMG350E□□472MMP1S,2062.8,2062.8,1910,2005.5,1967.3,1623.5,164500
50,1,30.086,25.465,5,11,0.12,159.155,EKMG500E□□1R0ME11D,32.5,29.9,13,22.75,17.55,8.45,50
50,2.2,13.675,11.575,5,11,0.12,72.343,EKMG500E□□2R2ME11D,50,46,20,35,27,13,110.00000000000001
50,3.3,9.117,7.717,5,11,0.12,48.229,EKMG500E□□3R3ME11D,62.5,57.5,25,43.75,33.75,16.25,165
50,4.7,6.401,5.418,5,11,0.12,33.863,EKMG500E□□4R7ME11D,75,69,30,52.5,40.5,19.5,235
50,10,5.197,4.912,5,11,0.12,15.916,EKMG500E□□100ME11D,72,70,40,60,50,30,500
50,22,2.362,2.233,5,11,0.12,7.234,EKMG500E□□220ME11D,117,113.75,65,97.5,81.25,48.75,1100
50,33,1.575,1.489,5,11,0.12,4.823,EKMG500E□□330ME11D,162,157.5,90,135,112.5,67.5,1650
50,47,1.106,1.045,6.3,11,0.12,3.386,EKMG500E□□470MF11D,198,192.5,110,165,137.5,82.5,2350
50,100,0.812,0.707,8,11.5,0.12,1.592,EKMG500E□□101MHB5D,270,252,180,234,207,144,5000
50,220,0.369,0.322,10,12.5,0.12,0.723,EKMG500E□□221MJC5S,450,420,300,390,345,240,11000
50,330,0.246,0.214,10,16,0.12,0.482,EKMG500E□□331MJ16S,615,574,410,533,471.5,328,16500
50,470,0.173,0.151,10,20,0.12,0.339,EKMG500E□□471MJ20S,795,742,530,689,609.5,424,23500
50,1000,0.095,0.083,12.5,25,0.12,0.186,EKMG500E□□102MK25S,1425,1330,950,1235,1092.5,760,50000
50,2200,0.093,0.093,16,35.5,0.14,0.109,EKMG500E□□222MLP1S,1587.6,1587.6,1470,1543.5,1514.1,1249.5,110000
