Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 130°C@100kHz
10,330,0.804,0.22,8,11.5,0.2,360
10,470,0.564,0.15,10,12.5,0.2,620
10,1000,0.265,0.073,10,20,0.2,960
10,2200,0.121,0.04,12.5,25,0.2,1430
10,3300,0.08,0.038,16,25,0.2,1900
10,4700,0.056,0.034,16,31.5,0.2,2300
16,330,0.643,0.22,8,11.5,0.16,360
16,470,0.452,0.15,10,12.5,0.16,620
16,1000,0.212,0.073,10,20,0.16,960
16,2200,0.096,0.04,12.5,25,0.16,1430
16,3300,0.064,0.034,16,31.5,0.16,2300
16,4700,0.045,0.031,16,35.5,0.16,2550
25,220,0.844,0.22,8,11.5,0.14,360
25,330,0.563,0.15,10,12.5,0.14,620
25,470,0.395,0.1,10,16,0.14,800
25,1000,0.186,0.055,12.5,20,0.14,1100
25,2200,0.084,0.034,16,31.5,0.14,2300
25,3300,0.056,0.031,16,35.5,0.14,2550
35,100,1.592,0.22,8,11.5,0.12,360
35,220,0.723,0.15,10,12.5,0.12,620
35,330,0.482,0.1,10,16,0.12,800
35,470,0.339,0.073,10,20,0.12,960
35,1000,0.159,0.04,12.5,25,0.12,1430
35,2200,0.072,0.031,16,35.5,0.12,2550
35,3300,0.048,0.028,18,35.5,0.12,2800
50,4.7,28.219,0.85,8,11.5,0.1,100
50,10,13.263,0.6,8,11.5,0.1,200
50,22,6.029,0.35,8,11.5,0.1,260
50,33,4.019,0.28,8,11.5,0.1,300
50,47,2.822,0.28,8,11.5,0.1,300
50,100,1.326,0.18,10,12.5,0.1,520
50,220,0.603,0.082,10,20,0.1,890
50,330,0.402,0.065,12.5,20,0.1,1000
50,470,0.282,0.051,12.5,25,0.1,1200
50,1000,0.133,0.037,16,31.5,0.1,2180
50,2200,0.06,0.029,18,40,0.1,2800
63,33,3.617,0.4,8,11.5,0.09,250
63,47,2.54,0.27,10,12.5,0.09,400
63,100,1.194,0.2,10,16,0.09,450
63,220,0.543,0.1,12.5,20,0.09,820
63,330,0.362,0.072,12.5,25,0.09,1000
63,470,0.254,0.069,16,25,0.09,1500
63,1000,0.119,0.056,16,31.5,0.09,1850
63,1500,0.08,0.043,18,40,0.09,2350
100,4.7,22.575,1.3,8,11.5,0.08,100
100,10,10.61,1,8,11.5,0.08,200
100,22,4.823,0.67,8,11.5,0.08,220
100,33,3.215,0.45,10,12.5,0.08,260
100,47,2.258,0.33,10,16,0.08,330
100,100,1.061,0.17,12.5,20,0.08,670
100,220,0.482,0.13,16,25,0.08,1100
100,330,0.322,0.1,16,31.5,0.08,1300
100,470,0.226,0.092,18,31.5,0.08,1600
200,4.7,42.328,,6.3,11,0.15,100
200,4.7,42.328,,8,11.5,0.15,120
200,5.6,35.526,,8,11.5,0.15,130
200,5.6,35.526,,8,16,0.15,180
200,6.8,29.256,,8,11.5,0.15,130
200,6.8,29.256,,8,16,0.15,180
200,10,19.894,,8,16,0.15,200
200,10,19.894,,8,20,0.15,240
200,15,13.263,,8,16,0.15,200
200,15,13.263,,8,20,0.15,240
200,22,9.043,,8,20,0.15,300
200,22,9.043,,10,16,0.15,240
200,33,6.029,,10,20,0.15,320
400,1,265.258,,6.3,11,0.2,60
400,1,265.258,,8,11.5,0.2,65
400,1.5,176.839,,8,11.5,0.2,75
400,1.5,176.839,,8,16,0.2,80
400,1.8,147.366,,8,11.5,0.2,75
400,1.8,147.366,,8,16,0.2,85
400,2.2,120.572,,8,11.5,0.2,75
400,2.2,120.572,,8,16,0.2,90
400,2.2,120.572,,8,20,0.2,110
400,2.7,98.244,,8,16,0.2,95
400,2.7,98.244,,8,20,0.2,115
400,3.3,80.381,,8,16,0.2,100
400,3.3,80.381,,8,20,0.2,120
400,4.7,56.438,,8,20,0.2,120
400,4.7,56.438,,10,16,0.2,125
400,5.6,47.368,,10,16,0.2,130
400,5.6,47.368,,10,20,0.2,145
400,6.8,39.009,,10,20,0.2,150
