Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
63,330,0.09,0.12,12.5,20,-55,105,0.362,3000,624,1000,UPS1J331MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,980,980,695.04,882.7,799.29,556.03,MP,20790,Normal,3.43
63,470,0.09,0.081,12.5,25,-55,105,0.254,3000,888,800,UPS1J471MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1200,1200,851.06,1080.85,978.72,680.85,MP,29610,Normal,4.56
63,680,0.09,0.058,16,25,-55,105,0.176,3000,1285,400,UPS1J681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1300,1300,921.99,1170.92,1060.28,737.59,MP,42840,Normal,8.2
63,1000,0.09,0.049,16,30.5,-55,105,0.146,3000,1890,300,UPS1J102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1380,1380,1200,1356,1320,1032,MP,63000,Normal,9.6
63,1500,0.09,0.038,18,35.5,-55,105,0.097,3000,2835,250,UPS1J152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1750,1750,1521.74,1719.57,1673.91,1308.7,MP,94500,Normal,14.2
63,2200,0.11,0.032,18,40,-55,105,0.09,3000,4158,200,UPS1J222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2120,2120,1843.48,2083.13,2027.83,1585.39,MP,138600,Normal,17.7
100,2.2,0.08,9.8,5,11,-55,105,48.229,2000,7,6000,UPS2A2R2MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,44,,,,,,EOL,220.00000000000003,Normal,0.44
100,3.3,0.08,6.6,5,11,-55,105,32.153,2000,10,6000,UPS2A3R3MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,58,,,,,,EOL,330,Normal,0.44
100,4.7,0.08,4.6,5,11,-55,105,22.575,2000,14,6000,UPS2A4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,74,,,,,,EOL,470,Normal,0.44
100,10,0.08,1.8,6.3,11,-55,105,10.61,2000,30,4000,UPS2A100MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,130,,,,,,EOL,1000,Normal,0.59
100,22,0.08,0.68,8,11.5,-55,105,4.823,2000,66,3000,UPS2A220MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,230,230,39.12,149.42,91.92,,MP,2200,Normal,1.19
100,33,0.08,0.46,10,12.5,-55,105,3.215,2000,99,2000,UPS2A330MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,320,320,54.42,207.89,127.89,,MP,3300,Normal,1.49
100,47,0.08,0.37,10,16,-55,105,2.258,2000,141,1800,UPS2A470MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,420,420,71.43,272.86,167.86,,MP,4700,Normal,1.77
100,100,0.08,0.18,12.5,20,-55,105,1.061,3000,300,1000,UPS2A101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,580,580,290,464,377,174,MP,10000,Normal,3.43
100,150,0.08,0.13,12.5,25,-55,105,0.707,3000,450,800,UPS2A151MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,710,710,355,568,461.5,213,MP,15000,Normal,4.56
100,220,0.08,0.1,16,25,-55,105,0.482,3000,660,400,UPS2A221MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,890,890,445,712,578.5,267,MP,22000,Normal,8.2
100,330,0.08,0.09,16,25,-55,105,0.322,3000,990,400,UPS2A331MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1080,1080,765.96,972.77,880.85,612.77,MP,33000,Normal,8.2
100,470,0.08,0.076,16,30.5,-55,105,0.226,3000,1410,300,UPS2A471MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1310,1310,929.08,1179.93,1068.44,743.26,MP,47000,Normal,9.6
100,680,0.08,0.064,16,35.5,-55,105,0.156,3000,2040,300,UPS2A681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1410,1410,1000,1270,1150,800,MP,68000,Normal,11.8
100,1000,0.08,0.047,18,40,-40,105,0.133,3000,3000,200,UPS2A102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1520,1520,1321.74,1493.57,1453.91,1136.7,MP,100000,Normal,17.7
160,0.47,0.15,,6.3,11,-40,105,423.285,2000,48,4000,UPS2CR47MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,12,,,,,,EOL,75.19999999999999,Normal,0.59
160,1,0.15,,6.3,11,-40,105,198.944,2000,56,4000,UPS2C010MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,17,,,,,,EOL,160,Normal,0.59
160,2.2,0.15,,6.3,11,-40,105,90.429,2000,75,4000,UPS2C2R2MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,25,,,,,,EOL,352,Normal,0.59
160,3.3,0.15,,8,11.5,-40,105,60.286,2000,93,3000,UPS2C3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,36,,,,,,EOL,528,Normal,1.19
160,4.7,0.15,,8,11.5,-40,105,42.328,2000,115,3000,UPS2C4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,43,,,,,,EOL,752,Normal,1.19
160,10,0.15,,10,12.5,-40,105,19.894,2000,164,2000,UPS2C100MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,70,,,,,,EOL,1600,Normal,1.49
160,22,0.15,,10,20,-40,105,9.043,2000,241,1400,UPS2C220MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,130,130,22.11,84.46,51.96,,EOL,3520,Normal,2.34
160,33,0.15,,12.5,20,-40,105,6.029,3000,311,1000,UPS2C330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,30.61,116.94,71.94,,EOL,5280,Normal,3.43
160,47,0.15,,12.5,25,-40,105,4.233,3000,401,800,UPS2C470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,220,220,37.41,142.93,87.93,,EOL,7520,Normal,4.56
160,100,0.15,,16,25,-40,105,1.989,3000,740,400,UPS2C101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,330,330,165,264,214.5,99,EOL,16000,Normal,8.2
160,220,0.15,,18,35.5,-40,105,0.904,3000,1508,250,UPS2C221MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,500,500,250,400,325,150,EOL,35200,Normal,14.2
160,220,0.15,,20,31,-40,105,0.904,3000,1508,200,UPS2C221MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,500,500,250,400,325,150,EOL,35200,Normal,13.7
160,330,0.15,,20,40,-40,105,0.603,3000,2212,150,UPS2C331MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,638.3,810.64,734.04,510.64,EOL,52800,Normal,19.6
160,470,0.15,,22,50,-40,105,0.423,3000,3108,250,UPS2C471MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1200,1200,851.06,1080.85,978.72,680.85,EOL,75200,Normal,27.4
200,0.47,0.15,,6.3,11,-40,105,423.285,2000,49,4000,UPS2DR47MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,12,,,,,,EOL,94,Normal,0.59
200,1,0.15,,6.3,11,-40,105,198.944,2000,60,4000,UPS2D010MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,17,,,,,,EOL,200,Normal,0.59
200,2.2,0.15,,6.3,11,-40,105,90.429,2000,84,4000,UPS2D2R2MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,25,,,,,,EOL,440.00000000000006,Normal,0.59
200,3.3,0.15,,8,11.5,-40,105,60.286,2000,106,3000,UPS2D3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,36,,,,,,EOL,660,Normal,1.19
200,4.7,0.15,,10,12.5,-40,105,42.328,2000,134,2000,UPS2D4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,50,,,,,,EOL,940,Normal,1.49
200,10,0.15,,10,16,-40,105,19.894,2000,180,1800,UPS2D100MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,80,,,,,,EOL,2000,Normal,1.77
200,22,0.15,,10,20,-40,105,9.043,2000,276,1400,UPS2D220MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,140,140,23.81,90.95,55.95,,EOL,4400,Normal,2.34
200,33,0.15,,12.5,25,-40,105,6.029,3000,364,800,UPS2D330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,190,190,32.31,123.44,75.94,,EOL,6600,Normal,4.56
200,47,0.15,,12.5,25,-40,105,4.233,3000,476,800,UPS2D470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,220,220,37.41,142.93,87.93,,EOL,9400,Normal,4.56
200,100,0.15,,16,30.5,-40,105,1.989,3000,900,300,UPS2D101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,335,335,167.5,268,217.75,100.5,EOL,20000,Normal,9.6
200,220,0.15,,18,40,-40,105,0.904,3000,1860,200,UPS2D221MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,515,515,257.5,412,334.75,154.5,EOL,44000,Normal,17.7
200,220,0.15,,20,35,-40,105,0.904,3000,1860,200,UPS2D221MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,515,515,257.5,412,334.75,154.5,EOL,44000,Normal,16.7
200,330,0.15,,22,40,-40,105,0.603,3000,2740,250,UPS2D331MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1100,1100,780.14,990.78,897.16,624.11,EOL,66000,Normal,23.8
200,470,0.15,,22,50,-40,105,0.423,3000,3860,250,UPS2D471MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1310,1310,929.08,1179.93,1068.44,743.26,EOL,94000,Normal,27.4
250,0.47,0.15,,6.3,11,-40,105,423.285,2000,52,4000,UPS2ER47MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,12,,,,,,EOL,117.5,Normal,0.59
250,1,0.15,,6.3,11,-40,105,198.944,2000,65,4000,UPS2E010MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,17,,,,,,EOL,250,Normal,0.59
250,2.2,0.15,,8,11.5,-40,105,90.429,2000,95,3000,UPS2E2R2MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,29,,,,,,EOL,550,Normal,1.19
250,3.3,0.15,,10,12.5,-40,105,60.286,2000,123,2000,UPS2E3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,42,,,,,,EOL,825,Normal,1.49
250,4.7,0.15,,10,12.5,-40,105,42.328,2000,147,2000,UPS2E4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,50,,,,,,EOL,1175,Normal,1.49
250,10,0.15,,10,20,-40,105,19.894,2000,200,1400,UPS2E100MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,88,,,,,,EOL,2500,Normal,2.34
250,22,0.15,,12.5,25,-40,105,9.043,3000,320,800,UPS2E220MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,155,155,26.36,100.7,61.95,,EOL,5500,Normal,4.56
250,33,0.15,,12.5,25,-40,105,6.029,3000,430,800,UPS2E330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,190,190,32.31,123.44,75.94,,EOL,8250,Normal,4.56
250,47,0.15,,16,25,-40,105,4.233,3000,570,400,UPS2E470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,230,230,39.12,149.42,91.92,,EOL,11750,Normal,8.2
250,100,0.15,,18,35.5,-40,105,1.989,3000,1100,250,UPS2E101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,340,340,170,272,221,102,EOL,25000,Normal,14.2
250,100,0.15,,20,31,-40,105,1.989,3000,1100,200,UPS2E101MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,340,340,170,272,221,102,EOL,25000,Normal,13.7
250,220,0.15,,20,40,-40,105,0.904,3000,2300,150,UPS2E221MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,525,525,262.5,420,341.25,157.5,EOL,55000,Normal,19.6
250,330,0.15,,22,50,-40,105,0.603,3000,3400,250,UPS2E331MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1150,1150,815.6,1035.82,937.94,652.48,EOL,82500,Normal,27.4
250,470,0.15,,25,50,-40,105,0.423,3000,4800,140,UPS2E471MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1350,1350,957.45,1215.96,1101.06,765.96,EOL,117500,Normal,38.8
315,0.47,0.2,,8,11.5,-40,105,564.38,2000,55,3000,UPS2FR47MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,11,,,,,,EOL,148.04999999999998,Normal,1.19
315,1,0.2,,8,11.5,-40,105,265.258,2000,72,3000,UPS2F010MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,16,,,,,,EOL,315,Normal,1.19
315,2.2,0.2,,10,12.5,-40,105,120.572,2000,109,2000,UPS2F2R2MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,28,,,,,,EOL,693,Normal,1.49
315,3.3,0.2,,10,12.5,-40,105,80.381,2000,142,2000,UPS2F3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,34,,,,,,EOL,1039.5,Normal,1.49
315,4.7,0.2,,10,16,-40,105,56.438,2000,159,1800,UPS2F4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,45,,,,,,EOL,1480.5,Normal,1.77
315,10,0.2,,10,20,-40,105,26.526,2000,226,1400,UPS2F100MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,72,,,,,,EOL,3150,Normal,2.34
315,22,0.2,,12.5,25,-40,105,12.057,3000,377,800,UPS2F220MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,120,120,20.41,77.96,47.96,,EOL,6930,Normal,4.56
315,33,0.2,,16,25,-40,105,8.038,3000,516,400,UPS2F330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,155,155,26.36,100.7,61.95,,EOL,10395,Normal,8.2
315,47,0.2,,16,35.5,-40,105,5.644,3000,692,300,UPS2F470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,190,190,32.31,123.44,75.94,,EOL,14805,Normal,11.8
315,100,0.2,,18,40,-40,105,2.653,3000,1360,200,UPS2F101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,285,285,142.5,228,185.25,85.5,EOL,31500,Normal,17.7
315,100,0.2,,20,35,-40,105,2.653,3000,1360,200,UPS2F101MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,285,285,142.5,228,185.25,85.5,EOL,31500,Normal,16.7
315,220,0.2,,22,50,-40,105,1.206,3000,2872,250,UPS2F221MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,540,540,270,432,351,162,EOL,69300,Normal,27.4
350,0.47,0.2,,8,11.5,-40,105,564.38,2000,56,3000,UPS2VR47MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,11,,,,,,EOL,164.5,Normal,1.19
350,1,0.2,,10,12.5,-40,105,265.258,2000,75,2000,UPS2V010MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,17,,,,,,EOL,350,Normal,1.49
350,2.2,0.2,,10,16,-40,105,120.572,2000,117,1800,UPS2V2R2MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,31,,,,,,EOL,770.0000000000001,Normal,1.77
350,3.3,0.2,,10,16,-40,105,80.381,2000,146,1800,UPS2V3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,38,,,,,,EOL,1155,Normal,1.77
350,4.7,0.2,,10,20,-40,105,56.438,2000,166,1400,UPS2V4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,49,,,,,,EOL,1645,Normal,2.34
350,10,0.2,,12.5,20,-40,105,26.526,3000,240,1000,UPS2V100MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,82,,,,,,EOL,3500,Normal,3.43
350,22,0.2,,16,25,-40,105,12.057,3000,408,400,UPS2V220MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,130,130,22.11,84.46,51.96,,EOL,7700,Normal,8.2
350,33,0.2,,16,30.5,-40,105,8.038,3000,562,300,UPS2V330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,11550,Normal,9.6
350,47,0.2,,18,35.5,-40,105,5.644,3000,758,250,UPS2V470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,200,200,34.01,129.93,79.93,,EOL,16450,Normal,14.2
350,47,0.2,,20,31,-40,105,5.644,3000,758,200,UPS2V470MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,200,200,34.01,129.93,79.93,,EOL,16450,Normal,13.7
350,100,0.2,,20,40,-40,105,2.653,3000,1500,150,UPS2V101MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,145,232,188.5,87,EOL,35000,Normal,19.6
350,220,0.2,,25,50,-40,105,1.206,3000,3180,140,UPS2V221MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,550,550,275,440,357.5,165,EOL,77000,Normal,38.8
400,1,0.25,,10,12.5,-40,105,331.573,2000,80,2000,UPS2G010MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,16,,,,,,EOL,400,Normal,1.49
400,2.2,0.25,,10,16,-40,105,150.715,2000,128,1800,UPS2G2R2MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,27,,,,,,EOL,880.0000000000001,Normal,1.77
400,3.3,0.25,,10,20,-40,105,100.477,2000,153,1400,UPS2G3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,36,,,,,,EOL,1320,Normal,2.34
400,4.7,0.25,,10,20,-40,105,70.547,2000,175,1400,UPS2G4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,43,,,,,,EOL,1880,Normal,2.34
400,10,0.25,,12.5,25,-40,105,33.157,3000,260,800,UPS2G100MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,72,,,,,,EOL,4000,Normal,4.56
400,22,0.25,,16,25,-40,105,15.072,3000,452,400,UPS2G220MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,110,110,18.71,71.46,43.96,,EOL,8800,Normal,8.2
400,33,0.25,,16,30.5,-40,105,10.048,3000,628,300,UPS2G330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,140,140,23.81,90.95,55.95,,EOL,13200,Normal,9.6
400,47,0.25,,18,35.5,-40,105,7.055,3000,852,250,UPS2G470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,170,170,28.91,110.44,67.94,,EOL,18800,Normal,14.2
400,47,0.25,,20,31,-40,105,7.055,3000,852,200,UPS2G470MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,170,170,28.91,110.44,67.94,,EOL,18800,Normal,13.7
400,100,0.25,,22,50,-40,105,3.316,3000,1700,250,UPS2G101MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,350,350,175,280,227.5,105,EOL,40000,Normal,27.4
450,1,0.25,,10,12.5,-25,105,331.573,2000,85,2000,UPS2W010MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,18,,,,,,EOL,450,Normal,1.49
450,2.2,0.25,,10,20,-25,105,150.715,2000,139,1400,UPS2W2R2MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,29,,,,,,EOL,990.0000000000001,Normal,2.34
450,3.3,0.25,,12.5,20,-25,105,100.477,3000,159,1000,UPS2W3R3MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,41,,,,,,EOL,1485,Normal,3.43
450,4.7,0.25,,12.5,20,-25,105,70.547,3000,185,1000,UPS2W4R7MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,49,,,,,,EOL,2115,Normal,3.43
450,10,0.25,,16,25,-25,105,33.157,3000,280,400,UPS2W100MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,75,,,,,,EOL,4500,Normal,8.2
450,22,0.25,,16,30.5,-25,105,15.072,3000,496,300,UPS2W220MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,115,115,19.56,74.71,45.96,,EOL,9900,Normal,9.6
450,33,0.25,,18,35.5,-25,105,10.048,3000,694,250,UPS2W330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,145,145,24.66,94.2,57.95,,EOL,14850,Normal,14.2
450,33,0.25,,20,31,-25,105,10.048,3000,694,200,UPS2W330MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,145,145,24.66,94.2,57.95,,EOL,14850,Normal,13.7
450,47,0.25,,20,40,-25,105,7.055,3000,946,150,UPS2W470MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,175,175,29.76,113.69,69.94,,EOL,21150,Normal,19.6
450,100,0.25,,25,50,-25,105,3.316,3000,1900,140,UPS2W101MRD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,350,350,175,280,227.5,105,EOL,45000,Normal,38.8
