Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,1500,0.24,0.11,10,20,-55,105,0.23,2000,284,1400,UPS0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,1000,869.57,982.61,956.52,747.83,MP,9450,Normal,2.34
6.3,2200,0.26,0.075,12.5,20,-55,105,0.181,3000,416,1000,UPS0J222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,1250,1086.96,1228.26,1195.65,934.78,MP,13860,Normal,3.43
6.3,3300,0.28,0.075,12.5,20,-55,105,0.137,3000,624,1000,UPS0J332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,1250,1086.96,1228.26,1195.65,934.78,MP,20790,Normal,3.43
6.3,4700,0.3,0.038,16,25,-55,105,0.107,3000,888,400,UPS0J472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,29610,Normal,8.2
6.3,6800,0.34,0.038,16,25,-55,105,0.09,3000,1285,400,UPS0J682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,42840,Normal,8.2
6.3,10000,0.42,0.033,16,30.5,-55,105,0.082,3000,1890,300,UPS0J103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,2350,2043.48,2309.13,2247.83,1757.39,MP,63000,Normal,9.6
6.3,15000,0.52,0.03,18,35.5,-55,105,0.073,3000,2835,250,UPS0J153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,2700,2347.83,2653.04,2582.61,2019.13,MP,94500,Normal,14.2
10,22,0.2,1.5,5,11,-55,105,12.057,2000,7,6000,UPS1A220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,220,Normal,0.44
10,33,0.2,1.5,5,11,-55,105,8.038,2000,10,6000,UPS1A330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,330,Normal,0.44
10,47,0.2,1.5,5,11,-55,105,5.644,2000,14,6000,UPS1A470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,470,Normal,0.44
10,100,0.2,1.5,5,11,-55,105,2.653,2000,30,6000,UPS1A101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,80,128,104,48,EOL,1000,Normal,0.44
10,150,0.2,0.5,6.3,11,-55,105,1.768,2000,45,4000,UPS1A151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,125,200,162.5,75,EOL,1500,Normal,0.59
10,220,0.2,0.5,6.3,11,-55,105,1.206,2000,66,4000,UPS1A221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,125,200,162.5,75,EOL,2200,Normal,0.59
10,330,0.2,0.28,8,11.5,-55,105,0.804,2000,99,3000,UPS1A331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,290.78,369.29,334.4,232.62,MP,3300,Normal,1.19
10,470,0.2,0.28,8,11.5,-55,105,0.564,2000,141,3000,UPS1A471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,290.78,369.29,334.4,232.62,MP,4700,Normal,1.19
10,680,0.2,0.19,10,12.5,-55,105,0.39,2000,204,2000,UPS1A681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,600,425.53,540.43,489.36,340.43,MP,6800,Normal,1.49
10,1000,0.2,0.14,10,16,-55,105,0.292,2000,300,1800,UPS1A102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,800,695.65,786.09,765.22,598.26,MP,10000,Normal,1.77
