Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300kHz,Status,VC,Vibration resistant,Weight (g)
2.5,680,0.1,0.008,8,6,-55,105,0.195,2000,500,3200,RNE0E681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4900,2450,490,2205,4900,MP,1700,Normal,0.53
2.5,820,0.1,0.008,8,6,-55,105,0.162,5000,500,3200,RNE0E821MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4900,2450,490,2205,4900,MP,2050,Normal,0.53
2.5,820,0.1,0.008,8,6,-55,105,0.162,5000,500,3200,RNE0E821MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4900,2450,490,2205,4900,MP,2050,Normal,0.53
6.3,270,0.1,0.012,5,8,-55,105,0.491,2000,500,3200,RNE0J271MDS1,Uni-Polar,Radial Lead,Hi-Cap.,3600,1800,360,1620,3600,MP,1701,Normal,0.4
6.3,330,0.1,0.01,5,8,-55,105,0.402,2000,500,3200,RNE0J331MCS1,Uni-Polar,Radial Lead,Hi-Cap.,3700,1850,370,1665,3700,MP,2079,Normal,0.4
6.3,330,0.1,0.01,5,8,-55,105,0.402,2000,500,3200,RNE0J331MDS1,Uni-Polar,Radial Lead,Hi-Cap.,3700,1850,370,1665,3700,MP,2079,Normal,0.4
6.3,1200,0.08,0.01,8,9,-55,105,0.111,2000,1512,3200,RNE0J122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,2850,570,2565,5700,MP,7560,Normal,0.88
6.3,1500,0.12,0.01,8,11.5,-55,105,0.124,2000,1890,2000,RNE0J152MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,2700,540,2430,5400,MP,9450,Normal,0.93
6.3,1500,0.12,0.01,8,11.5,-55,105,0.124,2000,1890,2000,RNE0J152MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,2700,540,2430,5400,MP,9450,Normal,0.93
10,220,0.08,0.03,6.3,10,-55,105,0.482,2000,440,3200,RNE1A221MDS1,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,2200,Normal,0.54
16,100,0.08,0.035,5,10,-55,105,1.061,2000,320,3200,RNE1C101MDS1,Uni-Polar,Radial Lead,Hi-Cap.,2300,1150,230,1035,2300,MP,1600,Normal,0.38
16,220,0.1,0.013,8,6,-55,105,0.603,2000,500,3200,RNE1C221MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4150,2075,415,1867.5,4150,MP,3520,Normal,0.53
16,270,0.08,0.015,6.3,10,-55,105,0.393,2000,864,3200,RNE1C271MCS1,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,4320,Normal,0.54
16,270,0.08,0.015,6.3,10,-55,105,0.393,5000,864,3200,RNE1C271MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,4320,Normal,0.54
16,330,0.08,0.015,6.3,10,-55,105,0.322,2000,1056,3200,RNE1C331MCS1,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,5280,Normal,0.54
16,330,0.08,0.015,6.3,10,-55,105,0.322,5000,1056,3200,RNE1C331MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,5280,Normal,0.54
16,390,0.08,0.015,6.3,10,-55,105,0.272,2000,1248,3200,RNE1C391MCS1,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,6240,Normal,0.54
16,390,0.08,0.015,6.3,10,-55,105,0.272,5000,1248,3200,RNE1C391MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,6240,Normal,0.54
16,470,0.08,0.015,6.3,10,-55,105,0.226,2000,1504,3200,RNE1C471MCS1,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,7520,Normal,0.54
16,470,0.08,0.015,6.3,10,-55,105,0.226,5000,1504,3200,RNE1C471MCSBSQ,Uni-Polar,Radial Lead,Hi-Cap.,2500,1250,250,1125,2500,MP,7520,Normal,0.54
16,470,0.08,0.01,8,11.5,-55,105,0.226,2000,1504,2000,RNE1C471MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,2700,540,2430,5400,MP,7520,Normal,0.93
16,470,0.08,0.01,8,11.5,-55,105,0.226,5000,1504,2000,RNE1C471MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5400,2700,540,2430,5400,MP,7520,Normal,0.93
16,470,0.08,0.01,8,11.5,-55,105,0.226,2000,1504,2000,RNE1C471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,2700,540,2430,5400,MP,7520,Normal,0.93
16,470,0.08,0.01,8,11.5,-55,105,0.226,5000,1504,2000,RNE1C471MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5400,2700,540,2430,5400,MP,7520,Normal,0.93
16,560,0.08,0.014,8,11.5,-55,105,0.189,2000,1792,2000,RNE1C561MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,2500,500,2250,5000,MP,8960,Normal,0.93
16,560,0.08,0.014,8,11.5,-55,105,0.189,5000,1792,2000,RNE1C561MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,2500,500,2250,5000,MP,8960,Normal,0.93
16,560,0.08,0.014,8,11.5,-55,105,0.189,2000,1792,2000,RNE1C561MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,2500,500,2250,5000,MP,8960,Normal,0.93
16,560,0.08,0.014,8,11.5,-55,105,0.189,5000,1792,2000,RNE1C561MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,2500,500,2250,5000,MP,8960,Normal,0.93
16,680,0.08,0.01,8,11.5,-55,105,0.156,2000,2176,2000,RNE1C681MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5230,2615,523,2353.5,5230,MP,10880,Normal,0.93
16,680,0.08,0.01,8,11.5,-55,105,0.156,5000,2176,2000,RNE1C681MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5230,2615,523,2353.5,5230,MP,10880,Normal,0.93
