Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,150,1.945,5,11,0.22,5000,0.3,0.5,2.0,5.0,2.5,EEUFR0J151( ),280,200,2000
6.3,220,1.326,6.3,11.2,0.22,5000,0.13,0.5,2.5,5.0,2.5,EEUFR0J221( ),455,200,2000
6.3,330,0.884,6.3,11.2,0.22,5000,0.13,0.5,2.5,5.0,2.5,EEUFR0J331( ),455,200,2000
6.3,470,0.621,6.3,11.2,0.22,5000,0.13,0.5,2.5,5.0,2.5,EEUFR0J471( ),455,200,2000
6.3,820,0.356,8,11.5,0.22,6000,0.056,0.6,3.5,5.0,,EEUFR0J821( ),950,200,1000
6.3,1000,0.292,8,11.5,0.22,6000,0.056,0.6,3.5,5.0,,EEUFR0J102( ),950,200,1000
6.3,1200,0.243,8,15,0.22,8000,0.041,0.6,3.5,5.0,,EEUFR0J122L( ),1240,200,1000
6.3,1500,0.195,10,12.5,0.22,6000,0.043,0.6,5.0,5.0,,EEUFR0J152L( ),1290,200,500
6.3,1800,0.162,8,20,0.22,9000,0.03,0.6,3.5,5.0,,EEUFR0J182( ),1560,200,1000
6.3,2200,0.133,10,16,0.22,8000,0.028,0.6,5.0,5.0,,EEUFR0J222( ),1790,200,500
6.3,2700,0.108,10,20,0.22,10000,0.02,0.6,5.0,5.0,,EEUFR0J272L( ),2180,200,500
6.3,3300,0.088,10,25,0.22,10000,0.018,0.6,5.0,5.0,,EEUFR0J332L( ),2470,200,500
6.3,3900,0.075,12.5,20,0.22,10000,0.018,0.6,5.0,5.0,,EEUFR0J392( ),2600,200,500
6.3,4700,0.062,12.5,25,0.22,10000,0.015,0.6,5.0,5.0,,EEUFR0J472( ),3190,200,500
6.3,5600,0.052,12.5,30,0.22,10000,0.013,0.8,5.0,,,EEUFR0J562L,3630,100,
6.3,6800,0.043,12.5,35,0.22,10000,0.012,0.8,5.0,,,EEUFR0J682L,3750,100,
6.3,6800,0.043,16,20,0.22,10000,0.017,0.8,7.5,7.5,,EEUFR0J682S( ),3300,100,250
6.3,8200,0.036,16,25,0.22,10000,0.014,0.8,7.5,7.5,,EEUFR0J822( ),3820,100,250
10,100,2.52,5,11,0.19,5000,0.3,0.5,2.0,5.0,2.5,EEUFR1A101( ),280,200,2000
10,150,1.68,5,11,0.19,5000,0.3,0.5,2.0,5.0,2.5,EEUFR1A151( ),280,200,2000
10,220,1.145,6.3,11.2,0.19,5000,0.13,0.5,2.5,5.0,2.5,EEUFR1A221( ),455,200,2000
10,270,0.933,6.3,11.2,0.19,5000,0.13,0.5,2.5,5.0,2.5,EEUFR1A271( ),455,200,2000
10,470,0.536,8,11.5,0.19,6000,0.056,0.6,3.5,5.0,,EEUFR1A471( ),950,200,1000
