Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current
400,39,6.801,12.5,20,0.2,0.41
400,47,5.644,10,30,0.2,0.47
400,56,4.737,10,35,0.2,0.54
400,56,4.737,10,40,0.2,0.57
400,56,4.737,12.5,25,0.2,0.53
400,56,4.737,14.5,20,0.2,0.52
400,68,3.901,10,45,0.2,0.65
400,68,3.901,12.5,30,0.2,0.61
400,68,3.901,14.5,25,0.2,0.62
400,68,3.901,16,20,0.2,0.59
400,82,3.235,10,50,0.2,0.73
400,82,3.235,10,55,0.2,0.75
400,82,3.235,10,60,0.2,0.78
400,82,3.235,12.5,35,0.2,0.7
400,82,3.235,14.5,30,0.2,0.71
400,82,3.235,18,20,0.2,0.67
400,100,2.653,12.5,40,0.2,0.8
400,100,2.653,12.5,45,0.2,0.84
400,100,2.653,14.5,35,0.2,0.82
400,100,2.653,16,25,0.2,0.74
400,120,2.21,12.5,50,0.2,0.95
400,120,2.21,14.5,40,0.2,0.93
400,120,2.21,16,30,0.2,0.87
400,120,2.21,18,25,0.2,0.85
400,150,1.768,14.5,45,0.2,1.07
400,150,1.768,14.5,50,0.2,1.11
400,150,1.768,16,35,0.2,1.0
400,150,1.768,16,40,0.2,1.07
400,150,1.768,18,30,0.2,1.0
400,180,1.474,16,45,0.2,1.2
400,180,1.474,18,35,0.2,1.14
400,220,1.206,16,50,0.2,1.34
400,220,1.206,18,40,0.2,1.3
400,220,1.206,18,45,0.2,1.36
400,270,0.982,18,50,0.2,1.53
420,39,8.502,10,30,0.25,0.4
420,39,8.502,12.5,20,0.25,0.38
420,47,7.055,10,35,0.25,0.46
420,47,7.055,12.5,25,0.25,0.45
420,47,7.055,14.5,20,0.25,0.45
420,56,5.921,10,40,0.25,0.52
420,56,5.921,16,20,0.25,0.5
420,68,4.876,10,45,0.25,0.6
420,68,4.876,10,50,0.25,0.62
420,68,4.876,12.5,30,0.25,0.57
420,68,4.876,14.5,25,0.25,0.57
420,82,4.044,10,55,0.25,0.7
420,82,4.044,10,60,0.25,0.71
420,82,4.044,12.5,35,0.25,0.64
420,82,4.044,12.5,40,0.25,0.68
420,82,4.044,14.5,30,0.25,0.66
420,82,4.044,16,25,0.25,0.64
420,82,4.044,18,20,0.25,0.62
420,100,3.316,12.5,45,0.25,0.78
420,100,3.316,14.5,35,0.25,0.76
420,100,3.316,16,30,0.25,0.75
420,120,2.763,12.5,50,0.25,0.86
420,120,2.763,14.5,40,0.25,0.86
420,120,2.763,14.5,45,0.25,0.9
420,120,2.763,16,35,0.25,0.85
420,120,2.763,18,25,0.25,0.78
420,150,2.21,14.5,50,0.25,1.03
420,150,2.21,16,40,0.25,0.99
420,150,2.21,18,30,0.25,0.92
420,180,1.842,16,45,0.25,1.11
420,180,1.842,16,50,0.25,1.15
420,180,1.842,18,35,0.25,1.05
420,180,1.842,18,40,0.25,1.11
420,220,1.507,18,45,0.25,1.26
420,270,1.228,18,50,0.25,1.4
450,33,10.048,12.5,20,0.25,0.36
450,39,8.502,10,30,0.25,0.4
450,47,7.055,10,35,0.25,0.46
450,47,7.055,12.5,25,0.25,0.45
450,47,7.055,14.5,20,0.25,0.44
450,56,5.921,10,40,0.25,0.51
450,56,5.921,10,45,0.25,0.55
450,56,5.921,12.5,30,0.25,0.52
450,56,5.921,14.5,25,0.25,0.52
450,56,5.921,16,20,0.25,0.5
450,68,4.876,10,50,0.25,0.62
450,68,4.876,10,55,0.25,0.64
450,68,4.876,12.5,35,0.25,0.6
450,68,4.876,18,20,0.25,0.57
450,82,4.044,10,60,0.25,0.71
450,82,4.044,12.5,40,0.25,0.68
450,82,4.044,12.5,45,0.25,0.71
450,82,4.044,14.5,30,0.25,0.66
450,82,4.044,16,25,0.25,0.64
450,100,3.316,12.5,50,0.25,0.81
450,100,3.316,14.5,35,0.25,0.75
450,100,3.316,14.5,40,0.25,0.79
450,100,3.316,16,30,0.25,0.75
450,100,3.316,18,25,0.25,0.73
450,120,2.763,14.5,45,0.25,0.9
450,120,2.763,14.5,50,0.25,0.93
450,120,2.763,16,35,0.25,0.86
450,120,2.763,18,30,0.25,0.84
450,150,2.21,16,40,0.25,0.97
450,150,2.21,16,45,0.25,1.03
450,150,2.21,18,35,0.25,0.98
450,180,1.842,16,50,0.25,1.15
450,180,1.842,18,40,0.25,1.11
450,220,1.507,18,45,0.25,1.24
450,220,1.507,18,50,0.25,1.3
500,22,15.072,12.5,20,0.25,0.26
500,27,12.28,12.5,25,0.25,0.33
500,27,12.28,14.5,20,0.25,0.33
500,33,10.048,14.5,25,0.25,0.38
500,33,10.048,16,20,0.25,0.37
500,33,10.048,12.5,30,0.25,0.38
500,39,8.502,12.5,35,0.25,0.44
500,47,7.055,12.5,40,0.25,0.5
500,47,7.055,14.5,30,0.25,0.48
500,47,7.055,16,25,0.25,0.48
500,47,7.055,18,20,0.25,0.45
500,56,5.921,12.5,45,0.25,0.57
500,56,5.921,12.5,50,0.25,0.58
500,56,5.921,14.5,35,0.25,0.56
500,56,5.921,16,30,0.25,0.55
500,56,5.921,18,25,0.25,0.54
500,68,4.876,14.5,40,0.25,0.63
500,68,4.876,14.5,45,0.25,0.71
500,68,4.876,16,35,0.25,0.62
500,68,4.876,18,30,0.25,0.68
500,82,4.044,14.5,50,0.25,0.74
500,82,4.044,16,40,0.25,0.71
500,82,4.044,16,45,0.25,0.81
500,82,4.044,18,35,0.25,0.78
500,100,3.316,16,50,0.25,0.83
500,100,3.316,18,40,0.25,0.88
500,120,2.763,18,45,0.25,0.92
500,120,2.763,18,50,0.25,0.95
