Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,VC
350,3.3,0.15,10,12.5,60.286,RE2-350V3R3M,56,52.5,35,45.5,28,28,1155
350,4.7,0.15,10,16,42.328,RE2-350V4R7M,72,67.5,45,58.5,36,36,1645
350,10,0.15,10,20,19.894,RE2-350V100M,120,112.5,75,97.5,60,60,3500
350,22,0.15,12.5,25,9.043,RE2-350V220M,224,210,140,182,112,112,7700
350,33,0.15,16,25,6.029,RE2-350V330M,320,300,200,260,160,160,11550
350,47,0.15,16,31.5,4.233,RE2-350V470M,416,390,260,338,208,208,16450
400,1,0.2,8,11.5,265.258,RE2-400V010M,24,22.5,15,19.5,12,12,400
400,2.2,0.2,10,12.5,120.572,RE2-400V2R2M,32,30,20,26,16,16,880.0000000000001
400,3.3,0.2,10,16,80.381,RE2-400V3R3M,56,52.5,35,45.5,28,28,1320
400,4.7,0.2,10,20,56.438,RE2-400V4R7M,72,67.5,45,58.5,36,36,1880
400,10,0.2,12.5,20,26.526,RE2-400V100M,120,112.5,75,97.5,60,60,4000
400,22,0.2,16,25,12.057,RE2-400V220M,224,210,140,182,112,112,8800
400,33,0.2,16,31.5,8.038,RE2-400V330M,304,285,190,247,152,152,13200
400,47,0.2,18,35.5,5.644,RE2-400V470M,416,390,260,338,208,208,18800
450,1,0.23,10,12.5,305.047,RE2-450V010M,24,22.5,15,19.5,12,12,450
450,2.2,0.23,10,16,138.658,RE2-450V2R2M,40,37.5,25,32.5,20,20,990.0000000000001
450,3.3,0.23,10,20,92.439,RE2-450V3R3M,56,52.5,35,45.5,28,28,1485
450,4.7,0.23,12.5,20,64.904,RE2-450V4R7M,72,67.5,45,58.5,36,36,2115
450,10,0.23,12.5,25,30.505,RE2-450V100M,120,112.5,75,97.5,60,60,4500
450,22,0.23,16,31.5,13.866,RE2-450V220M,224,210,140,182,112,112,9900
450,33,0.23,18,35.5,9.244,RE2-450V330M,320,300,200,260,160,160,14850
