Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current
25,680,0.068,10,16,4000,0.6,5.0,5.0,200,500,EEUFP1E681( ),2500
25,1000,0.052,10,20,4000,0.6,5.0,5.0,200,500,EEUFP1E102( ),3000
25,1500,0.038,12.5,20,5000,0.6,5.0,5.0,200,500,EEUFP1E152( ),3250
25,2000,0.03,12.5,25,5000,0.6,5.0,5.0,200,500,EEUFP1E202( ),4000
35,510,0.068,10,16,4000,0.6,5.0,5.0,200,500,EEUFP1V511( ),2500
35,750,0.052,10,20,4000,0.6,5.0,5.0,200,500,EEUFP1V751( ),3000
35,1000,0.038,12.5,20,5000,0.6,5.0,5.0,200,500,EEUFP1V102( ),3250
35,1300,0.03,12.5,25,5000,0.6,5.0,5.0,200,500,EEUFP1V132( ),4000
