Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 135°C@100kHz,Ripple Current 135°C@10kHz,Ripple Current 135°C@120Hz,Ripple Current 135°C@1kHz,Ripple Current 135°C@50Hz,Ripple Current 135°C@60Hz,Size Code,VC
10,330,0.2,0.098,10,12.5,0.804,725,725,470.78,616.72,400.16,400.16,F12,3300
10,470,0.2,0.098,10,12.5,0.564,725,725,545.11,654.14,506.95,506.95,F12,4700
10,1000,0.2,0.057,10,20,0.292,1130,1130,849.62,1019.55,790.15,790.15,F20,10000
10,1000,0.2,0.059,12.5,15,0.292,1130,1130,849.62,1019.55,790.15,790.15,G15,10000
10,2200,0.2,0.032,12.5,25,0.145,1880,1880,1593.22,1784.41,1497.63,1497.63,G25,22000
10,2200,0.2,0.032,16,20,0.145,2020,2020,1711.86,1917.29,1609.15,1609.15,J20,22000
10,3300,0.2,0.024,16,25,0.104,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,33000
10,3300,0.2,0.029,18,20,0.104,2320,2320,1966.1,2202.03,1848.14,1848.14,K20,33000
10,4700,0.2,0.020,16,31.5,0.079,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,47000
10,4700,0.2,0.022,18,25,0.079,2880,2880,2440.68,2733.56,2294.24,2294.24,K25,47000
16,220,0.16,0.098,10,12.5,0.965,725,725,470.78,616.72,400.16,400.16,F12,3520
16,330,0.16,0.098,10,12.5,0.643,725,725,470.78,616.72,400.16,400.16,F12,5280
16,470,0.16,0.075,10,16,0.452,951,951,715.04,858.05,664.98,664.98,F16,7520
16,1000,0.16,0.057,10,20,0.239,1130,1130,849.62,1019.55,790.15,790.15,F20,16000
16,1000,0.16,0.040,12.5,20,0.239,1550,1550,1165.41,1398.5,1083.83,1083.83,G20,16000
16,2200,0.16,0.032,12.5,25,0.121,1880,1880,1593.22,1784.41,1497.63,1497.63,G25,35200
16,2200,0.16,0.024,16,25,0.121,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,35200
16,3300,0.16,0.020,16,31.5,0.088,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,52800
16,3300,0.16,0.022,18,25,0.088,2880,2880,2440.68,2733.56,2294.24,2294.24,K25,52800
16,4700,0.16,0.019,16,35.5,0.068,3280,3280,2779.66,3113.22,2612.88,2612.88,J35,75200
16,4700,0.16,0.018,18,31.5,0.068,3410,3410,2889.83,3236.61,2716.44,2716.44,K31,75200
25,220,0.14,0.098,10,12.5,0.844,725,725,470.78,616.72,400.16,400.16,F12,5500
25,330,0.14,0.098,10,12.5,0.563,725,725,470.78,616.72,400.16,400.16,F12,8250
25,330,0.14,0.075,10,16,0.563,951,951,617.53,808.97,524.9,524.9,F16,8250
25,470,0.14,0.075,10,16,0.395,951,951,715.04,858.05,664.98,664.98,F16,11750
25,470,0.14,0.057,10,20,0.395,1130,1130,849.62,1019.55,790.15,790.15,F20,11750
25,1000,0.14,0.040,12.5,20,0.212,1550,1550,1165.41,1398.5,1083.83,1083.83,G20,25000
25,1000,0.14,0.032,12.5,25,0.212,1880,1880,1413.53,1696.24,1314.59,1314.59,G25,25000
25,1200,0.14,0.040,12.5,20,0.177,1550,1550,1313.56,1471.19,1234.75,1234.75,G20,30000
