Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 105°C@120Hz
6.3,22,16.88,4,5.8,0.28,21
6.3,33,11.253,5,5.8,0.28,29
6.3,47,7.901,5,5.8,0.28,35
6.3,100,3.714,6.3,5.8,0.28,60
6.3,220,1.688,8,10.5,0.28,127
6.3,330,1.125,8,10.5,0.28,156
6.3,470,0.79,10,10.5,0.28,215
10,10,31.831,4,5.8,0.24,15
10,22,14.469,5,5.8,0.24,26
10,33,9.646,5,5.8,0.24,32
10,47,6.773,6.3,5.8,0.24,44
10,100,3.183,8,6.5,0.24,79
10,220,1.447,8,10.5,0.24,137
10,330,0.965,10,10.5,0.24,194
10,470,0.677,10,10.5,0.24,232
16,4.7,56.438,4,5.8,0.2,11
16,10,26.526,4,5.8,0.2,17
16,22,12.057,5,5.8,0.2,28
16,33,8.038,6.3,5.8,0.2,41
16,47,5.644,6.3,5.8,0.2,48
16,100,2.653,8,6.5,0.2,86
16,220,1.206,8,10.5,0.2,150
16,330,0.804,10,10.5,0.2,213
16,470,0.564,10,10.5,0.2,254
25,4.7,45.15,4,5.8,0.16,13
25,10,21.221,5,5.8,0.16,21
25,22,9.646,6.3,5.8,0.16,37
25,33,6.431,6.3,5.8,0.16,45
25,47,4.515,8,6.5,0.16,66
25,100,2.122,8,10.5,0.16,113
25,220,0.965,10,10.5,0.16,194
35,4.7,36.685,4,5.8,0.13,14
35,10,17.242,5,5.8,0.13,24
35,22,7.837,6.3,5.8,0.13,41
35,33,5.225,8,6.5,0.13,62
35,47,3.668,8,10.5,0.13,86
35,100,1.724,10,10.5,0.13,145
35,220,0.784,10,10.5,0.13,216
50,1,159.155,4,5.8,0.12,7
50,2.2,72.343,4,5.8,0.12,10
50,3.3,48.229,4,5.8,0.12,12
50,4.7,33.863,5,5.8,0.12,17
50,10,15.916,6.3,5.8,0.12,29
50,22,7.234,8,6.5,0.12,52
50,33,4.823,8,10.5,0.12,75
50,47,3.386,8,10.5,0.12,90
50,100,1.592,10,10.5,0.12,151
