Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
6.3,220,2.05,5,11,0.34,EKMG6R3E□□221ME11D,140
6.3,330,1.366,6.3,11,0.34,EKMG6R3E□□331MF11D,190
6.3,470,0.959,6.3,11,0.34,EKMG6R3E□□471MF11D,230
6.3,1000,0.451,8,11.5,0.34,EKMG6R3E□□102MHB5D,380
6.3,2200,0.217,10,20,0.36,EKMG6R3E□□222MJ20S,710
6.3,3300,0.153,10,20,0.38,EKMG6R3E□□332MJ20S,840
6.3,4700,0.113,12.5,20,0.4,EKMG6R3E□□472MK20S,1090
6.3,6800,0.086,12.5,25,0.44,EKMG6R3E□□682MK25S,1350
6.3,10000,0.069,16,25,0.52,EKMG6R3E□□103ML25S,1650
6.3,15000,0.055,16,35.5,0.62,EKMG6R3E□□153MLP1S,2010
6.3,22000,0.046,18,40,0.76,EKMG6R3E□□223MM40S,2350
10,220,1.447,6.3,11,0.24,EKMG100E□□221MF11D,170
10,330,0.965,6.3,11,0.24,EKMG100E□□331MF11D,200
10,470,0.677,8,11.5,0.24,EKMG100E□□471MHB5D,250
10,1000,0.318,10,12.5,0.24,EKMG100E□□102MJC5S,460
10,2200,0.157,10,20,0.26,EKMG100E□□222MJ20S,760
10,3300,0.113,12.5,20,0.28,EKMG100E□□332MK20S,1000
10,4700,0.085,12.5,25,0.3,EKMG100E□□472MK25S,1260
10,6800,0.066,16,25,0.34,EKMG100E□□682ML25S,1570
10,10000,0.056,16,35.5,0.42,EKMG100E□□103MLP1S,1890
10,15000,0.046,18,35.5,0.52,EKMG100E□□153MMP1S,2180
16,100,2.653,5,11,0.2,EKMG160E□□101ME11D,110
16,220,1.206,6.3,11,0.2,EKMG160E□□221MF11D,180
16,330,0.804,8,11.5,0.2,EKMG160E□□331MHB5D,260
16,470,0.564,8,11.5,0.2,EKMG160E□□471MHB5D,310
16,1000,0.265,10,16,0.2,EKMG160E□□102MJ16S,560
16,2200,0.133,12.5,20,0.22,EKMG160E□□222MK20S,920
16,3300,0.096,12.5,25,0.24,EKMG160E□□332MK25S,1170
16,4700,0.073,16,25,0.26,EKMG160E□□472ML25S,1480
16,6800,0.059,16,31.5,0.3,EKMG160E□□682MLN3S,1780
16,10000,0.05,18,35.5,0.38,EKMG160E□□103MMP1S,2060
25,47,4.515,5,11,0.16,EKMG250E□□470ME11D,80
25,100,2.122,6.3,11,0.16,EKMG250E□□101MF11D,130
