Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 150°C@100kHz
25,3900,0.048,0.02,0.14,0.11,8000,3100
35,2700,0.059,0.02,0.12,0.11,8000,3100
50,1800,0.074,0.034,0.1,0.19,7000,2800
63,1200,0.111,0.034,0.1,0.19,7300,2900
80,800,0.133,0.034,0.08,0.19,7300,2900
