Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 135°C@100kHz,Status,Vibration resistant,Weight (g)
25,100,1.857,0.13,8,11.5,-55,135,0.14,1000,75,3000,UBW1E101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,500,MP,Normal,1.19
25,220,0.844,0.1,10,12.5,-55,135,0.14,2000,165,2000,UBW1E221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,Normal,1.49
25,330,0.563,0.075,10,16,-55,135,0.14,2000,248,1800,UBW1E331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,MP,Normal,1.77
25,470,0.395,0.057,10,20,-55,135,0.14,2000,353,1400,UBW1E471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,MP,Normal,2.34
25,1000,0.186,0.033,12.5,25,-55,135,0.14,3000,750,800,UBW1E102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,MP,Normal,4.56
25,2200,0.096,0.02,16,30.5,-55,135,0.16,3000,1650,300,UBW1E222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,Normal,9.6
35,100,1.592,0.15,10,12.5,-55,135,0.12,2000,105,2000,UBW1V101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,Normal,1.49
35,220,0.723,0.094,10,16,-55,135,0.12,2000,231,1800,UBW1V221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,790,MP,Normal,1.77
35,330,0.482,0.075,10,20,-55,135,0.12,2000,347,1400,UBW1V331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,950,MP,Normal,2.34
35,470,0.339,0.058,12.5,20,-55,135,0.12,3000,494,1000,UBW1V471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1330,MP,Normal,3.43
35,1000,0.159,0.031,16,25,-55,135,0.12,3000,1050,400,UBW1V102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2010,MP,Normal,8.2
50,4.7,28.219,1.15,8,11.5,-55,135,0.1,1000,7,3000,UBW1H4R7MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,85,MP,Normal,1.19
50,10,13.263,0.75,8,11.5,-55,135,0.1,1000,15,3000,UBW1H100MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,180,MP,Normal,1.19
