Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Max Ripple Current 135°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz
25,910,0.204,0.046,12.5,20,0.14,3910,2920,2260,2870,2060
25,1300,0.143,0.034,12.5,25,0.14,4960,3700,2860,3640,2610
25,1600,0.116,0.046,12.5,20,0.14,3910,2920,2260,2870,2060
25,1600,0.116,0.029,12.5,30,0.14,5770,4300,3330,4230,3030
25,1600,0.116,0.034,16,20,0.14,4420,3300,2550,3240,2320
25,2000,0.093,0.033,18,20,0.14,4730,3520,2730,3470,2490
25,2200,0.084,0.025,16,25,0.14,5570,4150,3210,4090,2930
25,2400,0.077,0.034,12.5,25,0.14,4960,3700,2860,3640,2610
25,2700,0.069,0.021,16,30,0.14,6250,4660,3610,4580,3280
25,2700,0.069,0.025,18,25,0.14,5940,4430,3430,4360,3120
25,3000,0.062,0.029,12.5,30,0.14,5770,4300,3330,4230,3030
25,3000,0.062,0.034,16,20,0.14,4420,3300,2550,3240,2320
25,3600,0.052,0.021,18,30,0.14,6590,4910,3800,4840,3460
25,3900,0.048,0.033,18,20,0.14,4730,3520,2730,3470,2490
25,4300,0.043,0.025,16,25,0.14,5570,4150,3210,4090,2930
25,5600,0.033,0.021,16,30,0.14,6250,4660,3610,4580,3280
25,5600,0.033,0.025,18,25,0.14,5940,4430,3430,4360,3120
25,6800,0.027,0.021,18,30,0.14,6590,4910,3800,4840,3460
35,750,0.212,0.046,12.5,20,0.12,3910,2920,2260,2870,2060
35,1000,0.159,0.034,12.5,25,0.12,4960,3700,2860,3640,2610
35,1200,0.133,0.046,12.5,20,0.12,3910,2920,2260,2870,2060
35,1300,0.122,0.029,12.5,30,0.12,5770,4300,3330,4230,3030
35,1300,0.122,0.034,16,20,0.12,4420,3300,2550,3240,2320
35,1600,0.099,0.034,12.5,25,0.12,4960,3700,2860,3640,2610
35,1600,0.099,0.033,18,20,0.12,4730,3520,2730,3470,2490
35,1800,0.088,0.025,16,25,0.12,5570,4150,3210,4090,2930
35,2000,0.08,0.034,16,20,0.12,4420,3300,2550,3240,2320
35,2200,0.072,0.029,12.5,30,0.12,5770,4300,3330,4230,3030
35,2400,0.066,0.021,16,30,0.12,6250,4660,3610,4580,3280
35,2400,0.066,0.025,18,25,0.12,5940,4430,3430,4360,3120
35,2700,0.059,0.033,18,20,0.12,4730,3520,2730,3470,2490
35,3000,0.053,0.025,16,25,0.12,5570,4150,3210,4090,2930
35,3000,0.053,0.021,18,30,0.12,6590,4910,3800,4840,3460
35,3600,0.044,0.021,16,30,0.12,6250,4660,3610,4580,3280
35,3600,0.044,0.025,18,25,0.12,5940,4430,3430,4360,3120
35,4700,0.034,0.021,18,30,0.12,6590,4910,3800,4840,3460
50,510,0.26,0.072,12.5,20,0.1,3220,2400,1860,2280,1530
50,620,0.214,0.076,12.5,20,0.1,3130,2330,1800,2220,1490
50,680,0.195,0.052,12.5,25,0.1,4090,3050,2360,2900,1950
50,910,0.146,0.055,12.5,25,0.1,3980,2960,2290,2820,1890
50,910,0.146,0.042,12.5,30,0.1,4880,3630,2810,3460,2320
50,910,0.146,0.049,16,20,0.1,3980,2960,2290,2820,1890
50,1100,0.121,0.044,12.5,30,0.1,4740,3530,2730,3370,2250
50,1100,0.121,0.051,16,20,0.1,3910,2920,2260,2780,1860
50,1100,0.121,0.047,18,20,0.1,4320,3220,2490,3070,2060
50,1300,0.102,0.036,16,25,0.1,5030,3750,2900,3570,2390
50,1300,0.102,0.047,18,20,0.1,4290,3200,2470,3050,2040
50,1600,0.083,0.037,16,25,0.1,4950,3690,2860,3510,2350
50,1600,0.083,0.029,16,30,0.1,5970,4450,3440,4240,2840
50,1600,0.083,0.034,18,25,0.1,5470,4070,3150,3880,2600
50,2000,0.066,0.03,16,30,0.1,5870,4370,3390,4170,2790
50,2000,0.066,0.034,18,25,0.1,5420,4040,3130,3850,2580
50,2000,0.066,0.027,18,30,0.1,6480,4830,3740,4600,3080
50,2400,0.055,0.028,18,30,0.1,6420,4780,3700,4560,3050
70,240,0.553,0.093,12.5,20,0.1,2820,2100,1630,2000,1340
70,360,0.368,0.099,12.5,20,0.1,2740,2040,1580,1940,1300
70,360,0.368,0.067,12.5,25,0.1,3600,2680,2070,2550,1710
70,430,0.308,0.062,16,20,0.1,3560,2650,2050,2530,1690
70,470,0.282,0.054,12.5,30,0.1,4290,3190,2470,3040,2040
70,510,0.26,0.072,12.5,25,0.1,3490,2600,2010,2470,1660
70,560,0.237,0.057,18,20,0.1,3920,2920,2260,2780,1860
70,620,0.214,0.057,12.5,30,0.1,4150,3100,2400,2950,1980
70,620,0.214,0.064,16,20,0.1,3490,2600,2010,2480,1660
70,620,0.214,0.045,16,25,0.1,4510,3360,2600,3200,2150
70,750,0.177,0.058,18,20,0.1,3870,2880,2230,2750,1840
70,820,0.162,0.036,16,30,0.1,5360,3990,3090,3800,2550
70,820,0.162,0.042,18,25,0.1,4950,3690,2860,3510,2350
70,910,0.146,0.047,16,25,0.1,4420,3300,2550,3140,2100
70,1000,0.133,0.033,18,30,0.1,5870,4380,3390,4170,2790
70,1100,0.121,0.038,16,30,0.1,5250,3910,3030,3730,2500
70,1100,0.121,0.042,18,25,0.1,4890,3650,2820,3470,2330
70,1300,0.102,0.034,18,30,0.1,5810,4330,3350,4120,2760
