Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Impedance @100kHz,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,VC
10,3300,0.064,0.064,18,15,0.19,0.1,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1A272S(),2060,2060,1648,1961.12,1549.12,33000
10,3300,0.064,0.064,12.5,30,0.19,0.1,5000,0.018,0.8,5,,100,,EEUFK1A332L,2720,2720,2176,2589.44,2045.44,33000
10,3900,0.054,0.054,12.5,35,0.19,0.085,5000,0.016,0.8,5,,100,,EEUFK1A392L,2940,2940,2352,2798.88,2210.88,39000
10,3900,0.054,0.054,16,20,0.19,0.085,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1A392S(),2330,2330,1864,2218.16,1752.16,39000
10,4700,0.049,0.049,12.5,40,0.19,0.076,5000,0.014,0.8,5,,100,,EEUFK1A472L,3010,3010,2408,2865.52,2263.52,47000
10,4700,0.049,0.049,18,20,0.19,0.076,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1A472S(),2640,2640,2112,2513.28,1985.28,47000
10,5600,0.044,0.044,16,25,0.19,0.069,5000,0.019,0.8,7.5,7.5,100,250,EEUFK1A562(),2760,2760,2208,2627.52,2075.52,56000
10,6800,0.039,0.039,18,25,0.19,0.06,5000,0.018,0.8,7.5,7.5,100,250,EEUFK1A682S(),2850,2850,2280,2713.2,2143.2,68000
16,270,0.425,0.384,8,11.5,0.16,0.786,3000,0.09,0.6,3.5,5,200,1000,EEUFK1C271(),630,599.16,440.56,533.08,378.88,4320
16,390,0.317,0.308,8,15,0.16,0.544,3000,0.062,0.6,3.5,5,200,1000,EEUFK1C391L(),860,847.07,646.62,775.94,562.56,6240
16,470,0.263,0.255,10,12.5,0.16,0.452,4000,0.063,0.6,5,5,200,500,EEUFK1C471(),900,886.47,676.69,812.03,588.72,7520
16,560,0.221,0.214,8,20,0.16,0.379,3000,0.044,0.6,3.5,5,200,1000,EEUFK1C561L(),1220,1201.65,917.29,1100.75,798.05,8960
16,820,0.151,0.146,10,16,0.16,0.259,4000,0.049,0.6,5,5,200,500,EEUFK1C561(),1240,1221.35,932.33,1118.8,811.13,13120
16,1000,0.139,0.135,10,20,0.16,0.239,4000,0.035,0.6,5,5,200,500,EEUFK1C821(),1490,1467.59,1120.3,1344.36,974.66,16000
16,1200,0.127,0.127,12.5,15,0.16,0.199,5000,0.048,0.6,5,5,200,500,EEUFK1C821S(),1400,1400,1120,1332.8,1052.8,19200
16,1500,0.102,0.102,10,25,0.16,0.159,4000,0.033,0.6,5,5,200,500,EEUFK1C102L(),1680,1680,1344,1599.36,1263.36,24000
16,1800,0.085,0.085,12.5,20,0.16,0.133,5000,0.029,0.6,5,5,200,500,EEUFK1C122(),1890,1890,1512,1799.28,1421.28,28800
16,2200,0.077,0.077,10,30,0.16,0.121,4000,0.025,0.6,5,,100,,EEUFK1C152L,2140,2140,1712,2037.28,1609.28,35200
16,2200,0.077,0.077,16,15,0.16,0.121,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1C152S(),1800,1800,1440,1713.6,1353.6,35200
16,2700,0.063,0.063,12.5,25,0.16,0.098,5000,0.022,0.6,5,5,200,500,EEUFK1C182(),2280,2280,1824,2170.56,1714.56,43200
16,3300,0.057,0.057,18,15,0.16,0.088,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1C182S(),2060,2060,1648,1961.12,1549.12,52800
16,3900,0.048,0.048,12.5,30,0.16,0.075,5000,0.018,0.8,5,,100,,EEUFK1C222L,2720,2720,2176,2589.44,2045.44,62400
16,4700,0.043,0.043,12.5,35,0.16,0.068,5000,0.016,0.8,5,,100,,EEUFK1C272L,2940,2940,2352,2798.88,2210.88,75200
16,4700,0.043,0.043,16,20,0.16,0.068,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1C272S(),2330,2330,1864,2218.16,1752.16,75200
16,5600,0.039,0.039,12.5,40,0.16,0.062,5000,0.014,0.8,5,,100,,EEUFK1C332L,3010,3010,2408,2865.52,2263.52,89600
16,6800,0.035,0.035,18,20,0.16,0.055,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1C332S(),2640,2640,2112,2513.28,1985.28,108800
16,8200,0.033,0.033,18,25,0.16,0.052,5000,0.018,0.8,7.5,7.5,100,250,EEUFK1C472S(),2850,2850,2280,2713.2,2143.2,131200
25,180,0.558,0.504,8,11.5,0.14,1.032,3000,0.09,0.6,3.5,5,200,1000,EEUFK1E181(),630,599.16,440.56,533.08,378.88,4500
25,270,0.372,0.336,8,15,0.14,0.688,3000,0.062,0.6,3.5,5,200,1000,EEUFK1E271L(),860,817.9,601.4,727.69,517.2,6750
25,390,0.277,0.269,10,12.5,0.14,0.476,4000,0.063,0.6,5,5,200,500,EEUFK1E271(),900,886.47,676.69,812.03,588.72,9750
25,560,0.193,0.187,8,20,0.14,0.332,3000,0.044,0.6,3.5,5,200,1000,EEUFK1E391L(),1220,1201.65,917.29,1100.75,798.05,14000
25,680,0.159,0.154,10,16,0.14,0.273,4000,0.049,0.6,5,5,200,500,EEUFK1E391(),1240,1221.35,932.33,1118.8,811.13,17000
25,820,0.132,0.128,10,20,0.14,0.226,4000,0.035,0.6,5,5,200,500,EEUFK1E561(),1490,1467.59,1120.3,1344.36,974.66,20500
25,1000,0.124,0.12,12.5,15,0.14,0.212,5000,0.048,0.6,5,5,200,500,EEUFK1E561S(),1400,1378.95,1052.63,1263.16,915.79,25000
25,1200,0.113,0.113,10,25,0.14,0.177,4000,0.033,0.6,5,5,200,500,EEUFK1E681L(),1680,1680,1344,1599.36,1263.36,30000
25,1500,0.091,0.091,12.5,20,0.14,0.141,5000,0.029,0.6,5,5,200,500,EEUFK1E821(),1890,1890,1512,1799.28,1421.28,37500
25,1800,0.075,0.075,10,30,0.14,0.118,4000,0.025,0.6,5,,100,,EEUFK1E102L,2140,2140,1712,2037.28,1609.28,45000
25,2200,0.069,0.069,16,15,0.14,0.109,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1E102S(),1800,1800,1440,1713.6,1353.6,55000
25,2700,0.057,0.057,12.5,25,0.14,0.088,5000,0.022,0.6,5,5,200,500,EEUFK1E122(),2280,2280,1824,2170.56,1714.56,67500
25,3300,0.051,0.051,18,15,0.14,0.08,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1E122S(),2060,2060,1648,1961.12,1549.12,82500
25,3900,0.044,0.044,12.5,30,0.14,0.068,5000,0.018,0.8,5,,100,,EEUFK1E152L,2720,2720,2176,2589.44,2045.44,97500
25,4700,0.04,0.04,16,20,0.14,0.062,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1E152S(),2330,2330,1864,2218.16,1752.16,117500
25,5600,0.036,0.036,12.5,35,0.14,0.057,5000,0.016,0.8,5,,100,,EEUFK1E182L,2940,2940,2352,2798.88,2210.88,140000
25,6800,0.032,0.032,12.5,40,0.14,0.051,5000,0.014,0.8,5,,100,,EEUFK1E222L,3010,3010,2408,2865.52,2263.52,170000
25,8200,0.031,0.031,18,20,0.14,0.049,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1E222S(),2640,2640,2112,2513.28,1985.28,205000
35,180,0.478,0.432,8,11.5,0.12,0.884,3000,0.09,0.6,3.5,5,200,1000,EEUFK1V181(),630,599.16,440.56,533.08,378.88,6300
35,270,0.319,0.288,8,15,0.12,0.589,3000,0.062,0.6,3.5,5,200,1000,EEUFK1V271L(),860,817.9,601.4,727.69,517.2,9450
35,390,0.238,0.231,10,12.5,0.12,0.408,4000,0.063,0.6,5,5,200,500,EEUFK1V271(),900,886.47,676.69,812.03,588.72,13650
35,560,0.166,0.161,8,20,0.12,0.284,3000,0.044,0.6,3.5,5,200,1000,EEUFK1V391L(),1220,1201.65,917.29,1100.75,798.05,19600
35,680,0.136,0.132,10,16,0.12,0.234,4000,0.049,0.6,5,5,200,500,EEUFK1V391(),1240,1221.35,932.33,1118.8,811.13,23800
35,820,0.113,0.11,10,20,0.12,0.194,4000,0.035,0.6,5,5,200,500,EEUFK1V561(),1490,1467.59,1120.3,1344.36,974.66,28700
35,1000,0.108,0.105,12.5,15,0.12,0.186,5000,0.048,0.6,5,5,200,500,EEUFK1V561S(),1400,1378.95,1052.63,1263.16,915.79,35000
35,1200,0.099,0.099,10,25,0.12,0.155,4000,0.033,0.6,5,5,200,500,EEUFK1V681L(),1680,1680,1344,1599.36,1263.36,42000
35,1500,0.079,0.079,12.5,20,0.12,0.124,5000,0.029,0.6,5,5,200,500,EEUFK1V821(),1890,1890,1512,1799.28,1421.28,52500
35,1800,0.066,0.066,10,30,0.12,0.103,4000,0.025,0.6,5,,100,,EEUFK1V102L,2140,2140,1712,2037.28,1609.28,63000
35,2200,0.062,0.062,16,15,0.12,0.096,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1V102S(),1800,1800,1440,1713.6,1353.6,77000
35,2700,0.05,0.05,12.5,25,0.12,0.079,5000,0.022,0.6,5,5,200,500,EEUFK1V122(),2280,2280,1824,2170.56,1714.56,94500
35,3300,0.046,0.046,18,15,0.12,0.072,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1V122S(),2060,2060,1648,1961.12,1549.12,115500
35,3900,0.039,0.039,12.5,30,0.12,0.061,5000,0.018,0.8,5,,100,,EEUFK1V152L,2720,2720,2176,2589.44,2045.44,136500
35,4700,0.036,0.036,12.5,35,0.12,0.056,5000,0.016,0.8,5,,100,,EEUFK1V182L,2940,2940,2352,2798.88,2210.88,164500
35,5600,0.033,0.033,16,20,0.12,0.052,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1V182S(),2330,2330,1864,2218.16,1752.16,196000
35,6800,0.03,0.03,12.5,40,0.12,0.047,5000,0.014,0.8,5,,100,,EEUFK1V222L,3010,3010,2408,2865.52,2263.52,238000
35,8200,0.029,0.029,18,20,0.12,0.045,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1V222S(),2640,2640,2112,2513.28,1985.28,287000
35,10000,0.027,0.027,18,25,0.12,0.042,5000,0.018,0.8,7.5,7.5,100,250,EEUFK1V332S(),2850,2850,2280,2713.2,2143.2,350000
