Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESL,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,100,1.326,0.007,5,8,-55,105,0.1,1.5,2000,500,3200,RF80E101MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4200,MP,Normal,0.4
2.5,330,0.402,0.007,5,8,-55,105,0.1,1.5,2000,500,3200,RF80E331MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4200,MP,Normal,0.4
2.5,470,0.282,0.007,5,8,-55,105,0.1,1.5,2000,500,3200,RF80E471MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4200,MP,Normal,0.4
2.5,560,0.237,0.007,5,8,-55,105,0.1,1.5,2000,500,3200,RF80E561MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4200,MP,Normal,0.4
4,330,0.402,0.008,5,8,-55,105,0.1,1.5,2000,500,3200,RF80G331MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4000,MP,Normal,0.4
6.3,270,0.491,0.011,5,8,-55,105,0.1,1.5,2000,500,3200,RF80J271MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3700,MP,Normal,0.4
6.3,330,0.402,0.011,5,8,-55,105,0.1,1.5,2000,500,3200,RF80J331MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3700,MP,Normal,0.4
