Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
25,33,8.038,6.3,11,-55,105,0.2,1000,25,4000,UEP1E330MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,56,EOL,Normal,0.59
25,47,5.644,6.3,11,-55,105,0.2,1000,35,4000,UEP1E470MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,67,EOL,Normal,0.59
25,100,2.653,8,11.5,-55,105,0.2,1000,75,3000,UEP1E101MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,110,MP,Normal,1.19
25,220,1.206,10,16,-55,105,0.2,1000,165,1800,UEP1E221MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,215,MP,Normal,1.77
25,330,0.804,12.5,20,-55,105,0.2,1000,248,1000,UEP1E331MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,320,MP,Normal,3.43
25,470,0.564,12.5,20,-55,105,0.2,1000,353,1000,UEP1E471MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,380,MP,Normal,3.43
25,1000,0.265,16,25,-55,105,0.2,1000,750,400,UEP1E102MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,670,MP,Normal,8.2
25,2200,0.133,18,35.5,-55,105,0.22,1000,1650,250,UEP1E222MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1140,MP,Normal,14.2
35,4.7,45.15,5,11,-55,105,0.16,1000,5,6000,UEP1V4R7MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,25,EOL,Normal,0.44
35,10,21.221,5,11,-55,105,0.16,1000,11,6000,UEP1V100MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,30,EOL,Normal,0.44
35,22,9.646,6.3,11,-55,105,0.16,1000,23,4000,UEP1V220MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,51,EOL,Normal,0.59
35,33,6.431,8,11.5,-55,105,0.16,1000,35,3000,UEP1V330MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,72,MP,Normal,1.19
35,47,4.515,8,11.5,-55,105,0.16,1000,49,3000,UEP1V470MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,86,MP,Normal,1.19
35,100,2.122,10,16,-55,105,0.16,1000,105,1800,UEP1V101MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,160,MP,Normal,1.77
35,220,0.965,12.5,20,-55,105,0.16,1000,231,1000,UEP1V221MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,290,MP,Normal,3.43
35,330,0.643,12.5,20,-55,105,0.16,1000,347,1000,UEP1V331MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,350,MP,Normal,3.43
35,470,0.452,12.5,25,-55,105,0.16,1000,494,800,UEP1V471MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,465,MP,Normal,4.56
35,1000,0.212,16,30.5,-55,105,0.16,1000,1050,300,UEP1V102MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,805,MP,Normal,9.6
50,1,185.681,5,11,-55,105,0.14,1000,3,6000,UEP1H010MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,12,EOL,Normal,0.44
50,2.2,84.4,5,11,-55,105,0.14,1000,3,6000,UEP1H2R2MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,18,EOL,Normal,0.44
50,3.3,56.267,5,11,-55,105,0.14,1000,5,6000,UEP1H3R3MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,22,EOL,Normal,0.44
50,4.7,39.507,5,11,-55,105,0.14,1000,7,6000,UEP1H4R7MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,22,EOL,Normal,0.44
50,10,18.568,6.3,11,-55,105,0.14,1000,15,4000,UEP1H100MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,37,EOL,Normal,0.59
50,22,8.44,8,11.5,-55,105,0.14,1000,33,3000,UEP1H220MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,63,MP,Normal,1.19
50,33,5.627,8,11.5,-55,105,0.14,1000,50,3000,UEP1H330MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,77,MP,Normal,1.19
50,47,3.951,10,12.5,-55,105,0.14,1000,71,2000,UEP1H470MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,105,MP,Normal,1.49
50,100,1.857,10,20,-55,105,0.14,1000,150,1400,UEP1H101MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,190,MP,Normal,2.34
50,220,0.844,12.5,25,-55,105,0.14,1000,330,800,UEP1H221MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,340,MP,Normal,4.56
50,330,0.563,16,25,-55,105,0.14,1000,495,400,UEP1H331MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,460,MP,Normal,8.2
50,470,0.395,16,30.5,-55,105,0.14,1000,705,300,UEP1H471MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,590,MP,Normal,9.6
63,3.3,48.229,5,11,-55,105,0.12,1000,6,6000,UEP1J3R3MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,20,EOL,Normal,0.44
63,4.7,33.863,6.3,11,-55,105,0.12,1000,9,4000,UEP1J4R7MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,31,EOL,Normal,0.59
