Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,2200,0.121,0.121,0.033,10,25,-55,105,0.24,0.169,4000,0.066,416,1200,UPA0J222MPD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1423.73,1594.58,1509.15,1338.31,MP,13860,Normal,3.07
6.3,2700,0.099,0.099,0.033,10,25,-55,105,0.24,0.138,4000,0.066,510,1200,UPA0J272MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1423.73,1594.58,1509.15,1338.31,MP,17010,Normal,3.07
6.3,3300,0.092,0.092,0.029,12.5,20,-55,105,0.26,0.129,5000,0.058,624,1000,UPA0J332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1601.69,1793.9,1697.8,1505.59,MP,20790,Normal,3.43
6.3,3900,0.078,0.078,0.022,12.5,25,-55,105,0.26,0.109,5000,0.044,737,800,UPA0J392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,24570,Normal,4.56
6.3,4700,0.073,0.073,0.022,12.5,25,-55,105,0.28,0.102,5000,0.044,888,800,UPA0J472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,29610,Normal,4.56
6.3,5600,0.068,0.068,0.018,12.5,30.5,-55,105,0.3,0.095,5000,0.036,1058,600,UPA0J562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2720,2720,2305.08,2581.69,2443.39,2166.78,MP,35280,Normal,6.01
6.3,5600,0.068,0.068,0.026,16,20,-55,105,0.3,0.095,5000,0.052,1058,600,UPA0J562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2330,2330,1974.58,2211.53,2093.05,1856.1,MP,35280,Normal,6.6
6.3,6800,0.062,0.062,0.016,12.5,35.5,-55,105,0.32,0.086,5000,0.032,1285,500,UPA0J682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2940,2940,2491.53,2790.51,2641.02,2342.03,MP,42840,Normal,7.06
6.3,8200,0.06,0.06,0.019,16,25,-55,105,0.36,0.084,5000,0.038,1550,400,UPA0J822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2760,2760,2338.98,2619.66,2479.32,2198.64,MP,51660,Normal,8.2
6.3,8200,0.06,0.06,0.025,18,20,-55,105,0.36,0.084,5000,0.05,1550,400,UPA0J822MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2640,2640,2237.29,2505.76,2371.53,2103.05,MP,51660,Normal,9
6.3,10000,0.057,0.057,0.017,16,30.5,-55,105,0.4,0.08,5000,0.034,1890,300,UPA0J103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2810,2810,2381.36,2667.12,2524.24,2238.47,MP,63000,Normal,9.6
6.3,10000,0.057,0.057,0.018,18,25,-55,105,0.4,0.08,5000,0.036,1890,300,UPA0J103MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2850,2850,2415.25,2705.08,2560.17,2270.34,MP,63000,Normal,10.6
10,470,0.303,0.303,0.09,8,11.5,-55,105,0.19,0.536,3000,0.18,141,3000,UPA1A471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,473.68,568.42,506.84,440.53,MP,4700,Normal,1.19
10,560,0.254,0.254,0.09,8,11.5,-55,105,0.19,0.45,3000,0.18,168,3000,UPA1A561MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,473.68,568.42,506.84,440.53,MP,5600,Normal,1.19
10,820,0.174,0.174,0.062,8,15,-55,105,0.19,0.307,3000,0.124,246,2000,UPA1A821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,860,860,646.62,775.94,691.88,601.35,MP,8200,Normal,1.36
10,820,0.174,0.174,0.063,10,12.5,-55,105,0.19,0.307,4000,0.126,246,2000,UPA1A821MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,676.69,812.03,724.06,629.32,MP,8200,Normal,1.49
10,1000,0.157,0.157,0.044,8,20,-55,105,0.19,0.279,3000,0.088,300,2000,UPA1A102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,917.29,1100.75,981.5,853.08,MP,10000,Normal,1.66
10,1000,0.157,0.157,0.063,10,12.5,-55,105,0.19,0.279,4000,0.126,300,2000,UPA1A102MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,676.69,812.03,724.06,629.32,MP,10000,Normal,1.49
10,1000,0.157,0.157,0.049,10,16,-55,105,0.19,0.279,4000,0.098,300,1800,UPA1A102MPD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,932.33,1118.8,997.59,867.07,MP,10000,Normal,1.77
10,1200,0.167,0.167,0.044,8,20,-55,105,0.19,0.232,3000,0.088,360,2000,UPA1A122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,1033.9,1157.97,1095.93,971.86,MP,12000,Normal,1.66
10,1200,0.167,0.167,0.049,10,16,-55,105,0.19,0.232,4000,0.098,360,1800,UPA1A122MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,1050.85,1176.95,1113.9,987.8,MP,12000,Normal,1.77
10,1500,0.133,0.133,0.035,10,20,-55,105,0.19,0.186,4000,0.07,450,1400,UPA1A152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,1490,1262.71,1414.24,1338.47,1186.95,MP,15000,Normal,2.34
10,1800,0.111,0.111,0.035,10,20,-55,105,0.19,0.155,4000,0.07,540,1400,UPA1A182MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,1490,1262.71,1414.24,1338.47,1186.95,MP,18000,Normal,2.34
10,1800,0.111,0.111,0.033,10,25,-55,105,0.19,0.155,4000,0.066,540,1200,UPA1A182MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1423.73,1594.58,1509.15,1338.31,MP,18000,Normal,3.07
10,2200,0.108,0.108,0.033,10,25,-55,105,0.21,0.151,4000,0.066,660,1200,UPA1A222MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1423.73,1594.58,1509.15,1338.31,MP,22000,Normal,3.07
10,2200,0.108,0.108,0.029,12.5,20,-55,105,0.21,0.151,5000,0.058,660,1000,UPA1A222MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1601.69,1793.9,1697.8,1505.59,MP,22000,Normal,3.43
10,2700,0.088,0.088,0.029,12.5,20,-55,105,0.21,0.123,5000,0.058,810,1000,UPA1A272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1601.69,1793.9,1697.8,1505.59,MP,27000,Normal,3.43
10,3300,0.084,0.084,0.022,12.5,25,-55,105,0.23,0.117,5000,0.044,990,800,UPA1A332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,33000,Normal,4.56
10,3900,0.071,0.071,0.022,12.5,25,-55,105,0.23,0.099,5000,0.044,1170,800,UPA1A392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,39000,Normal,4.56
10,4700,0.067,0.067,0.018,12.5,30.5,-55,105,0.25,0.093,5000,0.036,1410,600,UPA1A472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2720,2720,2305.08,2581.69,2443.39,2166.78,MP,47000,Normal,6.01
10,4700,0.067,0.067,0.026,16,20,-55,105,0.25,0.093,5000,0.052,1410,600,UPA1A472MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2330,2330,1974.58,2211.53,2093.05,1856.1,MP,47000,Normal,6.6
10,5600,0.063,0.063,0.016,12.5,35.5,-55,105,0.27,0.088,5000,0.032,1680,500,UPA1A562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2940,2940,2491.53,2790.51,2641.02,2342.03,MP,56000,Normal,7.06
