Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,VC,Vibration resistant,Weight (g)
450,100,18,31.5,-40,105,0.2,2.653,5000,1.6,1.0,1.4,1.25,0.8,1900,300,UTF2W101MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1160,NEW,45000.0,Normal,13.8
450,120,18,36,-40,105,0.2,2.21,5000,1.6,1.0,1.4,1.25,0.8,2260,250,UTF2W121MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1360,NEW,54000.0,Normal,16.9
450,130,18,40,-40,105,0.2,2.04,5000,1.6,1.0,1.4,1.25,0.8,2440,200,UTF2W131MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1410,NEW,58500.0,Normal,17.7
450,150,18,46,-40,105,0.2,1.768,5000,1.6,1.0,1.4,1.25,0.8,2800,200,UTF2W151MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1670,NEW,67500.0,Normal,20.9
450,170,18,50,-40,105,0.2,1.56,5000,1.6,1.0,1.4,1.25,0.8,3160,250,UTF2W171MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1760,NEW,76500.0,Normal,23.0
