Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
180,120,0.2,10,40,2.21,795,795,530,742,662.5,344.5,344.5,21600
180,120,0.2,10,40,2.21,795,795,530,742,662.5,424,424,21600
180,150,0.2,10,45,1.768,915,915,610,854,762.5,396.5,396.5,27000
180,150,0.2,10,45,1.768,915,915,610,854,762.5,488,488,27000
180,180,0.2,10,50,1.474,1035,1035,690,966,862.5,448.5,448.5,32400
180,180,0.2,10,50,1.474,1035,1035,690,966,862.5,552,552,32400
180,220,0.2,12.5,40,1.206,1200,1200,800,1120,1000,520,520,39600
180,220,0.2,12.5,40,1.206,1200,1200,800,1120,1000,640,640,39600
180,220,0.2,14.5,31.5,1.206,1200,1200,800,1120,1000,520,520,39600
180,220,0.2,14.5,31.5,1.206,1200,1200,800,1120,1000,640,640,39600
180,270,0.2,12.5,45,0.982,1365,1365,910,1274,1137.5,591.5,591.5,48600
180,270,0.2,12.5,45,0.982,1365,1365,910,1274,1137.5,728,728,48600
180,270,0.2,14.5,35,0.982,1350,1350,900,1260,1125,585,585,48600
180,270,0.2,14.5,35,0.982,1350,1350,900,1260,1125,720,720,48600
180,270,0.2,16,31.5,0.982,1380,1380,920,1288,1150,598,598,48600
180,270,0.2,16,31.5,0.982,1380,1380,920,1288,1150,736,736,48600
180,330,0.2,14.5,45,0.804,1635,1635,1090,1526,1362.5,708.5,708.5,59400
180,330,0.2,14.5,45,0.804,1635,1635,1090,1526,1362.5,872,872,59400
180,330,0.2,16,35,0.804,1560,1560,1040,1456,1300,676,676,59400
180,330,0.2,16,35,0.804,1560,1560,1040,1456,1300,832,832,59400
180,330,0.2,18,31.5,0.804,1545,1545,1030,1442,1287.5,669.5,669.5,59400
180,330,0.2,18,31.5,0.804,1545,1545,1030,1442,1287.5,824,824,59400
180,390,0.2,16,40,0.68,1755,1755,1170,1638,1462.5,760.5,760.5,70200
180,390,0.2,16,40,0.68,1755,1755,1170,1638,1462.5,936,936,70200
180,390,0.2,18,35,0.68,1710,1710,1140,1596,1425,741,741,70200
180,390,0.2,18,35,0.68,1710,1710,1140,1596,1425,912,912,70200
180,470,0.2,16,45,0.564,1965,1965,1310,1834,1637.5,851.5,851.5,84600
