Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
220,270,0.23,,18,35.5,-40,105,0.12,0.589,5000,3574,250,UPT2P271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1408,880,1232,1100,704,MP,59400,Normal,14.2
220,330,0.188,,18,40,-40,105,0.12,0.482,5000,4366,200,UPT2P331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1616,1010,1414,1262.5,808,MP,72600,Normal,17.7
220,390,0.159,,22,40,-40,105,0.12,0.408,5000,5158,250,UPT2P391MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1840,1150,1610,1437.5,920,EOL,85800,Normal,23.8
220,560,0.111,,22,50,-40,105,0.12,0.284,5000,7402,250,UPT2P561MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2400,1500,2100,1875,1200,EOL,123200,Normal,27.4
220,560,0.111,,25,40,-40,105,0.12,0.284,5000,7402,180,UPT2P561MRD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2400,1500,2100,1875,1200,EOL,123200,Normal,27.4
220,680,0.091,,25,50,-40,105,0.12,0.234,5000,8986,140,UPT2P681MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2560,1600,2240,2000,1280,EOL,149600,Normal,38.8
250,47,1.323,,10,30.5,-40,105,0.12,3.386,5000,715,1000,UPT2E470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,432,270,378,337.5,216,MP,11750,Normal,3.21
250,56,1.11,,12.5,25,-40,105,0.12,2.842,5000,850,800,UPT2E560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,496,310,434,387.5,248,MP,14000,Normal,4.56
250,68,0.914,,12.5,30.5,-40,105,0.12,2.341,5000,1030,600,UPT2E680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,576,360,504,450,288,MP,17000,Normal,6.01
250,82,0.758,,12.5,30.5,-40,105,0.12,1.941,5000,1240,600,UPT2E820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,640,400,560,500,320,MP,20500,Normal,6.01
250,100,0.622,,12.5,35.5,-40,105,0.12,1.592,5000,1510,500,UPT2E101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,736,460,644,575,368,MP,25000,Normal,7.06
250,120,0.518,,12.5,40,-40,105,0.12,1.326,5000,1810,400,UPT2E121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,848,530,742,662.5,424,MP,30000,Normal,7.57
250,150,0.414,,16,30.5,-40,105,0.12,1.061,5000,2260,300,UPT2E151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,992,620,868,775,496,MP,37500,Normal,9.6
250,180,0.345,,16,35.5,-40,105,0.12,0.884,5000,2710,300,UPT2E181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1152,720,1008,900,576,MP,45000,Normal,11.8
250,180,0.345,,18,30.5,-40,105,0.12,0.884,5000,2710,300,UPT2E181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1152,720,1008,900,576,MP,45000,Normal,13.1
250,220,0.283,,16,40,-40,105,0.12,0.723,5000,3310,300,UPT2E221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1328,830,1162,1037.5,664,MP,55000,Normal,14.1
250,220,0.283,,18,35.5,-40,105,0.12,0.723,5000,3310,250,UPT2E221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1328,830,1162,1037.5,664,MP,55000,Normal,14.2
